Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts,16990PK,"4.50mm Stud Size 13mm Center of Hole to Edge Skid Plate ""U"" Nuts","4.50mm Stud Size 13mm Center of Hole to Edge Zinc Finish Skid Plate ""U"" Nuts",Zinc Finish,15 Pcs.,Use With # 16991; Audi # 8K0-805-922A
Nuts,16991PK,"11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Phillips Drive Cowl Fasteners","11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Black Finish Phillips Drive Cowl Fasteners",Black Finish,10 Pcs.,Use With # 16990; V.W. # 8K0-805-121
Nuts,12585PK,12.50mm Stem Length 12mm Head Diameter Screw Grommets,12.50mm Stem Length 12mm Head Diameter Black Nylon Screw Grommets,Black Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Audi # 867-809-966; V.W. # 811-807-557-C
Moulding Flange Nuts,15862PK,5mm Stud Size 10mm Hex Size 18.50mm Flange Diameter 10.50mm Overall Height,5mm Stud Size 10mm Hex Size 18.50mm Flange Diameter 10.50mm Overall Height Black Nylon,Black Nylon,25 Pcs.,Audi# 171-201-969
Moulding Flange Nuts,12614PK,"15/64"" (6mm) Hole Size 17mm Stem Length 6.00 x 15.00mm Head Size Black Nylon With Clear Grommet","15/64"" (6mm) Hole Size 17mm Stem Length 6.00 x 15.00mm Head Size Black Nylon With Clear Grommet Weatherstrip Retainers",Black Nylon,25 Pcs.,AudiA3; V.W. # 1H0-837-719
Push Type Retainers,13446PK,"19/64"" (7.50mm) Hole Size 12mm Stem Length 22mm Head Diameter","19/64"" (7.50mm) Hole Size 12mm Stem Length 22mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Audi # 4D0-807-300
Hood Insulation Retainers,13442PK,"5/16"" (8mm) Hole Size 13mm Stem Length 22mm Head Diameter","5/16"" (8mm) Hole Size 13mm Stem Length 22mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,Audi # N90-229-301
Door Trim Panel Retainers,12474PK,"5/16"" (8mm) Hole Size 12.50mm Stem Length 13mm Top Head Diameter","5/16"" (8mm) Hole Size 12.50mm Stem Length 13mm Top Head Diameter Green Nylon",,10 Pcs.,"Audi # 6Y0867260; Mercedes# 007-988-99-78, 007-988-34-78"
Door Trim Panel Retainers,10945PK,"5/16"" (8mm) Hole Size 14mm Stem Length 13.50mm Top Head Diameter","5/16"" (8mm) Hole Size 14mm Stem Length 13.50mm Top Head Diameter Black Nylon",Black Nylon,25 Pcs.,Porsche # 823-867-299
Door Trim Panel Retainers,9094PK,"21/64"" (8.50mm) Hole Size 11 mm Stem Length 15mm Flange Diameter","21/64"" (8.50mm) Hole Size 11 mm Stem Length 15mm Flange Diameter White Nylon",White Nylon,25 Pcs.,Audi # 8E0-867-276
Door Trim Panel Retainers,9443PK,22.00 x 23.00mm Outside Diameter,22.00 x 23.00mm Outside Diameter Black Nylon Splash Shield Retainers,Black Nylon,25 Pcs.,Audi # 4F0-825-429A
Door Trim Panel Retainers,15732PK,26mmWidth 34.50mm Stem Length,26mmWidth 34.50mm Stem Length White Nylon Rear Door Moulding Retainers,White Nylon,25 Pcs.,Audi # 4A0-853-825-C
