Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
"Speed Type ""U"" Nuts",13350PK,.50 - 2.50mm Panel Range 14mm Center Of Hole To Edge,.50 - 2.50mm Panel Range 14mm Center Of Hole To Edge Zinc & Yellow Finish,,25 Pcs.,#8 (4.20mm) Screw Size; Mercedes # 123-994-08-45
"Speed Type ""U"" Nuts",11954PK,3.00 - 4.00mm Panel Range 7mm Center of Hole to Edge,3.00 - 4.00mm Panel Range 7mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs.,"#8 (4.20mm) Screw Size; BMW# 0712-9-925-708, 07-12-9-901-645; Mercedes# 000-994-25-45"
"Speed Type ""U"" Nuts",11286PK,.50 - 1. 70mm Panel Range 7mm Center of Hole to Edge,.50 - 1. 70mm Panel Range 7mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs,"#10 (4.80mm) Screw Size                        .; BMW# 0712-9-925-737, 07-12-9-901-651; Mercedes # 000-994-06-45 003-994-30-45"
"Speed Type ""U"" Nuts",13301PK,.80 - 1.70mm Panel Range 11 mm Center of Hole to Edge,.80 - 1.70mm Panel Range 11 mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs,"#10 (4.80mm) Screw Size                        .; BMW# 0711-9-916-945, 07-11-9-901-294,; Mercedes# 000-994-14-45"
"Speed Type ""U"" Nuts",11915PK,.90 - 2.00mm Panel Range 9.40mm Center of Hole to Edge,.90 - 2.00mm Panel Range 9.40mm Center of Hole to Edge Zinc Finish,Zinc Finish,25 Pcs.,#10 (4.80mm) Screw Size                        .; Mercedes# 000-994-14-45; #6 (3.50mm) Screw Size
"Speed Type ""U"" Nuts",13344PK,14mm Stem Length 9.50mm Head Size 6.50 x 7.00mm Hole Size,14mm Stem Length 9.50mm Head Size 6.50 x 7.00mm Hole Size Black Nylon,Black Nylon,,Mercedes# 639-998-01-85; Replaces # 000-988-16-25
"Speed Type ""U"" Nuts",13318PK,16mm Stem Length 18mm Flange Diameter 7.80mm Hole Size Screw Grommets,16mm Stem Length 18mm Flange Diameter 7.80mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Mercedes # 000-988-86-25
Moulding Grommet,15716PK,"9/32"" (7mm) Hole Size 5mm Stem Length 9mm Head Diameter","9/32"" (7mm) Hole Size 5mm Stem Length 9mm Head Diameter White Nylon",White Nylon,50 Pcs.,Mercedes# 000-987-10-81
Moulding Grommet,13333PK,"9/32"" (7mm) Stud Size 16mm Stem Length 16mm Head Diameter 8.50mm Hole Size","9/32"" (7mm) Stud Size 16mm Stem Length 16mm Head Diameter 8.50mm Hole Size Natural Nylon Tubular Nuts",Natural Nylon,25 Pcs.,BMW# 51-44-7-780-135; Mercedes # 108-988-00-27
Moulding Insert Grommets,12477PK,"23/64"" (9mm) Hole Size 12mm Stem Length 11.50mm Head Diameter","23/64"" (9mm) Hole Size 12mm Stem Length 11.50mm Head Diameter White Nylon",White Nylon,25 Pcs.,Mercedes# 001-988-20-81 001-988-76-81
Moulding Insert Grommets,12626PK,"23/64"" (9mm) Hole Size 14mm Stem Length 4.50mm Inside Diameter","23/64"" (9mm) Hole Size 14mm Stem Length 4.50mm Inside Diameter Red Nylon Tubular Nuts",,50 Pcs.,Mercedes# 001-988-20-81
Moulding Grommets,1404PK,"3/8"" (9.50mm) Hole Size 6.70mm Stem Length 10.50mm Head Diameter 4.50mm Pin Diameter","3/8"" (9.50mm) Hole Size 6.70mm Stem Length 10.50mm Head Diameter 4.50mm Pin Diameter Red Nylon",,50 Pcs.,Mercedes# 000-988-15-81
Hex Flange Nuts,16367PK,4.8-1 .61mm Screw Size 30mm Flange Overall Diameter 10mm Hex Size,"4.8-1 .61mm Screw Size 30mm Flange Overall Diameter 10mm Hex Size Black Nylon Fender Liner, Apron, & Under Cover",Black Nylon,25 Pcs.,Mercedes# 000-990-31-62
Hex Flange Nuts,13299PK,5mm Stud Size 10mm Hex Size 16mm Flange Diameter Flange Nuts,"5mm Stud Size 10mm Hex Size 16mm Flange Diameter Black Nylon Flange Nuts _ _ _ _ _ _.,:,M~e~rce~d~es~#~0:;;:0~3:;,:-9~9.o-.,0~2-.,511111",Black Nylon,25 Pcs.,BMW# 16-13-1-176-747
Hex Flange Nuts,12646PK,5mm Stud Size 8mm Stem Length 10mm Hex Size 24mm Flange Diameter,5mm Stud Size 8mm Stem Length 10mm Hex Size 24mm Flange Diameter Black Nylon Rear Carpet Retainers,Black Nylon,25 Pcs.,Mercedes # 201-990-00-50
Hood Insulation Retainers,12542PK,"5/16"" (8mm) Hole Size 12mm Stem Length 20mm Head Diameter","5/16"" (8mm) Hole Size 12mm Stem Length 20mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Mercedes # 001-988-03-25
Hood Insulation Retainers,10657PK,"11/64"" (4.20mm) Hole Size 12mm Stem Length 11 mm Head Diameter","11/64"" (4.20mm) Hole Size 12mm Stem Length 11 mm Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,50 Pcs.,Chrysler # 6104908-M; G.M. # 20538173; Mercedes# 002-997-33-86
Push Type Retainers,12551PK,"3/16"" (4.80mm) Hole Size 7mm Stem Length 10mm Flange Diameter","3/16"" (4.80mm) Hole Size 7mm Stem Length 10mm Flange Diameter Black Nylon",Black Nylon,50 Pcs.,"Mercedes # 000-990-03-92, 000-990-22-92; Volvo# 947-098"
Push Type Retainer,12540PK,"13/64"" (5mm) Hole Size 11 mm Stem Length 10mm Flange Diameter","13/64"" (5mm) Hole Size 11 mm Stem Length 10mm Flange Diameter Black Nylon Rocker Panel",Black Nylon,50 Pcs.,BMW# 51161-881-149; Chrysler # 5073327AA; Citroen# 7903072170; Mercedes # 000-990-34-92; Renault# 7703072116; V.W. # N102-593-01
Push Type Retainers,12890PK,"15/64"" (6mm) Hole Size 10mm Stem Length 10mm Flange Diameter","15/64"" (6mm) Hole Size 10mm Stem Length 10mm Flange Diameter Black Nylon",Black Nylon,25 Pcs.,Mercedes # 000-990-84-92
Push Type Retainers,12394PK,"1/4"" (6.30mm) Hole Size 15mm Stem Length 15mm Flange Diameter","1/4"" (6.30mm) Hole Size 15mm Stem Length 15mm Flange Diameter Black Nylon Scuff Plate",Black Nylon,50 Pcs.,BMW# 51-11-1-908-077; Mercedes # 000-990-54-92
Push Type Retainers,11422PK,"9/32"" (7mm) Hole Size 18mm Stem Length 16mm Flange Diameter 1   1-PK      9/32"" (7mm) Hole Size 19mm Stem Length 20mm Head Size","9/32"" (7mm) Hole Size 18mm Stem Length 16mm Flange Diameter Black Nylon 1   1-PK      9/32"" (7mm) Hole Size 19mm Stem Length 20mm Head Size Black Nylon Rear Fender Liner",Black Nylon,25 Pcs.,Mercedes # 124-990-04-92; Mercedes # 000-991-41-40
Push Type Retainers,12858PK,"5/16"" (8mm) Hole Size 8mm Stem Length 10.50 x 13.30mm Head Size","5/16"" (8mm) Hole Size 8mm Stem Length 10.50 x 13.30mm Head Size Black Nylon 124-990-07-92-9C75",Black Nylon,25 Pcs.,"Mercedes # 124-990-07-92,"
Push Type Retainers,12673PK,"5/16"" (8mm) Hole Size 9mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 9mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,10 Pcs.,Mercedes # 123-990-02-92
Push Type Retainers,13225PK,"5/16"" (8mm) Hole Size 10mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,Chrysler # 6104900-A; Mercedes# 230-990-01-92
Push Type Retainers,15747PK,"5/16"" (8mm) Hole Size 10mm Stem Length 20mm Head Diameter","5/16"" (8mm) Hole Size 10mm Stem Length 20mm Head Diameter Black Nylon Interior Trim, Lower Engine & Trunk Cover",Black Nylon,15 Pcs.,Mercedes# 000-991-49-40
