Section,Part_Number,Size,Finish,Quantity
Phillips Oval,6293PK,"6 x 1/2""                    6",,100 Pcs.
Phillips Oval,6294PK,"6 x 3/4""                    6",,100 Pcs.
Phillips Oval,6295PK,"6 x 1""                     6",,100 Pcs.
Phillips Oval,6296PK,"6 x 1 1/4""                  6",,100 Pcs.
Phillips Oval,6299PK,"8 x 3/8""                    8",,100 Pcs.
Phillips Oval,6300PK,"8 x 1/2""                    8",,100 Pcs.
Phillips Oval,6301PK,"8 x 3/4""                    8",,100 Pcs.
Phillips Oval,6302PK,"8 x 1""                     8",,100 Pcs.
Phillips Oval,6303PK,"8 x 1 1/4""                  8",,100 Pcs.
Phillips Oval,6304PK,"8 x 1 1/2""                  8",,100 Pcs.
Phillips Oval,6307PK,"10 x 1/2""                   10",,100 Pcs.
Phillips Oval,6308PK,"10 x 3/4""                   10",,100 Pcs.
Phillips Oval,6309PK,"10 x 1""                    10",,100 Pcs.
Phillips Oval,6310PK,"10 x 1 1/4""                  10",,100 Pcs.
Phillips Oval,6311PK,"10 x 1 1/2""                  10",,100 Pcs.
Phillips Oval,6399PK,"8 x 3/8""                    6",,100 Pcs.
Phillips Oval,6400PK,"8 x 1/2""                    6",,100 Pcs.
Phillips Oval,6401PK,"8 x 3/4""                    6",,100 Pcs.
Phillips Oval,6402PK,"8 x 1""                     6",,100 Pcs.
Phillips Oval,6403PK,"8 x 1 1/4""                  6",,100 Pcs.
Phillips Oval,6404PK,"8 x 1 1/2""                  6",,100 Pcs.
Phillips Oval,10163PK,"8 x 1 3/4""                  6",,100 Pcs.
Phillips Oval,10164PK,"10 x 1/2""                   6",,100 Pcs.
Phillips Oval,6405PK,"10 x 3/4""                   6",,100 Pcs.
Phillips Oval,6406PK,"10 x 1""                    6",,100 Pcs.
Phillips Oval,6407PK,"10 x 1 1/4""                  6",,100 Pcs.
Phillips Oval,6408PK,"10 x 1 1/2""                  6",,100 Pcs.
Phillips Oval,10165PK,"10 x 1 3/4""                  6",,100 Pcs.
Phillips Oval,6409PK,"10 x 1/2""                   8",,100 Pcs.
Phillips Oval,6410PK,"10 x 3/4""                   8",,100 Pcs.
Phillips Oval,6411PK,"10 x 1""                    8",,100 Pcs.
Phillips Oval,6412PK,"10 x 1 1/4""                  8",,100 Pcs.
Phillips Oval,533PK,"6 x 1/2""                    6",,100 Pcs.
Phillips Oval,534PK,"6 x 3/4""                    6",,100 Pcs.
Phillips Oval,535PK,"6 x 1""                     6",,100 Pcs.
Phillips Oval,10145PK,"6 x 1 1/4""                  6",,100 Pcs.
Phillips Oval,539PK,"8 x 1/2""                    8",,100 Pcs.
Phillips Oval,542PK,"8 x 3/4""                    8",,100 Pcs.
Phillips Oval,545PK,"8 x 1""                     8",,100 Pcs.
Phillips Oval,10146PK,"8 x 1 1/4""                  8",,100 Pcs.
Phillips Oval,10147PK,"8 x 1 1/2""                  8",,100 Pcs.
Phillips Oval,10148PK,"8 x 1 3/4""                  8",,100 Pcs.
Phillips Oval,10149PK,"8 x 2""                     8",,100 Pcs.
Phillips Oval,10150PK,"10 x 1/2""                   10",,100 Pcs.
Phillips Oval,555PK,"10 x 3/4""                   10",,100 Pcs.
Phillips Oval,557PK,"10 x 1""                    10",,100 Pcs.
Phillips Oval,558PK,"10 x 1 1/4""                  10",,100 Pcs.
Phillips Oval,559PK,"10 x 1 1/2""                  10",,100 Pcs.
Phillips Oval,560PK,"10 x 1 3/4""                  10",,100 Pcs.
Phillips Oval,561PK,"10 x 2""                    10",,100 Pcs.
Phillips Oval,10151PK,"12 x 1/2""                   12",,100 Pcs.
Phillips Oval,10152PK,"12 x 3/4""                   12",,100 Pcs.
Phillips Oval,10153PK,"12 x 1""                    12",,100 Pcs.
Phillips Oval,10154PK,"12 x 1 1/4""                  12",,100 Pcs.
Phillips Oval,10155PK,"12 x 1 1/2""                  12",,100 Pcs.
Phillips Oval,10156PK,"12 x 2""                    12",,100 Pcs.
Phillips Oval,10169PK,"6 x 1/2""                    6",,100 Pcs.
Phillips Oval,10170PK,"6 x 3/4""                    6",,100 Pcs.
Phillips Oval,10171PK,"6 x 1""                     6",,100 Pcs.
Phillips Oval,10172PK,"6 x 1 1/4""                  6",,100 Pcs.
Phillips Oval,1468PK,"8 x 1/2""                    8",,100 Pcs.
Phillips Oval,1183PK,"8 x 3/4""                    8",,100 Pcs.
Phillips Oval,1185PK,"8 x 1""                     8",,100 Pcs.
Phillips Oval,10173PK,"8 x 1 1/4""                  8",,100 Pcs.
Phillips Oval,1187PK,"8 x 1 1/2""                  8",,100 Pcs.
Phillips Oval,10174PK,"10 x 1/2""                   10",,100 Pcs.
Phillips Oval,1469PK,"10 x 3/4""                   10",,100 Pcs.
Phillips Oval,1470PK,"10 x 1""                    10",,100 Pcs.
Phillips Oval,10175PK,"10 x 1 1/4""                  10",,100 Pcs.
Phillips Oval,10176PK,"10 x 1 1/2""                  10",,100 Pcs.
Phillips Oval,9479PK,"8 x 1/2""                             6",,100 Pcs.
