Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
O-Rings,13920PK,"I.D. 1/8"" O.D. 1/4"" Thickness 1/16""",O-Ring Ind.# 006,Rubber,50 Pcs.,
O-Rings,14125PK,"I.D. 13/16"" O.D. 1 Thickness 1/16""        1/8""",O-Ring Ind.# 211,Rubber,50 Pcs.,
O-Rings,13921PK,"I.D. 5/32"" O.D. 9/32"" Thickness 1/16""",O-Ring Ind.# 007,Rubber,50 Pcs.,
O-Rings,14126PK,"I.D. 7/8"" O.D. 11/8"" Thickness 1/8""",O-Ring Ind.# 212,Rubber,50 Pcs.,
O-Rings,13922PK,"I.D. 3/16"" O.D. 5/16"" Thickness 1/16""",O-Ring Ind.# 008,Rubber,50 Pcs.,
O-Rings,14127PK,"I.D. 15/16"" O.D. 1 Thickness 3/16""        1/8""",O-Ring Ind.# 213,Rubber,50 Pcs.,
O-Rings,13923PK,"I.D. 7/32"" O.D. 11/32"" Thickness 1/16""",O-Ring Ind.# 009,Rubber,50 Pcs.,
O-Rings,14128PK,"I.D. 1"" O.D. 11/4"" Thickness 1/8""",O-Ring Ind.# 214,Rubber,50 Pcs.,
O-Rings,3924PK,"I.D. 1/4"" O.D. 3/8"" Thickness 1/16""",O-Ring Ind.# 010,Rubber,50 Pcs.,
O-Rings,14129PK,"I.D. 1 O.D. 1/16"" Thickness 1 5/16""        1/8""",O-Ring Ind.# 215,Rubber,50 Pcs.,
O-Rings,3925PK,"I.D. 5/16"" O.D. 7/16"" Thickness 1/16""",O-Ring Ind.# 011,Rubber,50 Pcs.,
O-Rings,14130PK,"I.D. 11/8"" O.D. 1 Thickness 3/8""        1/8""",O-Ring Ind.# 216,Rubber,25 Pcs.,
O-Rings,4024PK,"I.D. 110 O.D. 3/8"" Thickness 3/8""
                                   1/2""
                                  9/16""
                                               1/16""
                                               3/32""",O-Ring Ind.# 012,Rubber,50 Pcs.,
O-Rings,14132PK,"I.D. 218 O.D. 1 Thickness 3/16""
                                                                                      11/4""
                                                                                                1 7/16""
                                                                                                 11/2""
                                                                                                               1/8""
                                                                                                               1/8""",O-Ring Ind.# 217,Rubber,25 Pcs.,
O-Rings,4025PK,"I.D. 7/16"" O.D. 5/8"" Thickness 3/32""",O-Ring Ind.# 111,Rubber,50 Pcs.,
O-Rings,14133PK,"I.D. 1 O.D. 5/16"" Thickness 1 9/16""        1/8""",O-Ring Ind.# 219,Rubber,25 Pcs.,
O-Rings,14026PK,"I.D. 1/2"" O.D. 11/16"" Thickness 3/32""",O-Ring Ind.# 112,Rubber,50 Pcs.,
O-Rings,14134PK,"I.D. 1 O.D. 3/8"" Thickness 1 5/8""        1/8""",O-Ring Ind.# 220,Rubber,25 Pcs.,
O-Rings,14027PK,"I.D. 9/16"" O.D. 3/4"" Thickness 3/32""",O-Ring Ind.# 113,Rubber,50 Pcs.,
O-Rings,14028PK,"I.D. 5/8"" O.D. 13/16"" Thickness 3/32""",O-Ring Ind.# 114,Rubber,50 Pcs.,
