Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Rivets,12038PK,"5/32"" (4mm) Rivet Diameter Rectangle Flange 7/64 - 7/32"" Grip Range","5/32"" (4mm) Rivet Diameter Rectangle Flange 7/64 - 7/32"" Grip Range Black Nylon Blind Rivets",Black Nylon,50 Pcs.,G.M. # 21094747
Rivets,1374PK,"5/32"" (4mm) Rivet Diameter Rectangle Flange 1/4 - 13/32"" Grip Range","5/32"" (4mm) Rivet Diameter Rectangle Flange 1/4 - 13/32"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,Ford # N804583S
Rivets,16443PK,"5/32"" (4mm) Diameter 8mm Flange Diameter 1.50- 4.50mm Grip Range","5/32"" (4mm) Diameter 8mm Flange Diameter 1.50- 4.50mm Grip Range Black Nylon Blind Rivets",Black Nylon,50 Pcs.,
Rivets,9151PK,"3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Size 1/16 - 9/64"" Grip Range","3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Size 1/16 - 9/64"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,G.M. # 20612732
Rivets,11120PK,"3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Diameter 1/8 - 1/4"" Grip Range","3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Diameter 1/8 - 1/4"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,G.M. # 11588308
Rivets,5768PK,"3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Diameter 5/32 - 1/4"" Grip Range","3/16"" (4.80mm) Rivet Diameter 11/32"" Flange Diameter 5/32 - 1/4"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,Chrysler # 6502689; GM # 92231490
Rivets,10565PK,"13/64"" (5.20mm) Rivet Diameter 11/32"" Flange Diameter 1/8 - 5/32"" Grip Range","13/64"" (5.20mm) Rivet Diameter 11/32"" Flange Diameter 1/8 - 5/32"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,Chrysler # 6004212; G.M. # 20465395
Rivets,9053PK,"13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 1/16 - 11/64"" Grip Range","13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 1/16 - 11/64"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,Ford # N804189-S; G.M. # 20423647; Mazda # B455-56-741
Rivets,5769PK,"13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 1/8 - 15/64"" Grip Range","13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 1/8 - 15/64"" Grip Range Black Nylon Blind Rivets 175-853-57701C, 175-852-577 Rivets Blind Nylon",Black Nylon,25 Pcs.,"AMC # 34202855; Chrysler # 6500859, 6500899,6503800; Ford # N8048635, N804343-S; G.M. # 20432975; Volkswagen # 175-853-577,"
Rivets,1195PK,"13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 15/64 - 25/64"" Grip Range","13/64"" (5.20mm) Rivet Diameter 15/32"" Flange Diameter 15/64 - 25/64"" Grip Range Black Nylon Blind Rivets",Black Nylon,25 Pcs.,G.M. # 15718794; Chrysler # 6500898
