Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Crimp & Seal Terminals,2066PK,22 - 18 Gauge Wire Range,22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Butt Connector UL Approved,Red,25 Pcs.,
Crimp & Seal Terminals,12154PK,22 - 18 Gauge Wire Range,22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Ring UL Approved,,10 Pcs.,#8 Stud Size
Crimp & Seal Terminals,12155PK,22 - 18 Gauge Wire Range,22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Ring UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12156PK,"1/4"" Stud Size 22 - 18 Gauge Wire Range","1/4"" Stud Size 22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12157PK,"5/16"" Stud Size 22 - 18 Gauge Wire Range","5/16"" Stud Size 22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12161PK,22 - 18 Gauge Wire Range,22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Open Spade UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12166PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size 22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Fully Insulated Female UL Approved",,10 Pcs.,
Wire Terminals Blue Crimp & Seal Type,12167PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size 22 - 18 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Red Fully Insulated Male UL Approved",,10 Pcs.,
Crimp & Seal Terminals,2067PK,16 - 14 Gauge Wire Range,16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Butt Connector UL Approved,Blue,25 Pcs.,
Crimp & Seal Terminals,12148PK,16 - 14 Gauge Wire Range,16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved,,10 Pcs.,#6 Stud Size
Wire Terminals Blue Crimp & Seal Type,12149PK,16 - 14 Gauge Wire Range,16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved,,10 Pcs.,#8 Stud Size
Crimp & Seal Terminals,12150PK,16 - 14 Gauge Wire Range,16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12151PK,"1/4"" Stud Size 16 - 14 Gauge Wire Range","1/4"" Stud Size 16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12152PK,"5/16"" Stud Size 16 - 14 Gauge Wire Range","5/16"" Stud Size 16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12153PK,"3/8"" Stud Size 16 - 14 Gauge Wire Range","3/8"" Stud Size 16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12160PK,16 - 14 Gauge Wire Range,16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Open Spade UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12164PK,"1/4"" Tab Size 16 - 14 Gauge Wire Range","1/4"" Tab Size 16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Fully Insulated Female UL Approved",,10 Pcs.,
Wire Terminals Yellow Crimp & Seal Type,12165PK,"1/4"" Tab Size 16 - 14 Gauge Wire Range","1/4"" Tab Size 16 - 14 Gauge Wire Range Polyolefin Tubing Shrink Ratio 3-1 Blue Fully Insulated Male UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12228PK,16 - 14 Gauge To 12 - 10 Gauge,16 - 14 Gauge To 12 - 10 Gauge Step Down Polyolefin Tubing Shrink Ratio 3-1 Yellow Butt Connectors UL Approved,Yellow,10 Pcs.,
Crimp & Seal Terminals,2068PK,12 - 10 Gauge Wire,12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Butt Connector UL Approved,Yellow,25 Pcs.,
Crimp & Seal Terminals,12142PK,12 - 10 Gauge Wire,12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring,,10 Pcs.,#8 Stud Size
Wire Terminals Yellow Crimp & Seal Type,12143PK,12 - 10 Gauge Wire,12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12144PK,"1/4"" Stud Size 12 - 10 Gauge Wire","1/4"" Stud Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12145PK,"5/16"" Stud Size 12 - 10 Gauge Wire","5/16"" Stud Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12146PK,"3/8"" Stud Size 12 - 10 Gauge Wire","3/8"" Stud Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12147PK,"1/2"" Stud Size 12 - 10 Gauge Wire","1/2"" Stud Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Ring UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12158PK,12 - 10 Gauge Wire,12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Open Spade UL Approved,,10 Pcs.,#10 Stud Size
Crimp & Seal Terminals,12159PK,"1/4"" Stud Size 12 - 10 Gauge Wire","1/4"" Stud Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Open Spade UL Approved",,10 Pcs.,
Crimp & Seal Terminals,12162PK,"1/4"" Tab Size 12 - 10 Gauge Wire","1/4"" Tab Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Fully Insulated Female UL Approved",,10 Pcs.,
Wire Terminals Red Nylon Crimp Type,12163PK,"1/4"" Tab Size 12 - 10 Gauge Wire","1/4"" Tab Size 12 - 10 Gauge Wire Polyolefin Tubing Shrink Ratio 3-1 Yellow Fully Insulated Male UL Approved",,10 Pcs.,
Wire Terminals Red Nylon Crimp Type,3600PK,22 - 18 Gauge Wire Range,Red Nylon 22 - 18 Gauge Wire Range Seamless Butt Connectors,Red,50 Pcs.,
Wire Terminals,3603PK,22 - 18 Gauge Wire Range,Ring Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#6 Stud Size
Wire Terminals,3604PK,22 - 18 Gauge Wire Range,Ring Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#8 Stud Size
Wire Terminals Red Nylon Crimp Type,3605PK,22 - 18 Gauge Wire Range,Ring Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#10 Stud Size
Wire Terminals,3606PK,"1/4"" Stud Size 22 - 18 Gauge Wire Range","1/4"" Stud Size Ring Type 22 - 18 Gauge Wire Range Red Nylon",,50 Pcs.,
Wire Terminals,3607PK,"5/16"" Stud Size 22 - 18 Gauge Wire Range","5/16"" Stud Size Ring Type 22 - 18 Gauge Wire Range Red Nylon",,25 Pcs.,
Wire Terminals,3608PK,"3/8"" Stud Size 22 - 18 Gauge Wire Range","3/8"" Stud Size Ring Type 22 - 18 Gauge Wire Range Red Nylon",,25 Pcs.,
Wire Terminals,3609PK,22 - 18 Gauge Wire Range,Spade Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#6 Stud Size
Wire Terminals,3610PK,22 - 18 Gauge Wire Range,Spade Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#8 Stud Size
Wire Terminals,3611PK,22 - 18 Gauge Wire Range,Spade Type 22 - 18 Gauge Wire Range Red Nylon,,25 Pcs.,#10 Stud Size
Wire Terminals,3612PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size Fully Insulated Female Spades 22 - 18 Gauge Wire Range Red Nylon",,50 Pcs.,
Wire Terminals,3613PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size Fully Insulated Male Spades 22 - 18 Gauge Wire Range Red Nylon",,50 Pcs.,
Wire Terminals,3615PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size Female Spade 22 - 18 Gauge Wire Range Red Nylon",,25 Pcs.,
Wire Terminals,3616PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size Male Spade 22 - 18 Gauge Wire Range Red Nylon",,25 Pcs.,
Wire Terminals,3653PK,"1/4"" Tab Size 22 - 18 Gauge Wire Range","1/4"" Tab Size 22 - 18 Gauge Wire Range Red Fully Insulated Female Piggyback Wire Terminals",Red,15 Pcs.,
Wire Terminals,3626PK,,,,,
Wire Terminals Blue Nylon Crimp Type,3627PK,".157"" Bullet Size 22 - 18 Gauge Wire Range .157"" Bullet Size 22 - 18 Gauge Wire Range",".157"" Bullet Size Female Bullet 22 - 18 Gauge Wire Range Red Nylon .157"" Bullet Size Male Bullet 22 - 18 Gauge Wire Range Red Nylon",,25 Pcs.,
Wire Terminals Blue Nylon Crimp Type,3601PK,16 - 14 Gauge Wire Range,Blue Nylon 16 - 14 Gauge Wire Range Seamless Butt Connectors,Blue,50 Pcs.,
