Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Shield,JL-24PK,"7/64"" (2.80mm) Hole Size 25/64"" Stem Length                                                      11111 7/32"" Head Diameter .069 - .250"" Panel Range","7/64"" (2.80mm) Hole Size 25/64"" Stem Length                                                      11111 7/32"" Head Diameter .069 - .250"" Panel Range Black Nylon Shield Retainers",Black Nylon,100 Pcs.,G.M. # 20729523
Retainers Shield,11423PK,"5/32"" (4mm) Hole Size 7/16"" Stem Length 23/64"" Head Diameter .030 - .275"" Panel Range","5/32"" (4mm) Hole Size 7/16"" Stem Length 23/64"" Head Diameter .030 - .275"" Panel Range Natural Nylon Shield Retainers",Natural Nylon,50 Pcs.,
Retainers Shield,5602PK,"5/32"" (4mm) Hole Size 7/16"" Stem Length 23/64"" Head Diameter .030 - .275"" Panel Range","5/32"" (4mm) Hole Size 7/16"" Stem Length 23/64"" Head Diameter .030 - .275"" Panel Range Black Nylon Shield Retainers",Black Nylon,100 Pcs.,G.M. # 10063599
Retainers Shield,16458PK,"5/32"" (4mm) Hole Size 15mm Stem Length 18mm Top Head Diameter","5/32"" (4mm) Hole Size 15mm Stem Length 18mm Top Head Diameter Black Nylon Fender Liner Retainers",Black Nylon,25 Pcs.,Honda # 91501-T2A-003
Retainers Shield,12918PK,"3/16"" (4.50mm) Hole Size 12mm Stem Length 16mm Head Diameter","3/16"" (4.50mm) Hole Size 12mm Stem Length 16mm Head Diameter Black Nylon Front Bumper Bracket Retainers",Black Nylon,25 Pcs.,Toyota # 90467-05125
Retainers Shield,8172PK,"3/16"" (4.50mm) Hole Size 21/32"" Stem Length 7/16"" Head Diameter .060 - .390"" Panel Range","3/16"" (4.50mm) Hole Size 21/32"" Stem Length 7/16"" Head Diameter .060 - .390"" Panel Range Black Nylon Dash Panel Retainers",Black Nylon,50 Pcs.,"AMC # 4006516; Ford # 388246A; G.M. # 25016383, 20413107"
Retainers Shield,10402PK,"3/16"" (4.80mm) Hole Size 11/16"" Stem Length 3/4"" Head Diameter 3/32 - 13/32"" Panel Range","3/16"" (4.80mm) Hole Size 11/16"" Stem Length 3/4"" Head Diameter 3/32 - 13/32"" Panel Range Black Nylon Trim Panel Retainer",Black Nylon,50 Pcs.,AMC # 4006529; Chrysler # 5208743
Retainers Shield,9178PK,"13/64"" (5mm) Hole Size 1/2"" Stem Length 7/16"" Head Diameter","13/64"" (5mm) Hole Size 1/2"" Stem Length 7/16"" Head Diameter Black Nylon Fascia Shield Retainers",Black Nylon,25 Pcs.,Ford # N803170-S
Retainers Shield,12028PK,"13/64"" (5mm) Hole Size 14mm Stem Length 9mm Head Diameter","13/64"" (5mm) Hole Size 14mm Stem Length 9mm Head Diameter Black Nylon Bumper Cover Retainers",Black Nylon,50 Pcs.,G.M. # 24205245
Retainers Shield,18814PK,"13/64"" (5mm) Hole Size 14.90mm Stem Length 16mm Head Diameter","13/64"" (5mm) Hole Size 14.90mm Stem Length 16mm Head Diameter Black Nylon Trim Panel Retainers",Black Nylon,25 Pcs.,Toyota # 90467-05161-C0
Retainers Shield,11121PK,"13/64"" (5mm) Hole Size 15mm Stem Length 12mm Head Diameter","13/64"" (5mm) Hole Size 15mm Stem Length 12mm Head Diameter Black Nylon Bumper Cover Retainers",Black Nylon,25 Pcs.,Nissan # 01553-01A50
