Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Push Type,12551PK,"3/16"" (4.80mm) Hole Size 7mm Stem Length 10mm Flange Diameter","3/16"" (4.80mm) Hole Size 7mm Stem Length 10mm Flange Diameter Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,"Mercedes # 000-990-03-92, 000-990-22-92; Volvo # 947-098"
Retainers Push Type,16149PK,"13/64"" (5mm) Hole Size 8.50mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 8.50mm Stem Length 10mm Head Diameter Black Nylon Front & Rear Bumper Push Type Retainers",Black Nylon,15 Pcs.,Subaru # 909140059
Retainers Push Type,10425PK,"13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter","13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter Black Nylon Door Handle Attachment Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 21077405
Retainers Push Type,9859PK,,,,,
Retainers Push Type,11963PK,"13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter 13/64"" (5mm) Hole Size 10mm Stem Length 8.00 x 25.00mm Head Size","13/64"" (5mm) Hole Size 10mm Stem Length 7mm Flange Diameter Black Nylon Door Handle Push Type Retainers 13/64"" (5mm) Hole Size 10mm Stem Length 8.00 x 25.00mm Head Size Black Nylon Hood Insulation & Radiator Seal Push Type Retainers",Black Nylon,25 Pcs.,G.M. # 21097229; Volvo # 9133073-8
Retainers Push Type,15028PK,"13/64"" (5mm) Hole Size 10mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 10mm Stem Length 10mm Head Diameter Black Nylon Front Bumper Push Type Retainer",Black Nylon,25 Pcs.,Toyota # 90467-05170
Retainers Push Type,12540PK,"13/64"" (5mm) Hole Size 11mm Stem Length 10mm Flange Diameter","13/64"" (5mm) Hole Size 11mm Stem Length 10mm Flange Diameter Black Nylon Rocker Panel Push Type Retainer",Black Nylon,50 Pcs.,BMW # 51161-881-149; Chrysler # 5073327AA; Citroen # 7903072170; Mercedes # 000-990-34-92; Renault # 7703072116; V.W. # N102-593-01
Retainers Push Type,9229PK,"13/64"" (5mm) Hole Size 11mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 11mm Stem Length 10mm Head Diameter Black Nylon Bumper, Hood, Interior Trim & Quarter Panel Push Type Retainers",Black Nylon,25 Pcs.,V.W. # N-905-36-01
Retainers Push Type,1310PK,"13/64"" (5mm) Hole Size 15/32"" Stem Length 3/8"" Head Diameter","13/64"" (5mm) Hole Size 15/32"" Stem Length 3/8"" Head Diameter Black Nylon Tail Light Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 6500787; G.M. # 16500308
Retainers Push Type,16148PK,"7/32"" (5.50mm) Hole Size 15mm Stem Length 13mm Head Diameter","7/32"" (5.50mm) Hole Size 15mm Stem Length 13mm Head Diameter Black Nylon Inner Door Lock, Engine Cover & Outside Air Duct Push Type Retainers",Black Nylon,,Toyota # 90467-05156
