Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Clips Door Rod End Standard,9384PK,"1/8"" Rod Size 13/64"" Hole Size Left Hand Side","1/8"" Rod Size 13/64"" Hole Size Left Hand Side Orange Nylon Door Lock Rod Clips",Orange Nylon,25 Pcs.,Chrysler # 4658445
Clips Door Rod End Standard,9961PK,"1/8"" Rod Size 13/64"" Hole Size Right Hand Side","1/8"" Rod Size 13/64"" Hole Size Right Hand Side Purple Nylon Door Lock Rod Clips",Purple Nylon,25 Pcs.,Chrysler # 4658444
Clips Door Rod End Standard,9437PK,"5/32"" Rod Size 15/64"" Hole Size Left Hand Side","5/32"" Rod Size 15/64"" Hole Size Left Hand Side Black Nylon Door Lock Rod Clips",Black Nylon,25 Pcs.,"G.M. # 20582532, 20633148"
Clips Door Rod End Standard,9438PK,"5/32"" Rod Size 15/64"" Hole Size Right Hand Side","5/32"" Rod Size 15/64"" Hole Size Right Hand Side Natural Nylon Door Lock Rod Clips",Natural Nylon,25 Pcs.,"G.M. # 20582533, 20633149"
Clips Door Rod End Standard,17724PK,"5/32"" Rod Size 15/64"" Hole Size Left Hand Side","5/32"" Rod Size 15/64"" Hole Size Left Hand Side Black Nylon Door Lock Rod Clips",Black Nylon,25 Pcs.,Chrysler # 4717165
Clips Door Rod End Standard,9986PK,"5/32"" Rod Size 15/64"" Hole Size Right Hand Side","5/32"" Rod Size 15/64"" Hole Size Right Hand Side Natural Nylon Door Lock Rod Clips",Natural Nylon,25 Pcs.,Chrysler # 4717164
Clips Door Rod End Standard,9963PK,"5/32"" Rod Size 15/64"" Hole Size Left Hand Side","5/32"" Rod Size 15/64"" Hole Size Left Hand Side Green Nylon Door Lock Rod Clips",Green Nylon,25 Pcs.,Chrysler # 4658675
Clips Door Rod End Standard,9962PK,"5/32"" Rod Size 15/64"" Hole Size Right Hand Side","5/32"" Rod Size 15/64"" Hole Size Right Hand Side Red Nylon Door Lock Rod Clips",Red Nylon,25 Pcs.,Chrysler # 4658674
Clips Door Rod End Standard,1250PK,"5/32"" Rod Size 15/64"" Hole Size Left Hand Side","5/32"" Rod Size 15/64"" Hole Size Left Hand Side Green Nylon Door Lock Rod Clips",Green Nylon,50 Pcs.,"Chrysler # 3454221, 4658677; G.M. # 88981030"
Clips Door Rod End Standard,1249PK,"5/32"" Rod Size 15/64"" Hole Size Right Hand Side","5/32"" Rod Size 15/64"" Hole Size Right Hand Side Red Nylon Door Lock Rod Clips Doors",Red Nylon,50 Pcs.,"Chrysler # 3454220, 4658676; G.M. # 88981031"
Clips Door Rod End Standard,9726PK,"5/32"" Rod Size 17/64"" Hole Size Left Hand Side","5/32"" Rod Size 17/64"" Hole Size Left Hand Side Black Nylon Door Rod & Hood Clips",Black Nylon,50 Pcs.,"AMC # 4003673; Chrysler # 2945109, 4658677; Ford # N804344S, D2VZ-652195A; G.M. # 9815325, 16607593"
Clips Door Rod End Standard,9725PK,"5/32"" Rod Size 17/64"" Hole Size Right Hand Side","5/32"" Rod Size 17/64"" Hole Size Right Hand Side Natural Nylon Door Rod & Hood Clips",Natural Nylon,20 Pcs.,"AMC # 4003672; Chrysler # 2945108, 4658676; Ford # N805350S; G.M. # 16627328"
Clips Door Rod End Standard,9728PK,"5/32"" Rod Size 17/64"" Hole Size Left Hand Side","5/32"" Rod Size 17/64"" Hole Size Left Hand Side Yellow Nylon Door Lock Rod Clips",Yellow Nylon,25 Pcs.,"Ford # E6AZ-5421952-A, 390523S"
Clips Door Rod End Standard,9729PK,"5/32"" Rod Size 17/64"" Hole Size Right Hand Side","5/32"" Rod Size 17/64"" Hole Size Right Hand Side Natural Nylon Door Lock Rod Clips",Natural Nylon,25 Pcs.,Ford # 390522S
Clips Door Rod End Standard,9960PK,"5/32"" Rod Size 15/64"" Hole Size Left Hand Side","5/32"" Rod Size 15/64"" Hole Size Left Hand Side Black Nylon Door Lock Rod Clips",Black Nylon,25 Pcs.,"Chrysler # 5257479, 4658677; G.M. # 16630689"
Clips Door Rod End Standard,9959PK,"13/64"" Rod Size 15/64"" Hole Size Right Hand Side","13/64"" Rod Size 15/64"" Hole Size Right Hand Side Natural Nylon Door Lock Rod Clips",Natural Nylon,25 Pcs.,"Chrysler # 5257478, 4658676; G.M. # 16630688"
Clips Door Rod End Standard,9439PK,"3/16"" Rod Size","3/16"" Rod Size Natural Nylon Tailgate Lock Rod Clips",Natural Nylon,10 Pcs.,"G.M. # 15545178, 14037239"
Clips Door Rod End Standard,9981PK,10-24 Rod Size 8mm Hole Size 2mm Panel Range,10-24 Rod Size 8mm Hole Size 2mm Panel Range Yellow Nylon Door Lock & Tailgate Rod Clips F7DZ-7421952-A,Yellow Nylon,15 Pcs.,"Ford # F65Z-1521952-AA,; G.M. # 16629990, 16675980"
Clips Door Rod End Standard,16391PK,10-24 Rod Size 8mm Hole Size 2mm Panel Range,10-24 Rod Size 8mm Hole Size 2mm Panel Range Gray Nylon Door Lock & Tailgate Rod Clips F7DZ-7421952-AA Doors,Gray Nylon,15 Pcs.,"Ford # F65Z-1521952-AA,; G.M. # 16629990, 16675980, 16640343"
Clips Door Rod End Metric,10078PK,10-24 Rod Size 8mm Hole Size,10-24 Rod Size 8mm Hole Size Fold Over Type White Nylon Door Lock Rod Clips,White Nylon,10 Pcs.,"Ford # E6DZ-5421952A, E82Z-5421952B"
Clips Door Rod End Metric,10229PK,3.40mm Rod Size 6mm Hole Size Left Hand Side,3.40mm Rod Size 6mm Hole Size Left Hand Side Purple Nylon Door Rod End Clips,Purple Nylon,25 Pcs.,Honda # 72151-S5P-A00
Clips Door Rod End Metric,10230PK,3.40mm Rod Size 6mm Hole Size Right Hand Side,3.40mm Rod Size 6mm Hole Size Right Hand Side Yellow Nylon Door Rod End Clips,Yellow Nylon,25 Pcs.,Honda # 72111-S5P-A00
Clips Door Rod End Metric,10225PK,3.50mm Rod Size 5mm Hole Size Left Hand Side,3.50mm Rod Size 5mm Hole Size Left Hand Side Black Nylon Door Rod End Clips,Black Nylon,25 Pcs.,Honda # 72113-SR4-004
Clips Door Rod End Metric,10226PK,3.50mm Rod Size 5mm Hole Size Right Hand Side,3.50mm Rod Size 5mm Hole Size Right Hand Side Brown Nylon Door Rod End Clips,Brown Nylon,25 Pcs.,Honda # 72112-SR4-004
Clips Door Rod End Metric,10121PK,3.50mm Rod Size 6mm Hole Size Left Hand Side,3.50mm Rod Size 6mm Hole Size Left Hand Side Brown Nylon Door Rod End Clips,Brown Nylon,25 Pcs.,Honda # 72674-SM4-003
Clips Door Rod End Metric,10122PK,3.50mm Rod Size 6mm Hole Size Right Hand Side,3.50mm Rod Size 6mm Hole Size Right Hand Side Blue Nylon Door Rod End Clips,Blue Nylon,25 Pcs.,Honda # 72634-SM4-003
Clips Door Rod End Metric,10227PK,3.50mm Rod Size 6mm Hole Size Left Hand Side,3.50mm Rod Size 6mm Hole Size Left Hand Side Natural Nylon Door Rod End Clips,Natural Nylon,25 Pcs.,Honda # 72139-SR0-A01
Clips Door Rod End Metric,10228PK,3.50mm Rod Size 6mm Hole Size Right Hand Side,3.50mm Rod Size 6mm Hole Size Right Hand Side Purple Nylon Door Rod End Clips n',Purple Nylon,25 Pcs.,Honda # 72616-SM4-003
Clips Door Rod End Metric,10235PK,3.50mm Rod Size 6mm Hole Size Left Hand Side,3.50mm Rod Size 6mm Hole Size Left Hand Side Brown Nylon Door Rod End Clips Doors rr-,Brown Nylon,25 Pcs.,Honda # 06720-SJC-305(L)
