Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Assembly Headlight Screw & Nut,681PK,"12-28 x 1 1/2"" Screw Size",Gray Nylon Headlight Adjusting Screw & Nut Assembly,Gray Nylon,10 Pcs.,Chrysler # 3574085
Assembly Headlight Screw & Nut,1003PK,"12-28 x 1 1/2"" Screw Size",Blue Nylon Headlight Adjusting Screw & Nut Assembly,Blue Nylon,25 Pcs.,"G.M. # 556196, 557057, 559312"
Assembly Headlight Screw & Nut,1019PK,"1/4-28 x 2"" Screw Size",Green Nylon Headlight Adjusting Screw & Nut Assembly,Green Nylon,25 Pcs.,"G.M. # 365270, 365266"
Assembly Headlight Screw & Nut,853PK,"1/4-28 x 2"" Screw Size",Pink Nylon Headlight Adjusting Screw & Nut Assembly,Pink Nylon,25 Pcs.,"AMC # SF4006204 G.M. # 1606642, 1618890, 1600375"
Assembly Headlight Screw & Nut,972PK,"1/4-28 x 2"" Screw Size",White Nylon Headlight Adjusting Screw & Nut Assembly,White Nylon,10 Pcs.,"G.M. # 343543, 343555, 354076, 362379, 3921446 15705372, 343541, 343542"
Nuts Headlight,656PK,1/4-28 Screw Size,Natural Nylon Headlight Adjusting Nuts,Natural Nylon,50 Pcs.,G.M. # 3921446
Nuts Headlight,9351PK,1/4-28 Screw Size,White Nylon Headlight Adjusting Nuts Use With Screw # 996,White Nylon,50 Pcs.,"G.M. # 343541, 343542, 343543, 343555, 354076, 362379"
Screws Headlight,996PK,"1/4-28 x 2"" Screw Size",Bright Zinc Finish Headlight Adjusting Screws Use With Nut# 9351 & 656,Bright Zinc Finish,25 Pcs.,"G.M. # 343543, 354076, 9438150, 9432645"
Nuts Headlight,11143PK,#8 (4.20mm) Screw Size 8mm Stem Length 17mm Head Diameter 9mm Hole Size,Natural Nylon Headlight Mounting Nuts,Natural Nylon,25 Pcs.,Toyota# 90189-05142
Nuts Headlight,15137PK,"25/64"" (10mm) Hole Size 15mm Stem Length 14.00 x 18.50mm Head Size",White Nylon Headlight Adjusting Nuts,White Nylon,25 Pcs.,V.W. # 191-941-142
Headlight Adjuster Elements,12662PK,Left & Right Front 2 Piece Set Part A. 59mm Length 19mm Width Part B. 78mm Length 16mm Width,Natural Nylon Headlight Adjuster Elements BMW 5 Series 2000-2003,Natural Nylon,1 Set,
Headlight Adjuster Elements,12663PK,"2 Piece Set Part A. 55mm Length, 21mm Width & 26mm Thick Part B. 79mm Length, 22mm Width & 11mm Thick",Natural Nylon Headlight Adjuster Elements BMW 5 Series 2000-2003,Natural Nylon,1 Set,
Retainers,11876PK,12mm Width 15mm Height,Organic Zinc Finish Windshield & Side Door Garnish Moulding Liftgate Trim Panel Retainers,Organic Zinc Finish,15 Pcs.,Chrysler # 6502988 G.M. # 16662182 25580123
Retainers,1107PK,#8 (4.20mm) Screw Size,Headlight Panel Retainers,,50 Pcs.,G.M. # 25501771
Retainers,1864PK,,Zinc Finish Headlight Component Retaining Clips,Zinc Finish,25 Pcs.,"Ford# E9DB-13N020M, E9DZ-13N129A, F2AB-13N020-M"
Retainers,16366PK,7mm Width 20mm Length 17mm Overall Height,Black Nylon Head Lamp Moulding Retainers,Black Nylon,25 Pcs.,Honda# 33152-TLA-A01
Retainers,10106PK,"1 1/8"" Width 4 9/16"" Length",Natural Nylon Headlight Retainers,Natural Nylon,10 Pcs.,G.M. # 10298115
Retainers,13036PK,"1 1/8"" Width 5 9/16"" Length",White Nylon Headlight Retainers,White Nylon,10 Pcs.,G.M. # 15281294
