Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Reveal Moulding Clips,1371PK,14.50mm Width 19.50mm Length Black Finish,14.50mm Width 19.50mm Length Black Finish Windshield & Rear Window E3SZ-6342413-A,Black Finish,50 Pcs.,"Ford # E3SB-6342413-AB,"
Reveal Moulding Clips,986PK,15.25mm Width 30.50mm Length,15.25mm Width 30.50mm Length Light Green Nylon Windshield & Rear Window,Light Green Nylon,100 Pcs.,G.M. # 1654047
Reveal Moulding Clips,816PK,16mm Width 18.50mm Length,16mm Width 18.50mm Length Rear Window,,100 Pcs.,"G.M. # 4533699, 4506041"
Reveal Moulding Clips,2065PK,16mm Width 23mm Length Silver Finish,16mm Width 23mm Length Silver Finish Windshield & Rear Window,Silver Finish,50 Pcs.,G.M. # 9808241
Reveal Moulding Clips,9898PK,16.25mm Width 23mm Length Silver Finish,16.25mm Width 23mm Length Silver Finish Windshield Upper & Lower,Silver Finish,100 Pcs.,G.M. # 7698976
Reveal Moulding Clips,9504PK,16.50mm Width 21.25mm Length Yellow Zinc Finish,16.50mm Width 21.25mm Length Yellow Zinc Finish Windshield & Backlite,Yellow Zinc Finish,50 Pcs.,"Chrysler # 6003752, 6003409, 6003916"
Reveal Moulding Clips,9546PK,16.75mm Width 34.75mm Length Yellow Zinc Finish,16.75mm Width 34.75mm Length Yellow Zinc Finish Windshield and Rear Window,Yellow Zinc Finish,50 Pcs.,"G.M. # 7693140, 8736586"
Reveal Moulding Clips,12388PK,17mm Width 19.25mm Length Green Finish,17mm Width 19.25mm Length Green Finish Windshield & Rear Window D1AB-6542413-AB,Green Finish,100 Pcs.,"Ford # C8AZ-63642413-A,"
Reveal Moulding Clips,9545PK,17.25mm Width 19.50mm Length Black Finish,"17.25mm Width 19.50mm Length Black Finish Windshield & Rear Window C8AZ-636442413-A, D1AZ-6542413-B, D1AB-6542413-AB",Black Finish,100 Pcs.,"Ford # C8AZ-63642413-A,"
Clips Reveal Moulding,9874PK,17.25mm Width 20mm Length Black Finish,17.25mm Width 20mm Length Black Finish Rear Window,Black Finish,100 Pcs.,Ford # C6AB-6242413-A
Reveal Moulding Clips,825PK,17.50mm Width 23.25mm Length Black Finish,17.50mm Width 23.25mm Length Black Finish Rear Window,Black Finish,100 Pcs.,"G.M. # 8717859, 9854717"
Reveal Moulding Clips,985PK,17.50mm Width 31.50mm Length,17.50mm Width 31.50mm Length White Nylon Windshield to Panel,White Nylon,100 Pcs.,AMC# 4005540; G.M. # 9731301
Reveal Moulding Clips,9550PK,18mm Width 20.50mm Length Black Finish,"18mm Width 20.50mm Length Black Finish Windshield & Rear Window D1AZ-6542113-B, D1AB-6542413-AB",Black Finish,100 Pcs.,"Ford # C5ZZ-6543413-B,"
Reveal Moulding Clips,817PK,18.50mm Width 34.25mm Length Black Finish,18.50mm Width 34.25mm Length Black Finish Quarter Panel & Rear Windshield,Black Finish,50 Pcs.,G.M. # 7730788
Reveal Moulding Clips,9899PK,19mm Width 34.50mm Length Red Finish,19mm Width l 34.50mm Length Red Finish Windshield,Red Finish,50 Pcs.,G.M. # 9895598
Clips Windshield Moulding,9548PK,19.50mm Width 23.50mm Length,19.50mm Width 23.50mm Length Windshield & Rear Window,,100 Pcs.,"G.M. # 20603072, 9606232, 9662950"
Clips Windshield Moulding,16355PK,15mm Width 75mm Length,15mm Width 75mm Length Gray Nylon Windshield Moulding Retainers,,25 Pcs.,
Clips Windshield Moulding,10727PK,22mm Width 46mm Length,22mm Width 46mm Length Black Nylon Windshield Moulding Clips,Black Nylon,25 Pcs.,Nissan
Moulding Clips,16307PK,43mm Overall Height 18mm Overall Width,43mm Overall Height 18mm Overall Width White & Black Nylon Windshield & Interior Trim,Black Nylon,50 Pcs.,Honda # 91561-TV1-E11
Moulding Clips,9547PK,"9/32"" (7mm) Square Hole Size 7/64"" (3mm) Inside Diameter. Hose 13/64"" (5.20mm) Outside Diameter Hose","9/32"" (7mm) Square Hole Size 7/64"" (3mm) Inside Diameter. Hose 13/64"" (5.20mm) Outside Diameter Hose Natural Nylon Windshield Washer Hose Retainers",Natural Nylon,15 Pcs.,Honda # 90652-SB2-023
Moulding Clips,1994PK,"11mm Width 42mm Length Holds 6.30mm (1/4"") Hose","11mm Width 42mm Length Holds 6.30mm (1/4"") Hose Gray Nylon Windshield Washer Hose Retainers Nozzles Windshield Washer Spray",,15 Pcs.,Honda # 91512-SE0- 003
Moulding Clips,12799PK,,Windshield Washer Spray Nozzle Black Nylon Blocks Setting,Black Nylon,1 Pcs.,Renault # 7700413545
Moulding Clips,18878PK,30.50mm Width 38.50mm Length 33.70mm Overall Height,30.50mm Width 38.50mm Length 33.70mm Overall Height Black Nylon With Sealer Windshield Setting Block 4L3Z-1503296-AB,Black Nylon,5 Pcs.,"Ford # 9L3Z-14060A12-A,"
Retainers Cowl,13237PK,51mm Overall Length,51mm Overall Length Adhesive Backing Windshield Glass Setting Block,,10 Pcs.,G.M. # 15061964
Cowl Vent Retainers,12468PK,"1/8"" (3mm) Hole Size 13mm Stem Length 12mm Top Head Diameter","1/8"" (3mm) Hole Size 13mm Stem Length 12mm Top Head Diameter White Nylon",White Nylon,10 Pcs.,Honda # 90602-SX0-003
Cowl Vent Retainers,10621PK,4mm Stem Diameter 13mm Stem Length 13mm Top Head Diameter,4mm Stem Diameter 13mm Stem Length 13mm Top Head Diameter White Nylon,White Nylon,25 Pcs.,Nissan # 66820-3S500-C1
Retainers Cowl,16991PK,"11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Black Finish","11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Black Finish Phillips Drive Cowl Fasteners Use With 16990",Black Finish,10 Pcs.,V.W. # 8K0-805-121
Retainers Cowl,16990PK,"4.50mm Stud Size 13mm Center of Hole to Edge Zinc Finish Skid Plate ""U"" Nuts","4.50mm Stud Size 13mm Center of Hole to Edge Zinc Finish Skid Plate ""U"" Nuts",,15 Pcs.,Use With # 16991; Audi # 8K0-805-922A
Retainers Cowl,1756PK,"15/64"" (6mm) Square Hole Size 8mm Stem Length 8.00 - 12.00mm Flange Size","15/64"" (6mm) Square Hole Size 8mm Stem Length 8.00 - 12.00mm Flange Size Black Nylon Cowl Grille iJu Push Type Retainers",Black Nylon,25 Pcs.,Nissan # 66814-01G00
