Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
General Motors Fasteners,10566PK,14.00 x 34.00mm 22mm Head Diameter,14.00 x 34.00mm 22mm Head Diameter Black Nylon Bumper & Door Insulator Screws,Black Nylon,25 Pcs.,#3 Square Drive Truss Head; G.M. # 11561438
General Motors Fasteners,10539PK,7.50 x 35.00mm 22mm Head Diameter,7.50 x 35.00mm 22mm Head Diameter Black Nylon Bumper Fascia Screws,Black Nylon,15 Pcs.,"#3 Square Drive Truss Head; Chrysler # 6503819, 6503401; G.M. # 25631448"
Nuts Push On Type Threaded Stud Metric,11178PK,9.20 x 45.00mm 22mm Head Diameter,9.20 x 45.00mm 22mm Head Diameter Black Nylon Bumper Fascia Screws,Black Nylon,15 Pcs.,#3 Square Drive Truss Head; G.M. # 25705182
Push On Type Retainers,1621PK,6-1.00mm Screw Size 17mm Outside Diameter Flange,6-1.00mm Screw Size 17mm Outside Diameter Flange Zinc Plated,Zinc Plated,100 Pcs.,"Chrysler # 6501178, 6501192; Ford # N801192S36; G.M. # 11503736, 11609738, 14093869"
Push On Type Retainers,1043PK,8-1.25mm Screw Size 16mm Outside Diameter Flange,8-1.25mm Screw Size 16mm Outside Diameter Flange Zinc Finish,Zinc Finish,100 Pcs.,"Chrysler # 6501025; G.M. # 11502504, 11502853"
Push On Type Retainers,3010PK,8-1.25mm Screw Size 24mm Outside Diameter Flange,8-1.25mm Screw Size 24mm Outside Diameter Flange Zinc Finish Bumper Strip Retainers,Zinc Finish,50 Pcs.,Chrysler # 6501825; G.M. # 10009923
Push On Type Retainers,9335PK,10 x 1.50mm Screw Size 20mm Outside Diameter Flange,10 x 1.50mm Screw Size 20mm Outside Diameter Flange Black Finish,Black Finish,50 Pcs.,G.M. # 11502759
Nuts Push On Type Threaded Stud Metric,1276PK,10-1.50mm Screw Size 24mm Outside Diameter Flange,10-1.50mm Screw Size 24mm Outside Diameter Flange Dacromet Finish General Motors,Dacromet Finish,50 Pcs.,G.M. # 11501849
Push On Type Retainers,1044PK,12-1.75mm Screw Size 21.40mm Outside Diameter Flange,12-1.75mm Screw Size 21.40mm Outside Diameter Flange Black Finish,Black Finish,50 Pcs.,G.M. # 11502737
Retainers Grommet,9952PK,14-2.00mm Screw Size 25mm Outside Diameter Flange,14-2.00mm Screw Size 25mm Outside Diameter Flange Black Finish,Black Finish,50 Pcs.,G.M. # 11504119
Retainers Grommet,16447PK,"11/64"" (4.50) Hole Size 5mm Stem Length 28mm Head Diameter Bumper Cover Grommets","11/64"" (4.50) Hole Size 5mm Stem Length 28mm Head Diameter Black Nylon Bumper Cover Grommets",Black Nylon,25 Pcs.,G.M. # 15265199
Retainers Grommet,16450PK,"5mm Stud 25/64"" (10mm) Hole Size 8mm Stem Length 30mm Head Diameter","5mm Stud 25/64"" (10mm) Hole Size 8mm Stem Length 30mm Head Diameter Black Nylon Wheel House Liner Retainers",Black Nylon,25 Pcs.,GM # 94530387
Nuts Push On Type Non-Threaded Stud Metric,16446PK,28mm Top Diameter 17.50mm Bottom Diameter 23mm Overall Height,28mm Top Diameter 17.50mm Bottom Diameter 23mm Overall Height Black Nylon,Black Nylon,25 Pcs.,G.M. # 15924986
Push On Type Retainers,9850PK,3.20mm Stud Size 9.50mm Outside Diameter Flange,3.20mm Stud Size 9.50mm Outside Diameter Flange Zinc Finish,Zinc Finish,100 Pcs.,G.M. # 11502794
Nuts Thread Cutting Metric,1691PK,4mm Stud Size 11mm Outside Diameter Flange,4mm Stud Size 11mm Outside Diameter Flange Black Finish General Motors,Black Finish,100 Pcs.,G.M.
Thread Cutting Nuts,1041PK,5mm Stud Size 10mm Hex Size 15mm Flange Diameter,5mm Stud Size 10mm Hex Size 15mm Flange Diameter Black Finish,Black Finish,50 Pcs.,"G.M. # 11501835, 11508900, 11510062,"
Thread Cutting Nuts,1042PK,6.30mm Stud Size 11mm Hex Size 18mm Flange Diameter,6.30mm Stud Size 11mm Hex Size 18mm Flange Diameter Zinc Finish,Zinc Finish,50 Pcs.,"G.M. # 11501836, 11503432"
Nuts Lock Zinc Plated,1622PK,8mm Stud Size 13mm Hex Size 20mm Flange Diameter,8mm Stud Size 13mm Hex Size 20mm Flange Diameter Zinc Finish,Zinc Finish,100 Pcs.,"G.M. # 11502507, 11509535, 11514282"
Nuts Hex Loose Washer Standard,11140PK,6-1.00mm Stud Size 11mm Hex Size 24mm Flange Diameter,6-1.00mm Stud Size 11mm Hex Size 24mm Flange Diameter Metallic Gray Finish with Sealer Locking Washer Nuts,,25 Pcs.,G.M. # 11505865
Nuts Nylon,17921PK,"1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer","1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer Yellow Zinc Finish",Zinc Finish,50 Pcs.,"G.M. # 3866846; Ford # 385400, 45334; Chrysler # 6023204, 6025004, 6033560"
Nuts Nylon,16445PK,4.20mm Screw Size 20mm Flange Diameter 13.50mm Over All Height Bumper Deﬂector Flange Nuts,4.20mm Screw Size 20mm Flange Diameter 13.50mm Over All Height White Nylon Bumper Deﬂector Flange Nuts,White Nylon,25 Pcs.,G.M. # 11547637
Nuts Hex Flange Type Metric,17074PK,20mm Flange Diameter 10mm Hex Size,20mm Flange Diameter 10mm Hex Size Black Nylon Wheelhouse Liner Nuts,Black Nylon,25 Pcs.,#8 (4.20mm) Screw Size; G.M. # 11612034
Nuts Hex Flange Type Metric,5797PK,5-.80mm Screw Size 8mm Hex Size 11.80mm Outside Diameter Flange Metric Hex Flange Nuts,5-.80mm Screw Size 8mm Hex Size 11.80mm Outside Diameter Flange Black Finish Metric Hex Flange Nuts General Motors,Black Finish,50 Pcs.,"G.M. # 11502722, 11502702"
Nuts Hex Flange Type Metric,11191PK,8-1.25mm Screw Size 13mm Hex Size 17mm Outside Diameter Flange Metric Hex Flange Nuts,"8-1.25mm Screw Size 13mm Hex Size 17mm Outside Diameter Flange Black Finish Metric Hex Flange Nuts 11514518, 11514596",Black Finish,25 Pcs.,"G.M. # 11501889, 11507036, 11502609,"
Nuts Hex Loose Washer Metric,1017PK,10-1.50mm Screw Size 15mm Hex Size 21mm Outside Diameter Flange Metric Hex Flange Nuts,10-1.50mm Screw Size 15mm Hex Size 21mm Outside Diameter Flange Black Finish Metric Hex Flange Nuts,Black Finish,25 Pcs.,G.M. # 11501850
