Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Barrel Nuts,709PK,"1/8"" Stud Size 3/16"" Hole Size","1/8"" Stud Size 3/16"" Hole Size Black Finish",Black Finish,100 Pcs.,Ford # 375890-S100
Barrel Nuts,710PK,"1/8"" Stud Size 1/4"" Hole Size","1/8"" Stud Size 1/4"" Hole Size Black Finish",Black Finish,100 Pcs.,"Ford # 375480-S100, 3783794"
Barrel Nuts,9878PK,"3/16"" Stud Size 17/64"" Hole Size","3/16"" Stud Size 17/64"" Hole Size Black Nylon",Black Nylon,100 Pcs.,Ford # D7VY-6050074-A; Renault # 8934-201-767
Nuts Push On Type Threaded Stud Metric - -0,9941PK,"1/4"" Stud Size 9/32"" Hole Size","1/4"" Stud Size 9/32"" Hole Size l   r-    -   - Black Finish",Black Finish,100 Pcs.,Ford # 354341-S
Push On Type Retainers,1621PK,6-1.00mm Screw Size 17mm Outside Diameter Flange,6-1.00mm Screw Size 17mm Outside Diameter Flange Zinc Plated,Zinc Plated,100 Pcs.,"Chrysler # 6501178, 6501192; Ford # N801192S36; G.M. # 11503736, 11609738, 14093869"
Nuts Emblem,17093PK,16mm Screw Size 35mm Outside Diameter Flange,16mm Screw Size 35mm Outside Diameter Flange Zinc Finish,Zinc Finish,25 Pcs.,Ford # W721197-S437M
Nuts Thread Cutting Metric,18451PK,5mm Stud Size 10mm Hex Size 15mm Flange Diameter,5mm Stud Size 10mm Hex Size 15mm Flange Diameter Zinc Finish Locking Teeth,Zinc Finish,50 Pcs.,Ford # W706675-S439
Nuts Hex Loose Washer Standard,1041PK,5mm Stud Size 10mm Hex Size 15mm Flange Diameter,5mm Stud Size 10mm Hex Size 15mm Flange Diameter Black Finish,Black Finish,50 Pcs.,"Ford # W707501-S300; G.M. # 11501835, 11508900, 11510062,; Ford"
Nuts Hex Loose Washer Metric,17921PK,"1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer","1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer Yellow Zinc Finish",Zinc Finish,25 Pcs.,"G.M. # 3866846; Ford # 385400, 45334; Chrysler # 6023204, 6025004, 6033560"
Nuts Hex Loose Washer Metric,12053PK,5-.80mm Thread Size 8mm Hex Size 10mm Outside Diameter Metric Hex Nuts,5-.80mm Thread Size 8mm Hex Size 10mm Outside Diameter Loose Washer Yellow Zinc Finish Metric Hex Nuts,Zinc Finish,50 Pcs.,Ford # N802775-S36
Nuts Hex Loose Washer Metric,1639PK,5-.80mm Screw Size 10mm Hex Size 15mm Outside Diameter Loose Washer Metric Hex Nuts,5-.80mm Screw Size 10mm Hex Size 15mm Outside Diameter Loose Washer Black Finish Metric Hex Nuts,Black Finish,50 Pcs.,"AMC # 4200408; Ford # N621903-S61, N621903-S2; G.M. # 11504614"
