Section,Part_Number,Size,Finish,Quantity,OEM_Number
Bolts,204PK,"1/4-20 x 15/16""                                50",Black Finish,50 Pcs.,Ford # 57030-S2
Bolts,9417PK,"1/4-20 x 1""                                    50",Black Finish,50 Pcs.,Chrysler # 6025329
Bolts,206PK,"5/16-18 x 1 3/16""                              25",Black Finish,25 Pcs.,Ford # 57041-S2
Bolts,9249PK,"5/16-18 x 1""                                   25",Black Finish,25 Pcs.,
Bolts,1000PK,"3/8-16 x 1""                                    25",Black Finish,25 Pcs.,"G.M. # 3986997, 14011722"
Bolts,1001PK,"3/8-16 x 1 3/8""                                25",Black Finish,25 Pcs.,"G.M. # 407217, 1564180"
Bolts,9867PK,"5/16-18 x 3/4""                                100",Black Finish,100 Pcs.,
Bolts,9868PK,"5/16-18 x 1""                                   50",Black Finish,50 Pcs.,
Bolts,210PK,"5/16-18 x 13/16""                           50 Pcs.",Black Finish,50 Pcs.,G.M. # 3960314
Bolts,9890PK,"5/16-18 x 1""                              100 Pcs.",Black Finish,100 Pcs.,Ford # 57039-S2
Bolts,240PK,"5/16-18 x 1""                               25 Pcs.",,25 Pcs.,
Bolts,855PK,"3/8-16 x 1""                                25 Pcs.",,25 Pcs.,
Bolts,9314PK,"3/8-16 x 1 1/4""                            25 Pcs.",,25 Pcs.,
Bolts,233PK,"7/16-14 x 1 1/2""                           10 Pcs.",,10 Pcs.,
Bolts,231PK,"1/2-13 x 1 1/2""                            25 Pcs.",,25 Pcs.,
Screws,9884PK,"1/2-13 x 2""                            USS",,5 Pcs.,
Screws,10404PK,"1/2-13 x 2 1/2""                           USS",,5 Pcs.,
Screws,9806PK,"1/2-13 x 3""                            USS",,5 Pcs.,
Screws,9741PK,"5/8-11 x 3""                            USS",,5 Pcs.,
Screws,9742PK,"5/8-11 x 3 1/2""                           USS",,5 Pcs.,
Screws,9743PK,"5/8-11 x 4""                              USS",,5 Pcs.,
Screws,9744PK,"5/8-11 x 4 1/2""                           USS",,5 Pcs.,
Washers,9808PK,"1/2""                                  17/32""",,20 Pcs.,
Washers,9740PK,"5/8""                                  11/16""",,20 Pcs.,
Nuts,9807PK,1/2-13,,10 Pcs.,
Nuts,9739PK,5/8-11,Yellow Zinc Finish,10 Pcs.,
Screws,11450PK,"1/4-20 x 1/2""       7/16""           50 Pcs.   1149",,50 Pcs.,
Screws,11452PK,"1/4-20 x 3/4""       7/16""           50 Pcs.   1149",,50 Pcs.,
Screws,11453PK,"1/4-20 x 1""        7/16""           50 Pcs.   11495",,50 Pcs.,
Screws,11454PK,"1/4-20 x 1 1/4""      7/16""           50 Pcs.   114",,50 Pcs.,
Screws,11455PK,"1/4-20 x 1 1/2""      7/16""           50 Pcs.   114",,50 Pcs.,
Screws,11456PK,"1/4-20 x 1 3/4""      7/16""           50 Pcs.   114",,50 Pcs.,
Screws,11457PK,"1/4-20 x 2""        7/16""           50 Pcs.   11499",,50 Pcs.,
Screws,11458PK,"1/4-20 x 2 1/4""      7/16""           25 Pcs.   115",,25 Pcs.,
Screws,11459PK,"1/4-20 x 2 1/2""      7/16""           25 Pcs.   115",,25 Pcs.,
Screws,11460PK,"1/4-20 x 2 3/4""      7/16""           25 Pcs.   115",,25 Pcs.,
Screws,11461PK,"1/4-20 x 3""        7/16""           25 Pcs.   11503",,25 Pcs.,
Screws,11462PK,"1/4-20 x 3 1/2""      7/16""           25 Pcs.   115",,25 Pcs.,
Screws,11463PK,"1/4-20 x 4""        7/16""           25 Pcs.   11505",,25 Pcs.,
Screws,11464PK,"1/4-20 x 4 1/2""      7/16""           15 Pcs.   115",,15 Pcs.,
Screws,11465PK,"1/4-20 x 5""        7/16""           10 Pcs.   11507",,10 Pcs.,
Screws,11466PK,"1/4-20 x 5 1/2""      7/16""           10 Pcs.   115",,10 Pcs.,
Screws,11467PK,"1/4-20 x 6""        7/16""           10 Pcs.   11509",,10 Pcs.,
Screws,11468PK,"5/16-18 x 1/2""        1/2""           50 Pcs.   115",,50 Pcs.,
Screws,11470PK,"5/16-18 x 3/4""        1/2""           50 Pcs.   115",,50 Pcs.,
Screws,11471PK,"5/16-18 x 1""         1/2""           50 Pcs.   1151",,50 Pcs.,
Screws,11472PK,"5/16-18 x 1 1/4""      1/2""           50 Pcs.   115",,50 Pcs.,
Screws,11473PK,"5/16-18 x 1 1/2""      1/2""           50 Pcs.   115",,50 Pcs.,
Screws,11474PK,"5/16-18 x 1 3/4""      1/2""           50 Pcs.   115",,50 Pcs.,
Screws,11475PK,"5/16-18 x 2""         1/2""           50 Pcs.   1151",,50 Pcs.,
Screws,11476PK,"5/16-18 x 2 1/4""      1/2""           25 Pcs.   115",,25 Pcs.,
Screws,11477PK,"5/16-18 x 2 1/2""      1/2""           25 Pcs.   115",,25 Pcs.,
Screws,11478PK,"5/16-18 x 2 3/4""      1/2""           25 Pcs.   115",,25 Pcs.,
