Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Screws Torx Drive Truss Head Black Nylon,10539PK,7.50 x 35.00mm 22mm Head Diameter,7.50 x 35.00mm 22mm Head Diameter Black Nylon Bumper Fascia Screws,Black Nylon,15 Pcs.,"#3 Square Drive Truss Head; G.M. # 25631448; Chrysler # 6503819, 6503401"
Nuts Barrel,10665PK,7.50 x 36.50mm T25 Torx Drive Truss Head 22mm Head Diameter,7.50 x 36.50mm T25 Torx Drive Truss Head 22mm Head Diameter Black Nylon Bumper Cover Screws,Black Nylon,25 Pcs.,Chrysler # 6507866AA
Nuts Push On Type Non-Threaded Stud,711PK,"3/16"" Stud Size 7/32"" Hole Size","3/16"" Stud Size 7/32"" Hole Size Black Finish",Black Finish,100 Pcs.,Chrysler # 6000558
Nuts Push On Type Threaded Stud,1686PK,"3/16"" Stud Size 7/16"" Outside Diameter Flange","3/16"" Stud Size 7/16"" Outside Diameter Flange Zinc Finish",Zinc Finish,100 Pcs.,Chrysler # 6031147
Push On Type Retainers,12912PK,"7/16"" Outside Diameter Flange","7/16"" Outside Diameter Flange Black Finish",Black Finish,100 Pcs.,"#10 (3/16"") Threaded Stud; Chrysler # 6029348"
Push On Type Retainers,1273PK,"1/4"" Screw Size","1/4"" Screw Size",,100 Pcs.,
Push On Type Retainers,1274PK,"1/2"" Outside Diameter Flange 5/16"" Screw Size 5/8"" Outside Diameter Flange","1/2"" Outside Diameter Flange Black Finish 5/16"" Screw Size 5/8"" Outside Diameter Flange Zinc Finish",Black Finish,100 Pcs.,"Chrysler # 6026958; Chrysler # J4004354, J4005293"
Push On Type Retainers,990PK,"7/16"" Screw Size 27/32"" Outside Diameter Flange","7/16"" Screw Size 27/32"" Outside Diameter Flange Black Finish",Black Finish,100 Pcs.,Chrysler # J4004175
Nuts Push On Type Threaded Stud Metric,991PK,"1/2"" Screw Size 15/16"" Outside Diameter Flange","1/2"" Screw Size 15/16"" Outside Diameter Flange Black Finish",Black Finish,100 Pcs.,Chrysler # 6026430; Chrysler
Push On Type Retainers,12023PK,5-.80mm Screw Size 11mm Flange Outside Diameter,5-.80mm Screw Size 11mm Flange Outside Diameter Zinc Finish,Zinc Finish,100 Pcs.,Chrysler # 6100839
Push On Type Retainers,1621PK,6-1.00mm Screw Size 17mm Outside Diameter Flange,6-1.00mm Screw Size 17mm Outside Diameter Flange Zinc Plated,,100 Pcs.,"G.M. # 11503736, 11609738, 14093869; Ford # N801192S36; Chrysler # 6501178, 6501192"
Push On Type Retainers,1043PK,8-1.25mm Screw Size 16mm Outside Diameter Flange,8-1.25mm Screw Size 16mm Outside Diameter Flange Zinc Finish,Zinc Finish,100 Pcs.,"G.M. # 11502504, 11502853; Chrysler # 6501025"
Nuts Thread Cutting,3010PK,8-1.25mm Screw Size 24mm Outside Diameter Flange,8-1.25mm Screw Size 24mm Outside Diameter Flange Zinc Finish Bumper Strip Retainers,Zinc Finish,50 Pcs.,G.M. # 10009923; Chrysler # 6501825
Thread Cutting Nuts,9847PK,"3/16"" Stud Size 3/8"" Hex Size 1/2"" Flange Diameter","3/16"" Stud Size 3/8"" Hex Size 1/2"" Flange Diameter Zinc Finish",Zinc Finish,200 Pcs.,Chrysler # 6006264
Nuts Splash Shield Retaining Metric,856PK,"5/16"" Stud Size 1/2"" Hex Size 7/8"" Flange Diameter","5/16"" Stud Size 1/2"" Hex Size 7/8"" Flange Diameter Zinc Finish",Zinc Finish,50 Pcs.,Chrysler # 4856880
Nuts Hex Loose Washer Standard,15868PK,8.50 x 11.00mm Hole Size 36mm Stem Length 18mm Head Diameter Splash Sheild Screw Grommet,8.50 x 11.00mm Hole Size 36mm Stem Length 18mm Head Diameter Black Nylon Rocker Panel & Splash Sheild Screw Grommet With Specialty Screw,Black Nylon,5 Pcs.,Chrysler # 6510123AA
Nuts Hex Loose Washer Metric,17921PK,"1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer","1/4 - 20 Screw Size 7/16"" Hex Size 5/8"" Outside Diameter Loose Washer Yellow Zinc Finish",Zinc Finish,50 Pcs.,"Chrysler # 6023204, 6025004, 6033560; Ford # 385400, 45334; G.M. # 3866846; Chrysler"
Nuts Hex Loose Washer Metric,13503PK,6-1.00mm Thread Size 10mm Hex Size 18mm Outside Diameter Loose Washer Metric Hex Nuts,6-1.00mm Thread Size 10mm Hex Size 18mm Outside Diameter Loose Washer Black Finish Metric Hex Nuts,Black Finish,50 Pcs.,"Chrysler # 6100048, 6500284"
Nuts Hex Loose Washer Metric,5915PK,6-1.00mm Screw Size 10mm Hex Size 19mm Outside Diameter Metric Hex Nuts,6-1.00mm Screw Size 10mm Hex Size 19mm Outside Diameter Loose Barbed Washer Black Phosphate Finish Metric Hex Nuts,Phosphate,25 Pcs.,"Chrysler # 6100049, 34201358"
Nuts Hex Loose Washer Metric,10838PK,8-1.25mm Screw Size 13mm Hex Size 18mm Outside Diameter Loose Washer Metric Hex Nuts,8-1.25mm Screw Size 13mm Hex Size 18mm Outside Diameter Loose Washer Black Phosphate Finish Metric Hex Nuts,Phosphate,25 Pcs.,Chrysler # 6100050
