Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts & Retainers,1691PK,4mm Stud Size 11 mm Outside Diameter Flange,4mm Stud Size 11 mm Outside Diameter Flange Black Finish Push On Type Retainers,Black Finish,100 Pcs.,Tesla # 1067906-00-A
Nuts & Retainers,17064PK,6mm Stud Size 18mm Flange 5mm Overall Height,6mm Stud Size 18mm Flange 5mm Overall Height Black Nylon Engine Cover & Wheel Apron Push Nuts,Black Nylon,25 Pcs.,Tesla# 1110713-99-C
Nuts & Retainers,11128PK,".025 - .150"" Panel Range 3/8"" Center of Hole to Edge Speed Type ""U"" Nuts",".025 - .150"" Panel Range 3/8"" Center of Hole to Edge Zinc Organic Finish Speed Type ""U"" Nuts",Zinc Organic Finish,25 Pcs,#14 (6.30mm) Screw Size           .; Nissan # 08967-1065A; Tesla# 1006518-00-A
Rivets,18298PK,"3/16"" (4.76mm) Diameter 3/8"" Flange Size 1/16 - 17/64"" Grip Range","3/16"" (4.76mm) Diameter 3/8"" Flange Size 1/16 - 17/64"" Grip Range All Aluminum High Strength Rivets",,25 Pcs.,Tesla# 1028719-00-A
Rivets,17091PK,"1/4"" (6.50mm) Diameter 13mm Flange Size 2.00 - 4.50mm Grip Range","1/4"" (6.50mm) Diameter 13mm Flange Size 2.00 - 4.50mm Grip Range Zinc Finish Body Panel Rivets",Zinc Finish,15 Pcs.,Tesla # 1063943-00-A
Retainers,9528PK,"13/64"" (5mm) Hole Size 17 .80mm Stem Length 11 mm Head Diameter","13/64"" (5mm) Hole Size 17 .80mm Stem Length 11 mm Head Diameter Black Nylon Rear Bumper Fascia Retainers",Black Nylon,25 Pcs.,G.M. # 1644290; Nissan # 01553-0075U; Tesla# 1021886-00-A
Retainers,10536PK,"5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter","5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter Black Nylon Bumper Clip Push Type Retainers",Black Nylon,15 Pcs.,Nissan# 01553-09611; Tesla# 1006521-00-A
Retainers,18299PK,"5/16"" (8mm) Hole Size 16mm Stem Length 18mm Flange Diameter 5.00 - 7.00mm Panel Range","5/16"" (8mm) Hole Size 16mm Stem Length 18mm Flange Diameter 5.00 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Tesla# 1128034-00-B
Retainers,10075PK,"5/16"" (8mm) Hole Size 19mm Stem Length 18mm Flange Diameter","5/16"" (8mm) Hole Size 19mm Stem Length 18mm Flange Diameter Black Nylon Garnish Side Protector Push Type Retainer",Black Nylon,15 Pcs.,Honda # 90505-SX0-003; Tesla # 1006535-00-A
Retainers,10649PK,"9/32"" (7mm) Hole Size 14.60mm Stem Length 15mm Head Diameter","9/32"" (7mm) Hole Size 14.60mm Stem Length 15mm Head Diameter Yellow Nylon Door Trim Panel Retainers",Yellow Nylon,50 Pcs.,"Chrysler # 6507055-AA, 6507686-AA; Tesla# 1016078-00-A"
Retainers,16459PK,"5/16"" (7.90mm) Hole Size 12mm Stem Length 22mm Top Head Size","5/16"" (7.90mm) Hole Size 12mm Stem Length 22mm Top Head Size Black & White With Sealer Front & Rear Door Trim Panel Retainers",Black & White With Sealer,25 Pcs.,"Tesla# 1135147-00-A, 1135147-S0-B"
Retainers,9539PK,"5/16"" (8mm) Hole Size 17.50mm Stem Length 13mm Head Diameter","5/16"" (8mm) Hole Size 17.50mm Stem Length 13mm Head Diameter Natural Nylon Door Trim Panel Retainers",Natural Nylon,50 Pcs.,Nissan # 01553-S3500; Tesla# 1015977-00-A
Retainers,10687PK,"21/64"" (8.50mm) Hole Size 14mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 14mm Stem Length 13mm Top Head Diameter Turquoise Nylon Door Trim Panel Retainers",Turquoise Nylon,25 Pcs.,Toyota# 90467-10188; Tesla# 1011813-00-A
Retainers,12828PK,"21/64"" (8.50mm) Hole Size 14mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 14mm Stem Length 13mm Top Head Diameter White Nylon Door Trim Panel Retainers",White Nylon,25 Pcs.,"G.M. # 94858299, 94178705; Tesla# 1047307-00-A; To~ota # 90467-10161 1 90467-A0006"
Retainers,10612PK,"23/64"" (9mm) Hole Size 17mm Stem Length 16mm Top Head Diameter","23/64"" (9mm) Hole Size 17mm Stem Length 16mm Top Head Diameter White Nylon With Sealer Door Trim Panel Retainers",White Nylon,25 Pcs.,Ford # W713297-S300; Tesla# 1025401-00-A
Retainers,16462PK,"13/32"" (10.30mm) Hole Size 9.50mm Stem Length 15mm Top Head Size 25/64"" (10.50mm) Hole Size 16.50mm Stem Length 15mm Top Head Size","13/32"" (10.30mm) Hole Size 9.50mm Stem Length 15mm Top Head Size White Nylon Cowl & Luggage Retainers ~i4ao Automotf'le HardWar,e • S!ulphur, Ok ahoma 25/64"" (10.50mm) Hole Size 16.50mm Stem Length 15mm Top Head Size White Nylon Headliner Retainers",White Nylon,25 Pcs.,Tesla # 1092696-00-B; Tesla# 1142766-00-AA
Retainers,17087PK,10mmWidth 11 .30mm Length,10mmWidth 11 .30mm Length Yellow Zinc Finish Radiator Cover & Interior Trim Panel Retainers,Zinc Finish,50 Pcs.,Tesla# 1115346-00-A
Retainers,17088PK,"11mm Width 16mm Length 3.50mm ""U"" Width","11mm Width 16mm Length 3.50mm ""U"" Width Zinc Finish Rocker & Trim Panel Retainers",Zinc Finish,50 Pcs.,Tesla# 1011978-00-A
