Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
"Moulding ""U"" Nuts",16329PK,1mm Panel Range 11mm Center of Hole to Edge,1mm Panel Range 11mm Center of Hole to Edge Natural Nylon Fender & Bumper,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; BMW # 07-14-7-311-312
Speed Type U Nuts,11954PK,3.00 - 4.00mm Panel Range 7mm Center of Hole to Edge,3.00 - 4.00mm Panel Range 7mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs.,"#8 (4.20mm) Screw Size; BMW # 0712-9-925-708, 07-12-9-901-645; Mercedes # 000-994-25-45"
"Speed Type ""U"" Nuts",11286PK,.50 - 1.70mm Panel Range 7mm Center of Hole to Edge,.50 - 1.70mm Panel Range 7mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs.,"#10 (4.80mm) Screw Size; BMW # 0712-9-925-737, 07-12-9-901-651; Mercedes # 000-994-06-45, 003-994-30-45"
"Speed Type ""U"" Nuts",13301PK,.80 - 1.70mm Panel Range 11mm Center of Hole to Edge,.80 - 1.70mm Panel Range 11mm Center of Hole to Edge Zinc Finish,Zinc Finish,50 Pcs.,"#10 (4.80mm) Screw Size; BMW # 0711-9-916-945, 07-11-9-901-294,; Mercedes # 000-994-14-45"
Nuts Nylon,13434PK,2.30 - 3.50mm Panel Range 8.50mm Center of Hole to Edge                                               [ ~,2.30 - 3.50mm Panel Range 8.50mm Center of Hole to Edge                                               [ ~ Zinc Finish,Zinc Finish,25 Pcs.,#10 (4.80mm) Screw Size; BMW # 07129904150
Nuts Nylon,13299PK,5mm Stud Size 10mm Hex Size 16mm Flange Diameter Flange Nuts,5mm Stud Size 10mm Hex Size 16mm Flange Diameter Black Nylon Flange Nuts,Black Nylon,25 Pcs.,BMW # 16-13-1-176-747; Mercedes # 003-990-02-51
Nuts Nylon,13333PK,"9/32"" (7mm) Stud Size 16mm Stem Length 16mm Head Size 8.50mm Hole Size","9/32"" (7mm) Stud Size 16mm Stem Length 16mm Head Size 8.50mm Hole Size Natural Nylon Tubular Nuts",Natural Nylon,25 Pcs.,"BMW # 51-44-7-780-135,; Mercedes # 108-988-00-27"
Nuts Nylon,15756PK,4.80mm Stud Size 9mm Stem Length 10mm Hex Size 24mm Flange Diameter,4.80mm Stud Size 9mm Stem Length 10mm Hex Size 24mm Flange Diameter Black Nylon Heater & Air Conditioning Duct Nuts,Black Nylon,25 Pcs.,BMW # 51711958025; BMW
Nuts Acorn With Brass Insert,18099PK,"23/64"" (9mm) Hole Size 9mm Overall Height 30mm Head Diameter Sound Insulation Grommets","23/64"" (9mm) Hole Size 9mm Overall Height 30mm Head Diameter Gray Nylon Sound Insulation Grommets",Gray Nylon,10 Pcs.,BMW # 51-48-8-126-849
Retainers Shield,13242PK,4.00-.70mm Thread Size 12mm Flange Diameter 10mm Hex Diameter,4.00-.70mm Thread Size 12mm Flange Diameter 10mm Hex Diameter Black Nylon Coated Acorn Nuts With Brass Insert,Black Nylon,15 Pcs.,BMW # 07-13-0-702-715; Honda # 75307-SN7-000
Retainers Hood Insulation,18103PK,"19/64"" (7.50mm) Hole Size 25mm Stem Length 14mm Head Diameter","19/64"" (7.50mm) Hole Size 25mm Stem Length 14mm Head Diameter Black Nylon Seat Back Panel Retainers",Black Nylon,25 Pcs.,BMW # 52-20-1-964-201
Hood & Trunk Insulation Retainers,12859PK,"9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,25 Pcs.,"BMW # 51-48-1-915-464, 51-48-1-938-725"
