Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts,13432PK,"6-1.00mm Screw Size 2.00 - 4.00mm Panel Range 14.50mm Center of Hole to Edge Extruded ""U"" Nuts Zinc finish ""U"" Nuts","6-1.00mm Screw Size 2.00 - 4.00mm Panel Range 14.50mm Center of Hole to Edge Zinc Finish Extruded ""U"" Nuts Zinc finish ""U"" Nuts",Zinc Finish,25 Pcs.,Honda # 90675-SA5-003
"Speed Type ""U"" Nuts",18907PK,5.00 - 0.8mm Screw Size 4mm Max Panel Range 10mm Center of the Hole to Edge,5.00 - 0.8mm Screw Size 4mm Max Panel Range 10mm Center of the Hole to Edge Zinc Finish,Zinc Finish,25 Pcs.,Honda # 90308-SB2-013
"Speed Type ""U"" Nuts",17089PK,"5.00 - 1.81mm Screw Size 2.00 - 3.50mm Panel Range 8.00mm Center of Hole to Edge Zinc Finish ""U"" Nuts","5.00 - 1.81mm Screw Size 2.00 - 3.50mm Panel Range 8.00mm Center of Hole to Edge Zinc Finish ""U"" Nuts Zinc Engine Cover Phillips Bolts",Zinc Finish,50 Pcs.,Use With # 10246; Honda # 90331-S3Y-003; Acura# 90331-S3Y-003
Screws Phillips Flat Top Black Finish,18844PK,6-1.00 x 15mm 18mm Head Diameter 15.50mm Stem Length,6-1.00 x 15mm 18mm Head Diameter 15.50mm Stem Length Silver Finish,,15 Pcs.,#3 Phillips Drive Bolts; Honda # 90105-TBA-A00
Nuts Nylon,10246PK,5-1.81 x 20mm 13mm Head Diameter,5-1.81 x 20mm Phillips Flat Top 13mm Head Diameter Black Finish,Black Finish,100 Pcs.,"Honda 90103-SDA-A00, 90103-TA0-000"
Nuts Nylon,2157PK,17mm Stem Length 13mm Head Diameter 7mm Hole Size Center Pillar Screw Grommets,17mm Stem Length 13mm Head Diameter 7mm Hole Size Natural Nylon Center Pillar Screw Grommets,Natural Nylon,10 Pcs.,#4 (2.80mm) Screws Size; Honda # 91620-SR2-003
Door Trim Nuts,11414PK,7mm Stem Length 13mm Head Diameter 8.40 x 8.60mm Hole Size,7mm Stem Length 13mm Head Diameter 8.40 x 8.60mm Hole Size Natural Nylon,Natural Nylon,25 Pcs.,#4 (2.90mm) Screw Size; Honda # 90866-SA0-000
Nuts Nylon,9591PK,10mm Stem Length 14mm Head Diameter 7mm Hole Size Screw Grommets,10mm Stem Length 14mm Head Diameter 7mm Hole Size Natural Nylon With Sealer Screw Grommets,Natural Nylon,25 Pcs.,"#6 (3.50mm) Screw Size; Honda # 90662-693-0030, 90662-693-003,; Toyota # 90189-04066; Honda"
Retainers Grommets,1636PK,15mm Stem Length 14.50mm Head Diameter 7mm Hole Size Screw Grommets,15mm Stem Length 14.50mm Head Diameter 7mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#6 (3.50mm) Screw Size; Honda # 90672-671-8110M1; Toyota # 90189-04013
Nuts Nylon,16359PK,"4mm Screw Size 9.70mm Stem Length 9.50mm Flange 11/32"" (8.50mm) Hole Size Screw Grommets","4mm Screw Size 9.70mm Stem Length 9.50mm Flange 11/32"" (8.50mm) Hole Size Gray Nylon With Sealer Screw Grommets",Gray Nylon,15 Pcs.,Honda # 90656-SJK-J01
