Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
"Nuts Zinc ""U"" Type Metric",10785PK,Up to 1.50mm Panel Range 8mm Center of Hole to Edge,Up to 1.50mm Panel Range 8mm Center of Hole to Edge Black Nylon,Black Nylon,25 Pcs.,#14 (6.30mm) Screw Size; Hyundai # 86825-28800
"Nuts Extruded Type ""U"" Metric",18881PK,1.50mm Panel Range 10mm Center of Hole to Edge,1.50mm Panel Range 10mm Center of Hole to Edge Zinc Finish,Zinc Finish,25 Pcs.,#14 (6-1.81mm) Screw Size; Hyundai # 13355-06016; Kia # 13355-06016
Nuts Nylon,18893PK,6-1.00 Screw Size 1.50mm Panel Range 8mm Center of Hole to Edge,6-1.00 Screw Size 1.50mm Panel Range 8mm Center of Hole to Edge Black Finish Bumper Cover Extruded 'U' Nuts,Black Finish,25 Pcs.,Hyundai # 13341-06007-B; Kia # 13341-06007-B
Bumper Grommet,17939PK,12mm Stem Length 8.00 x 10.00mm Head Size,12mm Stem Length 8.00 x 10.00mm Head Size White Nylon,White Nylon,25 Pcs.,#6 (3.50mm) Screw Size
Door Handle Nuts,9683PK,9mm Stem Length 12 x 12mm Square Head 10mm Hole Size,9mm Stem Length 12 x 12mm Square Head 10mm Hole Size Natural Nylon,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 14910-05000
Body Moulding Screw Grommets,10783PK,10mm Stem Length 14mm Head Size 8.00 x 12.00mm Hole Size,10mm Stem Length 14mm Head Size 8.00 x 12.00mm Hole Size White Nylon With Sealer,White Nylon,15 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 87756-3D000
Trim Moulding Grommets,9681PK,12mm Stem Length 11.50mm Hole Size,12mm Stem Length 11.50mm Hole Size Gray Nylon With Sealer,Gray Nylon,10 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 87759-3S000
Trim Moulding Grommets,10779PK,14mm Stem Length 16.70mm Head Size 8.00 x 10.00mm Hole Size Rocker Moulding Screw Grommets,14mm Stem Length 16.70mm Head Size 8.00 x 10.00mm Hole Size White Nylon With Sealer Rocker Moulding Screw Grommets,White Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 87758-37000
Nuts Nylon,10772PK,16mm Stem Length 17.00 x 25.00mm Head Size 8.00 x 10.00mm Hole Size,16mm Stem Length 17.00 x 25.00mm Head Size 8.00 x 10.00mm Hole Size Yellow Nylon With Sealer,Yellow Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 87759-27000; Hyundai
Bumper Screw Grommets,9662PK,21mm Stem Length 18mm Head Diameter 8.50mm Hole Size,21mm Stem Length 18mm Head Diameter 8.50mm Hole Size Natrual Nylon With Sealer,,15 Pcs.,#8 (4.20mm) Screw Size; Hyundai # 86910-21010
