Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Screws,15038PK,6.50mm Stem Length 9.50mm Head Size 7.00 x 7.00mm Hole Size Light Screw Grommet,6.50mm Stem Length 9.50mm Head Size 7.00 x 7.00mm Hole Size Black Nylon Side Marker Light Screw Grommet,Black Nylon,,#8 (4.20mm)Screw Size; Honda# 75522-611-000; Mazda # 9991 -00-412; Mitsubishi # MS-480001
Screws,1577PK,6.50mm Stem Length 10mm Head Diameter 6.00 x 7.00mm Hole Size Side Marker Light Screw Grommets,6.50mm Stem Length 10mm Head Diameter 6.00 x 7.00mm Hole Size Natural Nylon Side Marker Light Screw Grommets,Natural Nylon,50 Pcs.,"#8 (4.20mm) Screw Size; Honda# 75522-611-000, 75522-611 -0000; Mazda # 9991-00-412; Mitsubishi # MS-480001; Nissan # 96706-B0700, 97606-B0700; Toyota# 90189-04042 195900-04036"
Screws,12725PK,16mm Stem Length 12mm Head Diameter 10mm Hole Size Screw Grommets,16mm Stem Length 12mm Head Diameter 10mm Hole Size Black Nylon Screw Grommets,Black Nylon,15 Pcs.,"#8 (4.20mm) Screw Size; Mitsubishi # MB029111; Toyota# 90189-04008, 90467-12096,"
Screws,1572PK,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#8 (4.20mm) Screw Size; Honda# 90661-SC7-0030, 90661-SC7-003; Mazda # H001 -50-841 ,; Mitsubishi# MS-480012; Nissan# 01651-00481 , 74798-S90000,; Toyota# 90189-06042"
Screws,10406PK,18mm Stem Length 16mm Head Diameter 9mm Hole Size Trunk Trim Screw Grommets,18mm Stem Length 16mm Head Diameter 9mm Hole Size Natural Nylon With Sealer Trunk Trim Screw Grommets,Natural Nylon,15 Pcs.,#8 (4.20mm) Screw Size; Mitsubishi # MU480034
Screws,9323PK,7mm Stem Length 13mm Head Diameter 8mm Hole Size Screw Grommets,7mm Stem Length 13mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,50 Pcs.,"#10 (4.80mm) Screw Size; Mitsubishi # MB383455; Nissan# 01281-00022, 72774-01F00"
Grille Screw Grommets,1560PK,11 mm Stem Length 12mm Head Diameter 8.00 x 9.00mm Hole Size,11 mm Stem Length 12mm Head Diameter 8.00 x 9.00mm Hole Size Natural Nylon,Natural Nylon,50 Pcs.,"#10 (4.80mm) Screw Size; G.M. # 94841764; Mitsubishi # MS480002, MS480009; Toyota# 90189-05013"
Grille Screw Grommets,1576PK,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Screw Grommets,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Mitsubishi# MB-098145; Nissan# 01281-00023, 01281-00231; Toyota# 90189-06001 196706-U0100"
Bumper Cover Grommet,13248PK,"33/64"" (13mm) Hole Size 21 mm Stem Length 24mm Head Diameter","33/64"" (13mm) Hole Size 21 mm Stem Length 24mm Head Diameter Black Nylon",Black Nylon,10 Pcs.,Mitsubishi# MB271999
Bumper Cover Grommet,9901PK,,,,25 Pcs.,
