Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts,12898PK,"Up to 1.50mm Panel Range 8mm Center of Hole to Edge ""U"" Type Nuts","Up to 1.50mm Panel Range 8mm Center of Hole to Edge White Nylon ""U"" Type Nuts",White Nylon,15 Pcs.,#10 (4.80mm) Screw Size; Nissan # 76882-0M000
Nuts,11161PK,"Up to 1mm Panel Range 9mm Center of Hole to Edge ""U"" Type Nuts","Up to 1mm Panel Range 9mm Center of Hole to Edge Black Nylon ""U"" Type Nuts",Black Nylon,,#12 (5.50mm) Screw Size; Nissan # 63848-D0100
Nuts,9530PK,"Up to 2mm Panel Range 9mm Center of Hole to Edge Inner Fender ""U"" Type Nuts","Up to 2mm Panel Range 9mm Center of Hole to Edge Black Nylon Inner Fender ""U"" Type Nuts",Black Nylon,10 Pcs.,"#12 (5.50mm) Screw Size; Nissan # 63848-D4000, 63848D4001"
"Nuts Speed Type ""U"" for Sheet Metal Screws",16369PK,"6-1.00 Screw Size 3.50mm Panel Range 13.50mm Center of Hole to Edge License Plate Bracket ""U"" Nuts","6-1.00 Screw Size 3.50mm Panel Range 13.50mm Center of Hole to Edge Black Nylon & Black Metal License Plate Bracket ""U"" Nuts",Black Nylon,25 Pcs.,Nissan # 01241-01051
Nuts Nylon,11128PK,".025 - .150"" Panel Range 3/8"" Center of Hole to Edge",".025 - .150"" Panel Range 3/8"" Center of Hole to Edge Zinc Organic Finish",Organic,25 Pcs.,#14 (6.30mm) Screw Size; Nissan # 08967-1065A; Tesla # 1006518-00-A
Nuts Nylon,9665PK,16mm Stem Length 12mm Head Diameter 7.00 x 7.00mm Square Hole Screw Grommets,16mm Stem Length 12mm Head Diameter 7.00 x 7.00mm Square Hole White Nylon With Sealer Screw Grommets,White Nylon,10 Pcs.,#4 (2.80mm) Screw Size; Nissan # 01281-01121
Nuts Nylon,15148PK,9.50mm Stem Length 11.50mm Head Diameter 7mm Hole Size Screw Grommets,9.50mm Stem Length 11.50mm Head Diameter 7mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#6 (3.50mm) Screw Size; Nissan # 96706-H2500
Nuts Nylon,10619PK,12mm Stem Length 12.00 x 16.00mm Head Size Windshield Moulding Grommets,12mm Stem Length 12.00 x 16.00mm Head Size Blue Nylon With Sealer Windshield Moulding Grommets,Blue Nylon,10 Pcs.,#6 (3.50mm) Screw Size; Nissan # 76848-50Y00; Nissan
Body Side Screw Grommets,2156PK,16.50mm Stem Length 8mm Head Size 7mm Hole Size,16.50mm Stem Length 8mm Head Size 7mm Hole Size Natural Nylon With Sealer,Natural Nylon,15 Pcs.,#6 (3.50mm) Screw Size; Nissan # 01281-00501
Body Side Screw Grommets,1577PK,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Light Screw Grommets,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Natural Nylon Side Marker Light Screw Grommets,Natural Nylon,50 Pcs.,"#8 (4.20mm) Screw Size; Honda # 75522-611-000, 75522-611-0000; Mazda # 9991-00-412; Mitsubishi # MS-480001; Nissan # 96706-B0700, 97606-B0700; Toyota # 90189-04042, 95900-04036"
Body Side Screw Grommets,9688PK,10mm Stem Length 16mm Head Diameter 9mm Hole Size & Light Screw Grommets,"10mm Stem Length 16mm Head Diameter 9mm Hole Size Natural Nylon Bumper, Fender & Light Screw Grommets",Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Nissan # 01281-00831
Bumper Screw Grommets,10617PK,14mm Stem Length 20.00 x 28.00mm Head Size 7.50 x 12.00mm Hole Size,14mm Stem Length 20.00 x 28.00mm Head Size 7.50 x 12.00mm Hole Size Natural Nylon,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Nissan # 71144-SR3-A00
Bumper Screw Grommets,11028PK,15mm Stem length 20mm Head Diameter 10mm Hole Size Rocker Moulding Screw Grommets,15mm Stem length 20mm Head Diameter 10mm Hole Size Natural Nylon With Sealer Rocker Moulding Screw Grommets,Natural Nylon,10 Pcs.,#8 (4.20mm) Screw Size; Nissan # 01281-00711
Bumper Screw Grommets,1572PK,17mm Stem Length 16mm Head Diameter 8mm Hole Size Screw Grommets,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90661-SC7-0030, 90661-SC7-003; Mazda # H001-50-841; Mitsubishi # MS-480012; Nissan # 01651-00481, 74798-S90000,; Toyota # 90189-06042"
