Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts Nylon,17941PK,"5 - .80mm Screw Size Center of Hole to Edge 10mm Splash Guard ""U"" Nuts","5 - .80mm Screw Size Center of Hole to Edge 10mm Black Nylon With Metal Insert Splash Guard ""U"" Nuts",Black Nylon,10 Pcs.,Subaru # 91086AA000
Nuts Nylon,13324PK,7mm Stem Length 14mm Head Size 8.50 x 9.50mm Hole Size Screw Grommets,7mm Stem Length 14mm Head Size 8.50 x 9.50mm Hole Size Yellow Nylon Screw Grommets,Yellow Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Subaru # 66117-9000, 90930-0007"
Nuts Nylon,15343PK,8.70mm Stem Length 17.00 x 17.00mm Head Size Arm Rest Screw Grommets,8.70mm Stem Length 17.00 x 17.00mm Head Size White Nylon Arm Rest Screw Grommets,White Nylon,15 Pcs.,#10 (4.80mm) Screw Size; Subaru # 94079AA000
Nuts Nylon,13323PK,18mm Stem Length 20mm Head Diameter Screw Grommets,18mm Stem Length 20mm Head Diameter White Nylon With Sealer Screw Grommets,White Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Subaru # 91084AA010
Nuts Nylon,15330PK,8mm Square Hole Size 10mm Stem Length 11.00 x 11.00mm Head Size Screw Grommets,8mm Square Hole Size 10mm Stem Length 11.00 x 11.00mm Head Size Blue Nylon Screw Grommets,Blue Nylon,25 Pcs.,Subaru # 62731-FA010
Nuts Nylon,18884PK,"21/64"" (8.50mm) Hole Size 14mm Stem Length 15mm x 19mm Head Size Tail Light Grommets","21/64"" (8.50mm) Hole Size 14mm Stem Length 15mm x 19mm Head Size White Nylon Tail Light Grommets",White Nylon,15 Pcs.,Subaru # 909220013
Clips Routing Cable Tubing,15341PK,"25/64"" (10mm) Hole Size 19.50mm Stem Length 25.00 x 33.00mm Head Size","25/64"" (10mm) Hole Size 19.50mm Stem Length 25.00 x 33.00mm Head Size Black Nylon With Sealer",Black Nylon,15 Pcs.,Subaru # 99011FC000NN; Subaru
Retainers Shield,16401PK,"25/64"" (10mm) Hole Size 20mm Overall Height Holds 5mm Diameter Cable","25/64"" (10mm) Hole Size 20mm Overall Height Holds 5mm Diameter Cable Black Nylon Trunk Release Cable Clips",Black Nylon,25 Pcs.,Subaru # 909205056
Retainers Hood Insulation,12084PK,"9/32"" (7mm) Hole Size 15mm Stem Length 18mm Head Diameter","9/32"" (7mm) Hole Size 15mm Stem Length 18mm Head Diameter Black Nylon Trunk Interior Trim Retainers",Black Nylon,25 Pcs.,Subaru # 99045AE03AMA
Retainers Hood Insulation,12852PK,"1/4"" (6.50mm) Hole Size 13mm Stem Length 30mm Head Size","1/4"" (6.50mm) Hole Size 13mm Stem Length 30mm Head Size Black Nylon Insulation Retainers",Black Nylon,10 Pcs.,Subaru # 90814-FC001
Hood Insulators Retainers,12092PK,"9/32"" (7mm) Hole Size 13mm Stem Length 30mm Head Diameter 3.00 - 11.00mm Panel Range","9/32"" (7mm) Hole Size 13mm Stem Length 30mm Head Diameter 3.00 - 11.00mm Panel Range Black Nylon",Black Nylon,15 Pcs.,Subaru # 90913-0074
Retainers Weatherstrip,15694PK,"5/16"" (8mm) Hole Size 15mm Stem Length 23mm Head Diameter","5/16"" (8mm) Hole Size 15mm Stem Length 23mm Head Diameter Black Nylon",Black Nylon,50 Pcs.,Subaru # 909207031
Retainers Push Type,12455PK,"13/64"" (5mm) Hole Size 8mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 8mm Stem Length 10mm Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,Honda # 91520-SCC-003; Nissan # 01553-08961; Subaru # 90826FA000
Retainers Push Type,16149PK,"13/64"" (5mm) Hole Size 8.50mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 8.50mm Stem Length 10mm Head Diameter Black Nylon Front & Rear Bumper",Black Nylon,15 Pcs.,Subaru # 909140059; Subaru
Push Type Retainers,9650PK,"15/64"" (6mm) Hole Size 11m m Stem Length 14.90mm Flange Size","15/64"" (6mm) Hole Size 11m m Stem Length 14.90mm Flange Size Black Nylon",Black Nylon,10 Pcs.,Mitsubishi # MR288150; Subaru # 909130013
Push Type Retainers,15321PK,"9/32"" (7mm) Hole Size 10mm Stem Length 15mm Head Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 15mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Subaru # 90914-0062
