Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
"Wheel Housing Type ""U"" Nuts",1601PK,Up to 1mm Panel Range                                              i      I 11mm Center of Hole to Edge,Up to 1mm Panel Range                                              i      I 11mm Center of Hole to Edge Black Nylon Fender,Black Nylon,15 Pcs.,"#10 (4.80mm) Screw Size; G.M. # 94841226; Mazda LA01-56-135; Toyota # 53879-14010-A, 53879-14020,"
"Wheel Housing Type ""U"" Nuts",15214PK,"Up to 1mm Panel Range 11mm Center of Hole to Edge Metric ""U"" Type Nuts","Up to 1mm Panel Range 11mm Center of Hole to Edge Gray Nylon Metric ""U"" Type Nuts",Gray Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Mazda # B455-56-135
Nuts Nylon,18105PK,"Up to 1mm Panel Range 11mm Center of Hole to Edge ""U"" Type Nuts","Up to 1mm Panel Range 11mm Center of Hole to Edge Gray Nylon Front Bumper ""U"" Type Nuts",Gray Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Mazda # C274-50-133
Nuts Nylon,15038PK,6.50mm Stem length 9.50mm Head Size 7.00 x 7.00mm Hole Size Light Screw Grommet,6.50mm Stem length 9.50mm Head Size 7.00 x 7.00mm Hole Size Black Nylon Side Marker Light Screw Grommet a                      •t=,Black Nylon,50 Pcs.,#8 (4.20mm)Screw Size; Honda # 75522-611-000; Mazda # 9991-00-412; Mitsubishi # MS-480001
Nuts Nylon,1577PK,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Light Screw Grommets,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Natural Nylon Side Marker Light Screw Grommets,Natural Nylon,50 Pcs.,"#8 (4.20mm) Screw Size; Honda # 75522-611-000, 75522-611-0000; Mazda # 9991-00-412; Mitsubishi # MS-480001; Nissan # 96706-B0700, 97606-B0700; Toyota # 90189-04042, 95900-04036"
Nuts Nylon,9659PK,15mm Stem Length 20mm Head Diameter Screw Grommets,15mm Stem Length 20mm Head Diameter White Nylon Screw Grommets,White Nylon,10 Pcs.,#8 (4.20mm) Screw Size; Mazda # GJ6A-58-975
Nuts Nylon,1572PK,17mm Stem Length 16mm Head Diameter 8mm Hole Size Screw Grommets,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90661-SC7-0030, 90661-SC7-003; Mazda # H001-50-841; Mitsubishi # MS-480012; Nissan # 01651-00481, 74798-S90000,; Toyota # 90189-06042; Mazda"
Nuts Nylon,1614PK,8mm Stem Length 13mm Head Size 8.50mm Hole Size Screw Grommets,8mm Stem Length 13mm Head Size 8.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Honda # 75521-611-0000, 91619-SA5-003; Mazda # 9991-00-601; Nissan # 96706-P0105; Toyota # 90189-06010"
Nuts Nylon,1296PK,8mm Stem Length 16.50mm Head Size 8.00 x 8.50mm Hole Size Screw Grommets,8mm Stem Length 16.50mm Head Size 8.00 x 8.50mm Hole Size Natural Nylon Screw Grommets 90662-SB-003,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Honda # 90662-671-0030, 90662-671-003,; Mazda # 9991-00-503; Nissan # 68425-H5000, 62698-V7000"
Nuts Nylon,14992PK,7.50mm Stem length 11.50mm Head Size 8.00 x 8.00mm Hole Size Spalsh Shield Grommets,7.50mm Stem length a 11.50mm Head Size 8.00 x 8.00mm Hole Size Natural Nylon Spalsh Shield Grommets,Natural Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Mazda # 9991-00-501
Nuts Specialty,17067PK,"5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter Tail Light Grommets","5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter Natural Nylon With Sealer Tail Light Grommets ®",Natural Nylon,25 Pcs.,Mazda # GA7B-51-146
Emblem Tubular Nuts,16380PK,2.50mm Stud Size 8mm Head Diameter 6mm Hole Size,2.50mm Stud Size 8mm Head Diameter 6mm Hole Size Clear Nylon With Sealer @,,25 Pcs.,Mazda # LA01-51-958
Clips Routing Cable & Tube,16383PK,3.50mm Stud Size 12mm Outside Diameter,3.50mm Stud Size 12mm Outside Diameter Stainless Steel,,50 Pcs.,Mazda # 9957-83-000
Clips Routing Cable & Tube,9820PK,"15/64"" (6mm) Hole Size 8mm Tubing or Cable Diameter","15/64"" (6mm) Hole Size 8mm Tubing or Cable Diameter Natural Nylon Tube or Cable Routing Clips",Natural Nylon,25 Pcs.,Mazda # 9927-70-901
Clips Hood Release Cable,18108PK,"15/64"" (6mm) Hole Size 9mm Stem Length Holds 5mm Diameter Cable","15/64"" (6mm) Hole Size 9mm Stem Length cf Holds 5mm Diameter Cable Black Nylon",Black Nylon,25 Pcs.,Mazda # D001-56-731; Mazda
Retainers Hood Insulation,16379PK,8mm Rod Size 9.00 x 12.00mm Hole Size 26mm Overall Length,8mm Rod Size 9.00 x 12.00mm Hole Size 26mm Overall Length Black Nylon,Black Nylon,25 Pcs.,Mazda # L206-56-652A
Hood Insulation Retainer,13315PK,"15/64"" (6mm) Hole Size 9mm Stem Length 20mm Head Diameter","15/64"" (6mm) Hole Size 9mm Stem Length 20mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,"Ford # F22Z-16774-A, GA2A-56694; Mazda # G030-68-885-B-38"
Hood Insulation Retainer,9522PK,"15/64"" (6mm) Hole Size 10mm Stem Length 14mm Head Diameter","15/64"" (6mm) Hole Size 10mm Stem Length 14mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,"Ford # F1CZ-16774-A,; Mazda # B455-56-741"
