Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
"Wheel Housing Type ""U"" Nuts",1601PK,Up to 1mm Panel Range 11mm Center of Hole to Edge,Up to 1mm Panel Range 11mm Center of Hole to Edge Black Nylon Fender,Black Nylon,15 Pcs.,"#10 (4.80mm) Screw Size; G.M. # 94841226; Mazda LA01-56-135; Toyota # 53879-14010-A, 53879-14020,"
"Wheel Housing Type ""U"" Nuts",12494PK,"Up to 3mm Panel Range 14mm Center of Hole to Edge ""U"" Type Nuts","Up to 3mm Panel Range 14mm Center of Hole to Edge Black Nylon ""U"" Type Nuts",Black Nylon,10 Pcs.,#10 (4.80mm) Screw Size; Toyota # 90179-05060
"Wheel Housing Type ""U"" Nuts",11421PK,"Up to 1.00mm Panel Range 14mm Center of Hole to Edge ""U"" Type Nuts","Up to 1.00mm Panel Range 14mm Center of Hole to Edge Black Nylon ""U"" Type Nuts",Black Nylon,10 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90467-05114
"Wheel Housing Type ""U"" Nuts",1606PK,"Up to 1.00mm Panel Range 15mm Center of Hole to Edge ""U"" Type Nuts","Up to 1.00mm Panel Range 15mm Center of Hole to Edge Black Nylon Fender Wheel Housing                       I ~ \ I. ""U"" Type Nuts",Black Nylon,15 Pcs.,#14 (6.30mm) Screw Size; Toyota # 53879-22010
"Wheel Housing Type ""U"" Nuts",11388PK,Up To 2mm Panel Range 12mm Center of Hole to Edge,Up To 2mm Panel Range 12mm Center of Hole to Edge,,15 Pcs.,#14 (6.30mm) Screw Size
Nuts Nylon,15083PK,"""U"" Type Nuts Up to 3mm Panel Range 14mm Center of Hole to Edge ""U"" Type Nuts","Dark Red Nylon Front Bumper ""U"" Type Nuts Up to 3mm Panel Range 14mm Center of Hole to Edge Black Nylon Front Bumper & Fender Liner ""U"" Type Nuts",Black Nylon,15 Pcs.,"Toyota # 90467-A0018, 90467-05081,; #14 (6.30mm) Screw Size; Toyota # 90467-05138"
Nuts Nylon,16473PK,7mm Stem Length 10mm Head Size 7.00 x 7.00mm Hole Size Screw Grommets,7mm Stem Length 10mm Head Size 7.00 x 7.00mm Hole Size White Nylon Screw Grommets 81150-1A750,White Nylon,25 Pcs.,"#6 (3.50mm) Screw Size; Toyota # 81137-22530, 90075-10004,"
Nuts Nylon,1978PK,8mm Stem Length 12.00 x 16.00mm Head Size 6.00 x 10.00mm Hole Size Screw Grommets,8mm Stem Length 12.00 x 16.00mm Head Size 6.00 x 10.00mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,50 Pcs.,#6 (3.50mm) Screw Size; Isuzu # 8941340270; Toyota # 90189-05012; Toyota
Nuts Nylon,9112PK,8mm Stem Length 12mm Head Diameter 7.00 x 7.50mm Hole Size Screw Grommets,8mm Stem Length 12mm Head Diameter 7.00 x 7.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#6 (3.50mm) Screw Size; Toyota # 90189-04011, 90189-04057"
Nuts Nylon,9591PK,10mm Stem Length 14mm Head Diameter 7mm Hole Size Screw Grommets,10mm Stem Length 14mm Head Diameter 7mm Hole Size Natural Nylon With Sealer Screw Grommets,Natural Nylon,25 Pcs.,"#6 (3.50mm) Screw Size; Honda # 90662-693-0030, 90662-693-003,; Toyota # 90189-04066"
Nuts Nylon,1636PK,15mm Stem Length 14.50mm Head Diameter 7mm Hole Size Screw Grommets,15mm Stem Length 14.50mm Head Diameter 7mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#6 (3.50mm) Screw Size; Honda # 90672-671-8110M1; Toyota # 90189-04013
Nuts Nylon,1577PK,6.50mm Stem Length 10mm Head Diameter 6.00 x 7.00mm Hole Size Side Marker Light Screw Grommets,6.50mm Stem Length 10mm Head Diameter 6.00 x 7.00mm Hole Size Natural Nylon Side Marker Light Screw Grommets,Natural Nylon,50 Pcs.,"#8 (4.20mm) Screw Size; Honda # 75522-611-000, 75522-611-0000; Mazda # 9991-00-412; Mitsubishi # MS-480001; Nissan # 96706-B0700, 97606-B0700; Toyota # 90189-04042, 95900-04036"
Nuts Nylon,12902PK,7mm Stem Length 10mm Head Diameter 7mm Hole Size Screw Grommets,7mm Stem Length 10mm Head Diameter 7mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,50 Pcs.,#8 (4.20mm) Screw Size; Toyota # 90189-04014
Nuts Nylon,11143PK,8mm Stem Length 17mm Head Diameter 9mm Hole Size,8mm Stem Length 17mm Head Diameter 9mm Hole Size Natural Nylon Headlight Mounting Nuts,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Toyota # 90189-05142
Nuts Nylon,12725PK,16mm Stem Length 12mm Head Diameter 10mm Hole Size Screw Grommets,16mm Stem Length 12mm Head Diameter 10mm Hole Size Black Nylon Screw Grommets,Black Nylon,15 Pcs.,"#8 (4.20mm) Screw Size; Mitsubishi # MB029111; Toyota # 90189-04008, 90467-12096,; Toyota"
Nuts Nylon,1572PK,17mm Stem Length 16mm Head Diameter 8mm Hole Size Screw Grommets,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets a,Natural Nylon,25 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90661-SC7-0030, 90661-SC7-003; Mazda # H001-50-841; Mitsubishi # MS-480012; Nissan # 01651-00481, 74798-S90000,; Toyota # 90189-06042"
Nuts Nylon,1610PK,7mm Stem Length 14mm Head Diameter 9mm Hole Size Screw Grommets,7mm Stem Length 14mm Head Diameter 9mm Hole Size Black Nylon Screw Grommets,Black Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Toyota # 90189-06018
Nuts Nylon,1614PK,8mm Stem Length 13mm Head Diameter 8.50mm Hole Size Screw Grommets,8mm Stem Length 13mm Head Diameter 8.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Honda # 75521-611-0000, 91619-SA5-003; Mazda # 9991-00-601; Nissan # 96706-P0105; Toyota # 90189-06010"
Nuts Nylon,16399PK,"8mm Stem Length 17mm Head Diameter 23/64"" (9mm) Hole Size Headlamp Assembly Grommet","8mm Stem Length 17mm Head Diameter 23/64"" (9mm) Hole Size Yellow Nylon Headlamp Assembly Grommet",Yellow Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Toyota # 90189-06238
Nuts Nylon,10659PK,10mm Stem Length 16mm Head Diameter 9mm Hole Size Screw Grommets,10mm Stem Length 16mm Head Diameter 9mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Nissan # 01281-00111; Toyota # 90189-06006
Wheel Apron Thumb Drive Nuts,18831PK,"6-1.00mm Thread Size 25/64"" (10mm) Hole Size 18mm Flange Diameter 10mm Height","6-1.00mm Thread Size 25/64"" (10mm) Hole Size 18mm Flange Diameter 10mm Height Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-06169
Grille Screw Grommets,1560PK,11mm Stem Length 12mm Head Size 8.00 x 9.00mm Hole Size,11mm Stem Length 12mm Head Size 8.00 x 9.00mm Hole Size Natural Nylon,Natural Nylon,50 Pcs.,"#10 (4.80mm) Screw Size; G.M. # 94841764; Mitsubishi # MS480002, MS480009; Toyota # 90189-05013"
Nuts Nylon,1576PK,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Screw Grommets,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Mitsubishi # MB-098145; Nissan # 01281-00023, 01281-00231; Toyota # 90189-06001, 96706-U0100; Toyota"
Nuts Nylon,10745PK,9mm Stem Length 17.00 x 30.00mm Head Diameter Front Bumper Screw Grommets,9mm Stem Length 17.00 x 30.00mm Head Diameter Black Nylon Front Bumper Screw Grommets,Black Nylon,5 Pcs.,"#12 (5.50-6mm) Screw Size; Toyota # 52535-50060, 52535-0E010"
Nuts Nylon,10794PK,10mm Stem Length 14.00 x 16.00mm Head Size 9.00 x 11.00mm Hole Size Front Bumper Screw Grommets,10mm Stem Length 14.00 x 16.00mm Head Size 9.00 x 11.00mm Hole Size White Nylon Front Bumper Screw Grommets,White Nylon,25 Pcs.,"#12 (5.50mm) Screw Size; Toyota # 90189-06193, 90189-06237"
