Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Splash Shield,5910PK,6-1.00mm Screw Size 10mm Hex Size 16mm Outside Diameter Metric Hex Nuts,6-1.00mm Screw Size 10mm Hex Size 16mm Outside Diameter Loose Barbed Washer Black Finish Metric Hex Nuts,Black Finish,25 Pcs.,"G.M. # 11505329, 11503752; V.W. # N90100001"
Push Type Retainers,15730PK,5mm Stud Size 30mm Flange Outside Diameter,5mm Stud Size 30mm Flange Outside Diameter Dacromet Finish Splash Shield & Wheel Well,Dacromet,25 Pcs.,V.W. # N90-335-006
Torx® Truss Head Screws,13260PK,5-2.12 x 19mm 14mm Head Diameter T25 Drive Size,5-2.12 x 19mm 14mm Head Diameter T25 Drive Size Black Finish,Black Finish,25 Pcs.,"Use with # 10937 & 13256; V.W. # N90892001, N90775001"
Torx® Truss Head Screws,10937PK,5mm Torx Screw Size 30mm Outside Diameter Flange,5mm Torx Screw Size 30mm Outside Diameter Flange Zinc Finish Splash Shield Retainers,Zinc Finish,25 Pcs.,"Use with # 13260 &13256; V.W. # N90-796-502, N90-335-004"
Retainers Skid Plates,13256PK,5-2.12 Screw Size 8mm Length 7.50 x 13mm Hole Size,5-2.12 Screw Size 8mm Length 7.50 x 13mm Hole Size Zinc Finish Splash Shield Retaining Nuts,Zinc Finish,25 Pcs.,"Use with # 13260 & 10937; V.W. # N10327101, N10327102"
Retainers Skid Plates,13253PK,"9/32"" (7mm) Hole Size 20mm Stem Length 18mm Head Diameter Slotted Drive Cowl Fasteners","9/32"" (7mm) Hole Size 20mm Stem Length 18mm Head Diameter Black Finish Steel Slotted Drive Cowl Fasteners",Black Finish,10 Pcs.,Use With # 13254 & 1655; V.W. # 8D0-805-121B
Retainers Skid Plates,1655PK,8mm Bolt Size 8.40mm Inside Diameter 15.8mm Outside Diameter 1.6mm Thick Bright Zinc Finish,8mm Bolt Size 8.40mm Inside Diameter 15.8mm Outside Diameter 1.6mm Thick Bright Zinc Finish Metric Flatwashers,Zinc Finish,100 Pcs.,Use With # 13253 & 13254
Retainers Skid Plates,13254PK,"6mm Stud Size 12.20mm Center of Hole to Edge ""U"" Nuts For Nylon Screws","6mm Stud Size 12.20mm Center of Hole to Edge Zinc Finish Speed Type ""U"" Nuts For Nylon Screws Volkswagen",Zinc Finish,10 Pcs.,Use With # 13253 & 1655; V.W. # 8D0805960
Retainers Skid Plates,12589PK,6mm Stem Diameter 22mm Stem Length 25mm Head Diameter,6mm Stem Diameter 22mm Stem Length 25mm Head Diameter Black Nylon Slotted Skid Plate Screws,Black Nylon,25 Pcs.,Use With # 13255; V.W. # 4A0-805-121A
Retainers Skid Plates,13255PK,6mm Stud Size 20mm Width 16mm Height Skid Shield Grommets,6mm Stud Size 20mm Width 16mm Height Black Nylon Skid Shield Grommets,Black Nylon,25 Pcs.,Use With # 12589; V.W. # 4A0805163
Retainers Skid Plates,16991PK,"11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Phillips Drive Cowl Fasteners","11/64"" (4.50mm) Hole Size 18.50mm Stem Length 16mm Head Diameter Black Finish Phillips Drive Cowl Fasteners",Black Finish,10 Pcs.,Use With # 16990; V.W. # 8K0-805-121
Nuts Nylon,16990PK,"4.50mm Stud Size 13mm Center of Hole to Edge Skid Plate ""U"" Nuts","4.50mm Stud Size 13mm Center of Hole to Edge Zinc Finish Skid Plate ""U"" Nuts",Zinc Finish,15 Pcs.,Use With # 16991; Audi # 8K0-805-922A
Nuts Nylon,1297PK,"5/16"" Stem Length 13/32"" Head Diameter 9/32"" Hole Size Headlight Screw Grommets","5/16"" Stem Length 13/32"" Head Diameter 9/32"" Hole Size Natural Nylon Headlight Screw Grommets a",Natural Nylon,50 Pcs.,"#6 (3.50mm) Screw Size; Chrysler # 6029501; G.M. # 1370853; V.W. # 179-813-883, 155-809-966"
