Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts Nylon,17089PK,"5.00 - 1.81mm Screw Size 2.00 - 3.50mm Panel Range 8.00mm Center of Hole to Edge Zinc Finish ""U"" Nuts","5.00 - 1.81mm Screw Size 2.00 - 3.50mm Panel Range 8.00mm Center of Hole to Edge Zinc Finish ""U"" Nuts",Zinc Finish,50 Pcs.,Use With # 10246; Honda # 90331-S3Y-003; Acura# 90331-S3Y-003
Clips Retaining,11147PK,10mm Stem Length 12mm Head Diameter 6.60mm Hole Size Rear Hatch Screw Grommets,10mm Stem Length 12mm Head Diameter 6.60mm Hole Size Gray Nylon With Sealer Rear Hatch Screw Grommets,Gray Nylon,10 Pcs.,#6 (3.50mm) Screw Size; Acura # 91601-STX-A00
Retainers Hood Insulation,9283PK,"13/64"" (5mm) Hole Size 13mm Stem Length 11mm Head Diameter","13/64"" (5mm) Hole Size 13mm Stem Length 11mm Head Diameter Black Nylon Retaining Clips",Black Nylon,50 Pcs.,"Acura # 90001-SG0-003; Honda # 66435-648-0000,"
Retainers Weatherstrip,9945PK,"19/64"" (7.50mm) Hole Size 10mm Stem Length 30mm Head Diameter","19/64"" (7.50mm) Hole Size 10mm Stem Length 30mm Head Diameter Black Nylon t",Black Nylon,15 Pcs.,Acura # 90700-SJ4-000
Retainers Push Type,10663PK,"13/64"" (5mm) Hole Size 7.80mm Stem Length 5.00 x 15.00mm Head Size","13/64"" (5mm) Hole Size 7.80mm Stem Length 5.00 x 15.00mm Head Size Yellow Nylon Weatherstrip Retainers",Yellow Nylon,100 Pcs.,"Honda # 90651-TP8-003, 91568-TR0-003"
Push Type Retainers,2128PK,"5/16"" (8mm) Hole Size 11mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 11mm Stem Length 20mm Flange Diameter Black Nylon Fender & Bumper",Black Nylon,25 Pcs.,Acura # 91512-SX0-003; G.M. # 11519949; Mitsubishi # MU000319
Retainers Phillips Screw,9282PK,"25/64"" (10mm) Hole Size 16mm Stem Length 20mm Flange Diameter","25/64"" (10mm) Hole Size 16mm Stem Length 20mm Flange Diameter Black Nylon Front Bumper Push Retainers",Black Nylon,15 Pcs.,Acura # 91503-SZ3-003; Acura
Retainers Phillips Screw,5930PK,"15/64"" (6mm) Hole Size 11mm Stem Length 18mm Flange Diameter","15/64"" (6mm) Hole Size 11mm Stem Length 18mm Flange Diameter Black Nylon Vent Panel Phillips Screw Retainers",Black Nylon,25 Pcs.,Acura # 90688SB0-013; Honda # 90688-SB0-003
Retainers Phillips Screw,2163PK,"5/16"" (8mm) Hole Size 21mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 21mm Stem Length 20mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,5 Pcs.,Acura # 90505-SL0-003; Chrysler # MB888869; G.M. # 9485236; Toyota # 90467-08155
Retainers Door Trim Panel,9202PK,"25/64"" (10mm) Hole Size 15mm Stem Length 20mm Flange Diameter","25/64"" (10mm) Hole Size 15mm Stem Length 20mm Flange Diameter Black Nylon Front & Rear",Black Nylon,15 Pcs.,Acura # 91503-SP0-003; BMW # 07-13-0-702-966; G.M. # 94530623
Clips Moulding,10824PK,"5/16"" (8mm) Hole Size 13mm Stem Length 12mm Top Head Diameter","5/16"" (8mm) Hole Size 13mm Stem Length 12mm Top Head Diameter Black Nylon",Black Nylon,15 Pcs.,Acura # 90602-SEP-A00
Moulding Retainers,11146PK,"7/16"" (11mm) Hole Size 9mm Stem Length 12.00 x 15.00mm Top Head Size","7/16"" (11mm) Hole Size 9mm Stem Length 12.00 x 15.00mm Top Head Size White Nylon Front & Rear Door",White Nylon,15 Pcs.,Acura # 75315-STK-A01
Body Side Moulding Clips,1946PK,"7/16"" (11mm) Hole Size 14mm Stem Length 9.50 x 10.00mm Head Size","7/16"" (11mm) Hole Size 14mm Stem Length 9.50 x 10.00mm Head Size Green Nylon",,15 Pcs.,Acura # 91501-SG0-003
