Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Bumper Cover Nuts,12062PK,11mm Head Size 9mm Stem Length 8mm Hole Size,11mm Head Size 9mm Stem Length 8mm Hole Size White Nylon Front & Rear,White Nylon,25 Pcs.,Kia # 86699-2D000
Bumper Cover Nuts,10781PK,15mm Head Size 8mm Stem Length 10mm Hole Size Headlight Assembly Grommets,15mm Head Size 8mm Stem Length 10mm Hole Size Natural Nylon Headlight Assembly Grommets,Natural Nylon,25 Pcs.,Hyundai # XG300/350; Kia # 92351-37000
Retainers Hood Seal,12056PK,14mm Hex Size 14mm Overall Height 25mm Flange Diameter,14mm Hex Size 14mm Overall Height 25mm Flange Diameter Black Nylon,Black Nylon,25 Pcs.,Kia # 0K95A-68615
Retainers Grommet,18891PK,"1/4"" (6.50mm) Hole Size 9.50mm Stem Length 13.05 x 4.75 Head Diameter","1/4"" (6.50mm) Hole Size 9.50mm Stem Length 13.05 x 4.75 Head Diameter Black Nylon Hood Seal & Rocker Moulding Upper Clips Mounting Retainers",Black Nylon,25 Pcs.,Hyundai # 86438-A5000; Kia # 86438-A5000
Retainers Phillips Screw,12075PK,25.00 x 30.00mm Head Size 15mm Stem Length 35mm Overall Length,25.00 x 30.00mm Head Size 15mm Stem Length 35mm Overall Length Black Nylon With Sealer,Black Nylon,5 Pcs.,Kia # 86591-25000
Retainers Phillips Screw,12377PK,"5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter","5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter Black Nylon Grille Phillips Screw Retainers",Black Nylon,15 Pcs.,Kia # 0G032-50037-A
Retainers Nylon Door Trim Panel,5900PK,"5/16"" (8mm) Hole Size 18mm Stem Length 20mm Flange Size","5/16"" (8mm) Hole Size 18mm Stem Length 20mm Flange Size Black Nylon Inner Fender Phillips Screw Type Retainers",Black Nylon,25 Pcs.,Ford # NA01-56145; Kia # MNA01-56-145; Nissan # 63844-01A00
Retainers Moulding,18800PK,"3/4"" (19mm) Overall Height","3/4"" (19mm) Overall Height Green Nylon Mounting Retainers",,25 Pcs.,Kia # 85859-3S500; Kia
Retainers Moulding,15873PK,"5/16"" (8mm) Hole Size 12mm Stem Length 13mm Top Head Diameter","5/16"" (8mm) Hole Size 12mm Stem Length 13mm Top Head Diameter Gray Nylon Exterior & Interior Moulding Retainers",Gray Nylon,50 Pcs.,Kia # 0K95-A-68401
Retainers Moulding,15978PK,"7/16"" (11mm) Hole Size 12mm Stem Length 10 x 12mm Top Head Size Gray Nylon W/ Sealer","7/16"" (11mm) Hole Size 12mm Stem Length 10 x 12mm Top Head Size Gray Nylon W/ Sealer Liftgate Moulding Clips",Gray Nylon,25 Pcs.,Kia # 87382-2W000
Moulding Retainers,12602PK,"15/32"" (12mm) Hole Size 10mm Stem Length 9.50 x 10.50mm Top Head Size","15/32"" (12mm) Hole Size 10mm Stem Length 9.50 x 10.50mm Top Head Size White Nylon With Sealer",White Nylon,25 Pcs.,"Kia # 87758-3E000, 87759-3E000,"
Moulding Retainers,17914PK,"15/32"" (12mm) Hole Size 10mm Stem Length 10 x 12mm Top Head Size","15/32"" (12mm) Hole Size 10mm Stem Length 10 x 12mm Top Head Size Red Nylon With Sealer Fender, Rocker & Wheel Moulding Retainers",,25 Pcs.,Kia # 87756-C5000
Wheel Flare & Body Side Clips,14954PK,"15/32"" (12mm) Hole Size 10mm Stem Length 11 x 13mm Top Head Size","15/32"" (12mm) Hole Size 10mm Stem Length 11 x 13mm Top Head Size Red Nylon With Sealer El",,15 Pcs.,Kia # 87756-3E500
Wheel Flare & Body Side Clips,18897PK,"15/32"" (12mm) Hole Size 10mm Stem Length 14 x 18mm Top Head Size","15/32"" (12mm) Hole Size 10mm Stem Length 14 x 18mm Top Head Size Yellow Nylon With Sealer Rocker Moulding Retainers",Yellow Nylon,25 Pcs.,Hyundai # 87757-J9000; Kia # 87757-J9000
