Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Screws,12634PK,14mm Stem length 9mm Head Size 7mm Hole Size Side Moulding Screw Grommets,14mm Stem length 9mm Head Size 7mm Hole Size Natural Nylon Side Moulding Screw Grommets,Natural Nylon,25 Pcs.,#4 (2.90mm) Screw Size; Lexus # 90189-04207
Screws,10808PK,7mm Stem Length 12 x 18mm Head Size 6.00 x 14.00mm Hole Size Rocker Trim Screw Grommets,7mm Stem Length 12 x 18mm Head Size 6.00 x 14.00mm Hole Size White Nylon Rocker Trim Screw Grommets,White Nylon,25 Pcs.,#6 (3.50mm) Screw Size; Lexus # 90189-04059
Clips Retaining,9481PK,24mm Stem Length 22.00 x 18.00mm Head Size Front Bumper Screw Grommets,24mm Stem Length 22.00 x 18.00mm Head Size White Nylon With Sealer Front Bumper Screw Grommets,White Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Lexus # 52197-30040
Retainers Push Type,15033PK,"5/16"" (8mm) Hole Size 14mm Stem Length 8.00 x 17.00mm Head Size","5/16"" (8mm) Hole Size 14mm Stem Length 8.00 x 17.00mm Head Size Black Nylon Retaining Clips",Black Nylon,10 Pcs.,Lexus # 90467-06092
Retainers Hood Seal,9329PK,"9/32"" (7mm) Hole Size 9mm Stem Length 17mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 17mm Flange Diameter Black Nylon",Black Nylon,10 Pcs.,Lexus # 90467-07117
Retainers Phillips Screw,18909PK,"13/64"" (5mm) Hole Size 10mm Stem Length 4.30 x 11mm Head Size","13/64"" (5mm) Hole Size 10mm Stem Length 4.30 x 11mm Head Size Black Nylon Front Bumper",Black Nylon,100 Pcs.,Lexus # 53145-60030; Toyota # 53145-60030
Retainers Phillips Screw,2143PK,"9/32"" (7mm) Hole Size 12mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 20mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,10 Pcs.,"Lexus # 90467-07138, 90467-07138-C0"
Retainers Phillips Screw,1943PK,"23/64"" (9mm) Hole Size 24mm Stem Length 18mm Flange Diameter","23/64"" (9mm) Hole Size 24mm Stem Length 18mm Flange Diameter Black Nylon Bumper Cover Phillips Screw Retainers",Black Nylon,25 Pcs.,Lexus # 90467-09101; Lexus
Retainers Phillips Screw,10428PK,"23/64"" (9mm) Hole Size 26mm Stem Length 19mm Flange Diameter","23/64"" (9mm) Hole Size 26mm Stem Length 19mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,10 Pcs.,Lexus # 90467-09143
Retainers Slotted Screw,5895PK,"23/64"" (9mm) Hole Size 27mm Stem Length 15mm Flange Diameter","23/64"" (9mm) Hole Size 27mm Stem Length 15mm Flange Diameter Black Nylon Bumper Cover Phillips Screw Retainers",Black Nylon,10 Pcs.,Lexus # 90467-09093
Retainers Slotted Screw,11950PK,10mm Head Diameter 24mm Stem Length,10mm Head Diameter 24mm Stem Length Black Nylon Front Bumper Cover & Fender Liner Pins,Black Nylon,15 Pcs.,Use With # 11951 & 17611; Lexus # 47749-50090; Toyota # 53879-30040
Retainers Slotted Screw,11951PK,35mm Width 25mm Length,35mm Width 25mm Length Black Nylon Front Bumper Cover & Fender Liner Retainers,Black Nylon,10 Pcs.,Use With # 11950; Lexus # 53879-50020
Retainers Moulding,17611PK,32mm Width 39mm Length,32mm Width 39mm Length Black Nylon Front Bumper Cover Retainers,Black Nylon,5 Pcs.,Toyota # 53879-30040
Fender Moulding Clips,10396PK,"5/16"" (8mm) Hole Size 20mm Stem Length 18mm Head Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 18mm Head Diameter Gray Nylon With Sealer",Gray Nylon,10 Pcs.,Lexus # 75492-60030
Fender Moulding Clips,10397PK,"5/16"" (8mm) Hole Size 20mm Stem Length 18mm Head Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 18mm Head Diameter Yellow Nylon With Sealer",Yellow Nylon,10 Pcs.,Lexus # 75394-60060
Retainers Moulding,10493PK,"23/64"" (9mm) Hole Size 9mm Stem Length 18mm Head Diameter","23/64"" (9mm) Hole Size 9mm Stem Length 18mm Head Diameter Pink Nylon With Sealer",,15 Pcs.,Lexus # 75395-33030; Lexus
Retainers Moulding,10491PK,"25/64"" (10mm) Hole Size 10mm Stem Length 18mm Head Diameter","25/64"" (10mm) Hole Size 10mm Stem Length 18mm Head Diameter Gray Nylon Rocker Panel Moulding Clips",Gray Nylon,15 Pcs.,"Lexus # 75392-60030, 75392-60031"
Retainers Moulding,13373PK,"7/16"" (11mm) Hole Size 10mm Stem Length 20mm Flange Diameter","7/16"" (11mm) Hole Size 10mm Stem Length 20mm Flange Diameter Green Nylon With Sealer Rear Lamp Moulding Clips",,15 Pcs.,Lexus # 81496-50010
Moulding Retainers,11853PK,18mm Head Diameter 24.50mm Overall Length,18mm Head Diameter 24.50mm Overall Length Black Nylon,Black Nylon,15 Pcs.,Lexus # 75393-60030
Moulding Retainers,9330PK,"5/16"" (8mm) Hole Size 15mm Stem Length 24.70 x 30.30mm Head Size","5/16"" (8mm) Hole Size 15mm Stem Length 24.70 x 30.30mm Head Size Black Nylon Side Moulding Retainers",Black Nylon,5 Pcs.,Lexus # 75049-33010
Moulding Retainers,9359PK,15mm Overall Width 55mm Overall Length,15mm Overall Width 55mm Overall Length Blue Nylon Windshield Moulding Clips,Blue Nylon,5 Pcs.,Lexus # 75545-53011
