Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Hose Clamps Mini/Standard,10889PK,"SAE #4Mini Band 5/16"" Clamp 1/4 Hex - Hose I.D. 5/8""        1/4""    1/8 - 5/16""",#4Mini Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,11408PK,"SAE #5Mini Band 5/16"" Clamp 1/4-11/16"" Hex 1/4"" Hose I.D. 1/8 - 3/8""",#5Mini Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10890PK,"SAE #6Mini Band 5/16"" Clamp 5/16 Hex - Hose I.D. 7/8""        1/4""    1/4 - 7/16""",#6Mini Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,18222PK,"SAE # 12 Mini Band 5/16"" Clamp 1/2 Hex - Hose I.D. 1 1/4""        1/4""     3/8 - 3/4""",# 12 Mini Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10891PK,"SAE # 6 Standard Band 1/2"" Clamp 3/8 Hex - Hose I.D. 7/8""       5/16""    5/16 - 3/8""",# 6 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10892PK,"SAE # 8 Standard Band 1/2"" Clamp 7/16 Hex - Hose I.D. 1""        5/16""    5/16 - 1/2""",# 8 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10893PK,"SAE # 10 Standard Band 1/2"" Clamp 1/2-11/16"" Hex 5/16"" Hose I.D. 3/8 - 5/8""",# 10 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10894PK,"SAE # 12 Standard Band 1/2"" Clamp 1/2 Hex - Hose I.D. 1 1/4""      5/16""     3/8 - 3/4""",# 12 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10895PK,"SAE # 16 Standard Band 1/2"" Clamp 11/16 Hex - Hose I.D. 1 1/2""     5/16""     3/4 - 7/8""",# 16 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10896PK,"SAE # 20 Standard Band 1/2"" Clamp 3/4 Hex - Hose I.D. 1 3/4""      5/16""    3/4 - 1 1/8""",# 20 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10897PK,"SAE # 24 Standard Band 1/2"" Clamp 1 Hex - Hose I.D. 2""         5/16""    7/8 - 1 3/8""",# 24 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10898PK,"SAE # 28 Standard Band 1/2"" Clamp 1 Hex 1/4 Hose I.D. - 2 1/4""     5/16""    1 1/4 - 1 5/8""",# 28 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10899PK,"SAE # 32 Standard Band 1/2"" Clamp 1 Hex 1/2 Hose I.D. - 2 1/2""     5/16""    1 1/2 - 1 7/8""",# 32 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10900PK,"SAE # 36 Standard Band 1/2"" Clamp 1 Hex 3/4 Hose I.D. - 2 3/4""     5/16""     1 3/4 - 2""",# 36 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10901PK,"SAE # 40 Standard Band 1/2"" Clamp 2 Hex - Hose I.D. 3""         5/16""     2 - 2 1/4""",# 40 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10902PK,"SAE # 44 Standard Band 1/2"" Clamp 2 Hex 1/4 Hose I.D. - 3 1/4""     5/16""    2 1/4 - 2 1/2""",# 44 Standard Hose Clamp,,10 Pcs.,
Hose Clamps Mini/Standard,10903PK,"SAE # 48 Standard Band 1/2"" Clamp 2 Hex 1/2 Hose I.D. - 3 1/2""     5/16""     21/2-4""",# 48 Standard Hose Clamp,,10 Pcs.,
