Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Abrasives,13274PK,"3""                 1/16""        3/8""           54                  25,000","3""                 1/16""        3/8""           54                  25,000",,10 Pcs.,
Abrasives,13274B,"3""                 1/16""        3/8""           54                  25,000","3""                 1/16""        3/8""           54                  25,000",,50 Pcs.,
Abrasives,13275PK,"3""                 1/32""        3/8""           54                  25,000","3""                 1/32""        3/8""           54                  25,000",,10 Pcs.,
Abrasives,13275B,"3""                 1/32""        3/8""           54                  25,000 13283                1/4"" ","3""                 1/32""        3/8""           54                  25,000 13283                1/4""                     3/8""                #13274 and #13275",,1 Pc.,
Surface Conditioning Discs,15094PK,"2""                     Coarse                     Brown","2""                     Coarse                     Brown",,50 Pcs.,
Surface Conditioning Discs,15095PK,"2""                    Medium                      Maroon","2""                    Medium                      Maroon",,50 Pcs.,
Surface Conditioning Discs,15096PK,"2""                      Fine                       Blue","2""                      Fine                       Blue",,50 Pcs.,
Surface Conditioning Discs,15097PK,"3""                    Coarse                     Brown","3""                    Coarse                     Brown",,25 Pcs.,
Surface Conditioning Discs,15098PK,"3""                    Medium                     Maroon","3""                    Medium                     Maroon",,25 Pcs.,
Surface Conditioning Discs,15099PK,"3""                     Fine                       Blue Disper ses Heat Rapid Stock Removal on Stainl","3""                     Fine                       Blue Disper ses Heat Rapid Stock Removal on Stainless Steel, Titanium. Rotors & Blades",,25 Pcs.,
Abrasive Discs,15100PK,"2""                      24                  Self Sharpening","2""                      24                  Self Sharpening",,25 Pcs.,
Abrasive Discs,15101PK,"2""                      36                  Self Sharpening","2""                      36                  Self Sharpening",,25 Pcs.,
Abrasive Discs,15102PK,"2""                      50                  Self Sharpening","2""                      50                  Self Sharpening",,25 Pcs.,
Abrasive Discs,15103PK,"2""                      80                  Self Sharpening","2""                      80                  Self Sharpening",,25 Pcs.,
Abrasive Discs,15104PK,"3""                             24                        Self Sharpening","3""                             24                        Self Sharpening",,25 Pcs.,
Abrasive Discs,15105PK,"3""                             36                        Self Sharpening","3""                             36                        Self Sharpening",,25 Pcs.,
Abrasive Discs,15106PK,"3""                             50                        Self Sharpening","3""                             50                        Self Sharpening",,25 Pcs.,
Abrasive Discs,15107PK,"3""                             80                        Self Sharpening These holders are made to b","3""                             80                        Self Sharpening These holders are made to be used with Surface Condi1loning or Removal Disc. Do, not use o·ttler hol'ders with this type of Oise. 15108              2""                             1/4""                            Hard Rubber 15109              3""                             1/4""                            Hard Rubber",,1 Pc.,
