Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Installation Tools,12938PK,"Nosepiece and Mandrel included         10-24, 10-32, 1/4-20, 5/16-18,    Standar","Nosepiece and Mandrel included         10-24, 10-32, 1/4-20, 5/16-18,    Standard Ratchet Insert Tool 3/8-16 Thread Size",,1 Kit,
Tools & Supplies,12941PK,Yes                      10-24 or 10-32                  Black         #,Yes                      10-24 or 10-32                  Black         #,,,
Tools & Supplies,12949PK,or,or,,,
Tools & Supplies,12950PK,,,,1 Pc.,
Tools & Supplies,12943PK,Yes                         1/4-20                       Black             #,Yes                         1/4-20                       Black             #,,,
Tools & Supplies,12951PK,,,,1 Pc.,
Tools & Supplies,12944PK,Yes                         5/16-18                      Black             #,Yes                         5/16-18                      Black             #,,,
Tools & Supplies,12952PK,,,,1 Pc.,
Tools & Supplies,12945PK,Yes                         3/8-16                       Black             #,Yes                         3/8-16                       Black             #,,,
Tools & Supplies,12953PK,~@,~@,,1 Pc.,
Tools & Supplies,2950PK,Yes Yes Zinc Zinc #,Yes Yes Zinc Zinc #,,,
Installation Tools,12925PK,"Nosepiece and Mandrel included        6,8,10 & 12mm Thread Pitch      Metric Rat","Nosepiece and Mandrel included        6,8,10 & 12mm Thread Pitch      Metric Ratchet Tool",,1 Kit,
Tools & Supplies,12926PK,No                         4mm                       Black          #,No                         4mm                       Black          #,,,
Tools & Supplies,12932PK,,,,1 Pc.,
Tools & Supplies,12927PK,No                         5mm                       Black          #,No                         5mm                       Black          #,,,
Tools & Supplies,12933PK,,,,1 Pc.,
Tools & Supplies,12928PK,Yes                        6mm                       Black          #,Yes                        6mm                       Black          #,,,
Tools & Supplies,12934PK,,,,1 Pc.,
Tools & Supplies,12929PK,Yes                        8mm                       Black          #,Yes                        8mm                       Black          #,,,
Tools & Supplies,12935PK,,,,1 Pc.,
Tools & Supplies,12930PK,Yes                        10mm                      Black          #,Yes                        10mm                      Black          #,,,
Tools & Supplies,12936PK,,,,1 Pc.,
Tools & Supplies,12931PK,Yes                        12mm                      Black          #,Yes                        12mm                      Black          #,,,
Tools & Supplies,12937PK,,,,1 Pc.,
Tools & Supplies,12956PK,Yes                         3mm                        Black         #,Yes                         3mm                        Black         #,,,
Tools & Supplies,12955PK,&,&,,,
Tools & Supplies,12960PK,,,,1 Pc.,
Tools & Supplies,12957PK,Yes                         4mm                        Black         #,Yes                         4mm                        Black         #,,,
Tools & Supplies,12961PK,,,,1 Pc.,
Tools & Supplies,12958PK,Yes                         5mm                        Black         #,Yes                         5mm                        Black         #,,,
Tools & Supplies,12962PK,,,,1 Pc.,
Tools & Supplies,12959PK,Yes                         6mm                        Black         #,Yes                         6mm                        Black         #,,,
Tools & Supplies,12963PK,,,,1 Pc.,
Tools & Supplies,12969PK,No                         1/4-20                      Black         #,No                         1/4-20                      Black         #,,,
Tools & Supplies,12974PK,,,,1 Pc.,
Tools & Supplies,2963PK,Yes Yes 5-.80mm 6-1 .00mm Zinc Zinc #,Yes Yes 5-.80mm 6-1 .00mm Zinc Zinc #,,,
Installation Tools,17654PK,"Cleans Top Post & Cable Connection 3"" Overall Length Battery Terminal Cleaning T","Cleans Top Post & Cable Connection 3"" Overall Length Battery Terminal Cleaning Tool",,1 Pc.,
Installation Tools,17655PK,"Cuts Up To 4/0 Cable 9"" Overall Length Battery Cable Cutting Tool","Cuts Up To 4/0 Cable 9"" Overall Length Battery Cable Cutting Tool",,1 Pc.,
Tools & Supplies,9499PK,"21"" Overall Length Have Nose pieces for Rivets 1/8"", 5/32"", 3/16"", 7/32"" & 1/4"" ","21"" Overall Length Have Nose pieces for Rivets 1/8"", 5/32"", 3/16"", 7/32"" & 1/4"" Diameter Heavy Duty Hand Riveter DIAMETER    3/32"" 1/8"" 5/32"" 3/16"" ALUMINUM ✓       ✓          ✓          ✓ STEEL ✓       ✓          ✓ STAINLESS ✓          ✓",,1 Pc.,
