Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Storage Boxes & Trays,80006,"7 1/8"" X 3 5/8"" X 1 1/2"" 6 Compartments Polypropylene Plastic Transparent Boxes","7 1/8"" X 3 5/8"" X 1 1/2"" 6 Compartments Polypropylene Plastic Transparent Boxes",,Sold Each,
Service Equipment,80112,8011 8,8011 8,,Sold Each,
Service Equipment,80106,"11""                      6 3/4""        1 3/4""             6            Transpare","11""                      6 3/4""        1 3/4""             6            Transparent",,Sold Each,
Service Equipment,80110,"11""                      63/4""         1 3/4""            10            Transpare","11""                      63/4""         1 3/4""            10            Transparent",,Sold Each,
Service Equipment,80118,"11""                      63/4""         1 3/4""            18            Transpare","11""                      63/4""         1 3/4""            18            Transparent",,Sold Each,
Service Equipment,80119,"11""                      6 3/4""        1 3/4""         Adjustable       Transpare","11""                      6 3/4""        1 3/4""         Adjustable       Transparent",,Sold Each,
Cabinets & Drawers,80350,"11 1/4"" Width x 6 3/4"" Depth 10 3/4"" Height Gray Finish Small Plastic Cabinet Us","11 1/4"" Width x 6 3/4"" Depth 10 3/4"" Height Gray Finish Small Plastic Cabinet Use with# 80106, 80110,",,Sold Each,
Cabinets & Drawers,80352,"11 1/4"" Width 6 3/4"" Depth 10 3/4"" Height Gray Finish Small Metal Cabinet Use wi","11 1/4"" Width 6 3/4"" Depth 10 3/4"" Height Gray Finish Small Metal Cabinet Use with# 80106,",,Sold Each,
Storage Boxes & Trays,0382,"18"" Width 12"" Depth 3"" Height 24 Hole with Catch Large Gray Metal Tray Use with ","18"" Width 12"" Depth 3"" Height 24 Hole with Catch Large Gray Metal Tray Use with #",,Sold Each,
Storage Boxes & Trays,80320,Nol Aclll'al Size r- '   I 1 ~   -~- .---~ --=-~ • Large Plastic Tray With Latch,Nol Aclll'al Size r- '   I 1 ~   -~- .---~ --=-~ • Large Plastic Tray With Latches                       • Non:-Adljustable Companmants • Du1rable1 & Weather Resistant                         • To Be Used With #,,Sold Each,
Storage Boxes & Trays,80120,"21 Hole            18 1/4""             12 1/4""            3 1/8""      Gray      ","21 Hole            18 1/4""             12 1/4""            3 1/8""      Gray             Gray 80120BC        21 Hole            18 1/4""             12 1/4""            3 1/8""    Dark Blue          Clear 80120GC        21 Hole            18 1/4""             12 1/4""            3 1/8""      Gray             Clear 80120RC        21 Hole            18 1/4""             12 1/4""            3 1/8""      Red              Clear 80120YC        21 Hole            18 1/4""             12 1/4""            3 1/8""     Yellow            Clear 3 '            - , "",' -   -··- •-   ----·----·-- . __ .... __ _- ..... ~    ~- -·- · - - · • - ~ ~                        •    -        "" • Large, Plastic Tray w·th Latches                   • Non~Adjustabla Compa.rtments • Durable1 & Weatheir R.esistant                     • To Be Used With ,#",,Sold Each,
Storage Boxes & Trays,80123,"24 Holes       18 1/4""           12 1/4""          3 1/8""          Gray        Gr","24 Holes       18 1/4""           12 1/4""          3 1/8""          Gray        Gray 80155BC                                 24 Holes       18 1/4""           12 1/4""          3 1/8""        Dark Blue     Clear 80123GC                                 24 Holes       18 1/4""           12 1/4""          3 1/8""          Gray        Clear 80152RC                                 24 Holes       18 1/4""           12 1/4""          3 1/8""          Red         Clear 80123YC                                 24 Holes       18 1/4""           12 1/4""          3 1/8""         Yellow       Clear • Larg,e Plastic Tray WUih Latc,hes              • .Adjustable Compartments ·• Durable, & Weather Resistant                  • To Be 'Used With# ,",,Sold Each,
Service Equipment,80132,"32 Holes    18 1/4""                                     12 1/4""          3 1/8"" ","32 Holes    18 1/4""                                     12 1/4""          3 1/8""          Gray        Gray 80156BC          32 Holes    18 1/4""                                     12 1/4""          3 1/8""        Dark Blue     Clear 80132GC          32 Holes    18 1/4""                                     12 1/4""          3 1/8""          Gray        Clear 80153RC          32 Holes    18 1/4""                                     12 1/4""          3 1/8""          Red         Clear 80132YC          32 Holes    18 1/4""                                     12 1/4""          3 1/8""         Yellow       Clear 4 This slider made to,·fit s·tand #",,Sold Each,
Service Equipment,80329,only. High Quality Ball Bearing Sliders,only. High Quality Ball Bearing Sliders,,Sold Each,
Storage Boxes & Trays,80328,"20 1/2"" Width 14"" Depth 15"" Height Gray Finish Holds 4 Trays With Ball Bearings ","20 1/2"" Width 14"" Depth 15"" Height Gray Finish Holds 4 Trays With Ball Bearings Large Metal Slider Use With #",,Sold Each,
Service Equipment,80324,"20 1/4""     12 3/4""        14 3/4""         Red                 #80152RC,#80153RC","20 1/4""     12 3/4""        14 3/4""         Red                 #80152RC,#80153RC",,Sold Each,
Service Equipment,80326,"20 1/4""     12 3/4""        14 3/4""         Black    #80155BC,#80123YC,#80156BC,#","20 1/4""     12 3/4""        14 3/4""         Black    #80155BC,#80123YC,#80156BC,#80132YC 5",,Sold Each,
Service Equipment,80357,"20 1/2""                 13""                    4""                   Gray        ","20 1/2""                 13""                    4""                   Gray        #",,Sold Each,
Service Equipment,80354,"20 1/2""                 13""                    15""                  Gray        ","20 1/2""                 13""                    15""                  Gray        #",,Sold Each,
Service Equipment,80325,"20 1/2""                 13""                    15""                  Red         ","20 1/2""                 13""                    15""                  Red         #",,Sold Each,
Service Equipment,80327,"20 1/2""                 13""                    15""                  Black       ","20 1/2""                 13""                    15""                  Black       #",,Sold Each,
Cabinets & Drawers,80144,"13 1/2"" Length Mounts on Right Side of Cabinet Bright Zinc Finish Locking Hinge ","13 1/2"" Length Mounts on Right Side of Cabinet Bright Zinc Finish Locking Hinge Use With #",,Sold Each,
Service Equipment,12108,80121R                    80121Y Not Actuar Size,80121R                    80121Y Not Actuar Size,,Sold Each,
Service Equipment,80121,"Plastic                  Large Style             Screws, Nuts & Handle     Gray ","Plastic                  Large Style             Screws, Nuts & Handle     Gray 80121D8                 Plastic                  Large Style             Screws, Nuts & Handle      Blue 80121R                  Plastic                  Large Style             Screws, Nuts & Handle      Red 80121Y                  Plastic                  Large Style             Screws, Nuts & Handle     Yellow 6 80157G,                       80157OB                                                           80157Y INot Actual Size 80157G                2 3/4"" X 2 1/2""            7 Per Set                   Gray           Use with #80132, 80132GC          1 Set 80157DB               2 3/4"" X 2 1/2""            7 Per Set                 Dark Blue           Use with #80156DB              1 Set 80157R                2 3/4"" X 2 1/2""            7 Per Set                   Red               Use with #80153RC              1 Set 80157Y                2 3/4"" X 2 1/2""            7 Per Set                  Yellow             Use with #80132YC              1 Set",,Sold Each,
Storage Boxes & Trays,9929,"16 1/2"" X 10 1/4"" Clear Vinyl With Adhesive Back Large Tray Lid Label Pocket Pro","16 1/2"" X 10 1/4"" Clear Vinyl With Adhesive Back Large Tray Lid Label Pocket Protector This Cabinet wW not frt Old dicScontimied numbers below: Gray Base",,Sold Each,
Service Equipment,80356,Gray Stand,Gray Stand,,Sold Each,
Service Equipment,80353,Gray Storag:e Bin,Gray Storag:e Bin,,Sold Each,
Service Equipment,80375,"33 3/4""             12""                   42""                  Gray       #","33 3/4""             12""                   42""                  Gray       #",,Sold Each,
Cabinets & Drawers,80378,"7 These Cabinets wlil!I no ·fil Old disconUrnued,numbers below: Gray Base .","7 These Cabinets wlil!I no ·fil Old disconUrnued,numbers below: Gray Base .",,Sold Each,
Service Equipment,80383,Width               De th            Height           Finish           Use With ,"Width               De th            Height           Finish           Use With             Q.     NEW 12""            5 3/4""           Gray          #",,Sold Each,
Cabinets & Drawers,80360,"23 1/2"" Width 22"" Depth 15"" Height 12 Dividers per Drawer Gray Finish Large 4 Dr","23 1/2"" Width 22"" Depth 15"" Height 12 Dividers per Drawer Gray Finish Large 4 Drawer Cabinet Use With Base #",,Sold Each,
Cabinets & Drawers,80371,"23 1/2"" Width 22"" Depth 15"" Height Gray Finish Large 4 Drawer Cabinet Use With B","23 1/2"" Width 22"" Depth 15"" Height Gray Finish Large 4 Drawer Cabinet Use With Base #",,Sold Each,
Storage Boxes & Trays,80361,"Does Not Include Tray 1 ,or Dividers","Does Not Include Tray 1 ,or Dividers",,Sold Each,
Storage Boxes & Trays,80369,"20 5/8"" Width x 21 1/4"" Depth x 3"" Height Adjustable Gray Plastic Jumbo Tray Div","20 5/8"" Width x 21 1/4"" Depth x 3"" Height Adjustable Gray Plastic Jumbo Tray Dividers Sold Separate Used With #",,Sold Each,
Service Equipment,80370,Used in a #,Used in a #,,Sold Each,
Cabinets & Drawers,0363,"15"" Length Mounts on Front of Cabinet Gray Finish Locking Bar Use With Cabinet #","15"" Length Mounts on Front of Cabinet Gray Finish Locking Bar Use With Cabinet #",,Sold Each,
Cabinets & Drawers,80321,"19"" Width 4"" Depth 26 3/4"" Height 22 Ga. Steel Frame Gray Baked Enamel 32 Hole S","19"" Width 4"" Depth 26 3/4"" Height 22 Ga. Steel Frame Gray Baked Enamel 32 Hole Storage Cabinet",,Sold Each,
Service Equipment,80381,"26 1/8"" Width 5 7/8"" Depth 36 1/2"" Height Gray Finish Wire Spool Rack Not Actual","26 1/8"" Width 5 7/8"" Depth 36 1/2"" Height Gray Finish Wire Spool Rack Not Actual Size, 10 • •        •     •",,Sold Each,
Service Equipment,80134,For Clamp Sizes 4-36 Will stand on a table or can be mounted to a wall Black Fin,"For Clamp Sizes 4-36 Will stand on a table or can be mounted to a wall Black Finish Hose Clamp Rack Sign will show Standard Hose Clamp Sizes .,        .- .                     -                 -·   - l'1 ,,..   .-       /~ ""       ~    ,,~'        ,.      ~      .    ~ I ' I I I l, I '",,Sold Each,
Service Equipment,80146,For Clamp Sizes 10mm-80mm Will stand on a table or can be mounted to a wall Blac,"For Clamp Sizes 10mm-80mm Will stand on a table or can be mounted to a wall Black Finish Hose Clamp Rack Sign will show European Style Hose Clamp Sizes A~ 4osic~~ps 1--.;;.  .;;:. 1=;- ==;-;;:;.   u m- "";ry ,.a  = n ,;:,_ 5                                   ~ "" i)         ,,~' , ..                  ..   ~ I' I I (, '. I",,Sold Each,
