Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Sales Aids,Top,,Selling Body Shop Fasteners    Sold,,Sold Each,
Sales Aids,15P,,Top Selling Body Shop Fasteners    Sold,,Sold Each,
Sales Aids,Oil,,Drain Hardware                  Sold,,Sold Each,
Sales Aids,Popular,,Hardware                            Sold,,Sold Each,
Sales Aids,8012,,13 Sample Board Set                        Sold,,Sold Each,
Sales Aids,Binder,,"and .Sampl,e Boards, sold",,,
Sales Aids,SBB,,"14.50"" Height x 13"" Width x 5"" Spine     Sold",,Sold Each,
Sales Aids,Beige,,Poly 3 Ring Binder,,,
Sales Aids,S80101,,Phillips Oval Head                     Sold,,Sold Each,
Sales Aids,S80103,,Phillips & Hex Head                    Sold,,Sold Each,
Sales Aids,S80201,,Black & Yellow Zinc Finish             Sold,,Sold Each,
Sales Aids,S80304,,Multiple Colors Coded To O.E.M. Nylon       Sold,,Sold Each,
Sales Aids,S80401,,"Black, Clear, Grey, White, Natural & Blue   Sold",,Sold Each,
Sales Aids,Black,,Nylon Screw & Push Type Retainers   Sold,,Sold Each,
Sales Aids,580403,,"Black, White & Natural Nylon              Sold",,Sold Each,
Sales Aids,580404,,Black Nylon Screw & Push Type Retainers   Sold,,Sold Each,
Sales Aids,S80405,,Black Nylon                           Sold,,Sold Each,
Sales Aids,S80601,,Multiple Colors Coded To O.E.M.       Sold,,Sold Each,
Sales Aids,Multiple,,Colors Coded To O.E.M.       Sold,,Sold Each,
Sales Aids,580801,,Multiple Colors Coded To O.E.M.       Sold,,Sold Each,
Sales Aids,580802,,#4 & #6 Mini #6 through #36           Sold,,Sold Each,
Sales Aids,S80804,,8mm through 90mm Clamping Range          Sold,,Sold Each,
Sales Aids,S80902,,All Aluminum Blind Rivets Dome & Large   Sold,,Sold Each,
Sales Aids,581001,,Multiple Colors Fuses Color Coded To    Sold,,Sold Each,
Sales Aids,581002,,Clear & Amber Small & Large Wedge       Sold,,Sold Each,
Sales Aids,S81003,,Clear & Amber Bayonet & Dome Type     Sold,,Sold Each,
Sales Aids,S81004,,Volkswagen Clips & Fasteners          Sold,,Sold Each,
Sales Aids,S81005,,Clear Halogen Fog & Headlight Bulbs   Sold,,Sold Each,
Sales Aids,Clear,,Halogen Fog & Headlight Bulbs   Sold,,Sold Each,
Sales Aids,5816023,,"Weatherstrip Retainers,               Sold",,Sold Each,
Sales Aids,5816024,,"Extruded ""U"" Nuts,                    Sold",,Sold Each,
Sales Aids,S816025,,"Weatherstrip, Door &               Sold",,Sold Each,
Sales Aids,S816026,,"Shield, Hood Insulation,           Sold",,Sold Each,
Sales Aids,S816027,,"Weatherstrip,                      Sold",,Sold Each,
Sales Aids,S816029,,"Nylon Nuts, Door,                   Sold",,Sold Each,
Sales Aids,S816030,,"Push, Screw Type &                  Sold",,Sold Each,
Sales Aids,S816031,,Door & Moulding Retainers          Sold,,Sold Each,
Sales Aids,S816032,,"Nylon Nut,                         Sold",,Sold Each,
Sales Aids,S816033,,Nut&                               Sold,,Sold Each,
Sales Aids,Push,,"On Type,                     Sold",,Sold Each,
Sales Aids,5816035,,"Push & Screw Type,                Sold",,Sold Each,
Sales Aids,5816036,,"Nutserts,                         Sold",,Sold Each,
Sales Aids,S816037,,"Nuts,                             Sold",,Sold Each,
Sales Aids,S816038,,Push Type Retainers               Sold,,Sold Each,
Sales Aids,S816039,,Shield & Screw Type Retainers     Sold,,Sold Each,
Sales Aids,S816041,,Flange & Loose Washer             Sold,,Sold Each,
Sales Aids,S816042,,Moulding Retainers                Sold,,Sold Each,
Sales Aids,S816043,,"1/2"" to 1"" O.D. &                    Sold",,Sold Each,
Sales Aids,S816044,,"1/2-20,                              Sold",,Sold Each,
Sales Aids,12624,,Contains Lid Label Information       Sold,,Sold Each,
Sales Aids,Lid,,Label Display Binder,,,
Sales Aids,10696,,"1 1/2"" Round 3 Ring                  Sold",,Sold Each,
Sales Aids,17875,,"12"" X 18""                         Sold",,Sold Each,
Sales Aids,12202,,Disco Rapid Recovery License           Regain Fastener Expense in Body Shop                       Sold,,Sold Each,
Sales Aids,12203,,Yearly License Renewal                 Annual Renewal Of Disco Rapid Recovery Program             Sold,,Sold Each,
Sales Aids,12204,,Integration for Disco Rapid Recovery   Transfer Data to CCC One (Additional Annual Fee)           Sold,,Sold Each,
Sales Aids,12205,,Disco Rapid Recovery Manual            Step By Step Description Of Disco Rapid Recovery Program   Sold,,Sold Each,
Sales Aids,15020,,Wired Barcode Scanner                  Programmed For Disco Rapid Recovery                        Sold,,Sold Each,
Sales Aids,15023,,Wireless Barcode Scanner               Programmed For Disco Rapid Recovery                        Sold,,Sold Each,
Sales Aids,Laptop,,Windows 10                      For Use With the Disco Rapid Recovery Program              Sold,,Sold Each,
Sales Aids,40,,English Wall Poster,,Sold Each,
Sales Aids,1HP1,,"Popular Hardware Displayed on a 26"" x 39"" Wall Poster I",,Sold Each,
Sales Aids,AR,,HARD~ Wall Poster,,Sold Each,
Sales Aids,13,,"Showroom Display Sample Boards I    4 :   ...   •   •   -. . .,,",,Sold Each,
