Section,Part_Number,Size,Finish,Quantity
Flat Head Tapping Screws,13169PK,"12 x 1 1/2""",Stainless Steel,50 Pcs.
Truss Head Screws,15374PK,"10 x 1/2""                               7/16""",Stainless Steel,50 Pcs.
Hex Cap Screws,18475PK,"1/4-20 x 1/2""         7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18477PK,"1/4-20 x 3/4""         7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18478PK,"1/4-20 x 1""          7/16""        50 Pcs.   1",Stainless Steel,50 Pcs.
Hex Cap Screws,18479PK,"1/4-20 x 1 1/4""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18480PK,"1/4-20 x 1 1/2""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18481PK,"1/4-20 x 1 3/4""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18482PK,"1/4-20 x 2""          7/16""        50 Pcs.   1",Stainless Steel,50 Pcs.
Hex Cap Screws,18483PK,"1/4-20 x 2 1/4""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18484PK,"1/4-20 x 2 1/2""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18485PK,"1/4-20 x 2 3/4""        7/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18486PK,"1/4-20 x 3""          7/16""        50 Pcs.   1",Stainless Steel,50 Pcs.
Hex Cap Screws,18493PK,"5/16-18 x 1/2""          1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18495PK,"5/16-18 x 3/4""          1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18496PK,"5/16-18 x 1""           1/2""        50 Pcs",Stainless Steel,50 Pcs
Hex Cap Screws,18497PK,"5/16-18 x 1 1/4""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18498PK,"5/16-18 x 1 1/2""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18499PK,"5/16-18 x 1 3/4""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
