Section,Part_Number,Size,Finish,Quantity,OEM_Number
Barrel Nuts,708PK,"1/8"" Stud Size                                100",Black Finish,100 Pcs.,
Barrel Nuts,709PK,"1/8"" Stud Size                                100",Black Finish,100 Pcs.,
Barrel Nuts,710PK,"1/8"" Stud Size                                100",Black Finish,100 Pcs.,
Barrel Nuts,9878PK,"3/16"" Stud Size                               100",Black Nylon,100 Pcs.,
Barrel Nuts,9941PK,"1/4"" Stud Size                                100",Black Finish,100 Pcs.,
Flat / Speed Nuts,690PK,"3/16"" Stud Size                               100",Black Finish,100 Pcs.,
Flat / Speed Nuts,9894PK,"#10-24 Stud Size 7/16 x 3/4"" Plate Size Black Phos",Black Phosphate Finish,,
Push On Nuts / Retainers,1684PK,"1/8"" Stud Size                                100",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1685PK,"5/32"" Stud Size                               100",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1686PK,"3/16"" Stud Size                               100",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1687PK,"1/4"" Stud Size                                100",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,12655PK,"3/8"" Screw Size                               100",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,9850PK,3.20mm Stud Size,Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1691PK,4mm Stud Size,Black Finish,100 Pcs.,
Push On Nuts / Retainers,16383PK,3.50mm Stud Size,Steel,50 Pcs.,
Push On Nuts / Retainers,9852PK,"#8 (5/32"") Screw Size",Black Finish,100 Pcs.,
Push On Nuts / Retainers,12912PK,"#10 (3/16"") Screw Size",Black Finish,100 Pcs.,
Push On Nuts / Retainers,1273PK,"1/4"" Screw Size                              100 P",Black Finish,100 Pcs.,
Push On Nuts / Retainers,1274PK,"5/16"" Screw Size                             100 P",Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,989PK,"3/8"" Screw Size                              100 P",Black Finish,100 Pcs.,
Push On Nuts / Retainers,990PK,"7/16"" Screw Size                             100 P",Black Finish,100 Pcs.,
Push On Nuts / Retainers,991PK,"1/2"" Screw Size                              100 P",Black Finish,100 Pcs.,
Push On Nuts / Retainers,12023PK,5 -.80mm Screw Size,Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1275PK,6-1.00mm Screw Size                         10,Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,1621PK,6-1.00mm Screw Size                         10,,100 Pcs.,
Push On Nuts / Retainers,1043PK,8-1.25mm Screw Size                         10,Zinc Finish,100 Pcs.,
Push On Nuts / Retainers,3010PK,8-1.25mm Screw Size                          5,Zinc Finish,50 Pcs.,
Retainer Nuts,9335PK,10-1.50mm Screw Size                         50,Black Finish,50 Pcs.,
Push On Nuts / Retainers,1276PK,10-1.50mm Screw Size                         50,,50 Pcs.,
Push On Nuts / Retainers,1044PK,12-1.75mm Screw Size                         50,Black Finish,50 Pcs.,
Push On Nuts / Retainers,9952PK,14-2.00mm Screw Size                         50,Black Finish,50 Pcs.,
Push On Nuts / Retainers,17093PK,16mm Screw Size                          2,Zinc Finish,25 Pcs.,
Specialty Nuts,265PK,"1/8"" Stud Size                          100 Pcs.",Zinc Finish,100 Pcs.,
Specialty Nuts,264PK,"5/32"" Stud Size                         100 Pcs. 3",Zinc Finish,100 Pcs.,
Specialty Nuts,9847PK,"3/16"" Stud Size                         200 Pcs. 3",Zinc Finish,200 Pcs.,
Specialty Nuts,263PK,"3/16"" Stud Size                         100 Pcs. 3",Zinc Finish,100 Pcs.,
Specialty Nuts,262PK,"1/4"" Stud Size                          100 Pcs.",Zinc Finish,100 Pcs.,
Specialty Nuts,9226PK,"1/4"" Stud Size                          100 Pcs.",Zinc Finish,100 Pcs.,
Specialty Nuts,856PK,"5/16"" Stud Size                          50 Pcs. 1",Zinc Finish,50 Pcs.,
Specialty Nuts,1040PK,4mm Stud Size                           1,Zinc Finish,100 Pcs.,
Specialty Nuts,1041PK,5mm Stud Size,Black Finish,50 Pcs.,
Specialty Nuts,1042PK,6.30mm Stud Size,Zinc Finish,50 Pcs.,
Specialty Nuts,16368PK,8mm Stud Size,Black Finish,100 Pcs.,
Specialty Nuts,11865PK,1/4-20 Screw Size                               10,Zinc Finish,100 Pcs.,
Specialty Nuts,11140PK,6-1.00mm Stud Size,,25 Pcs.,
Specialty Nuts,18451PK,5mm Stud Size,Zinc Finish,50 Pcs.,
Hex Nuts,259PK,10-24 Screw Size                                10,Zinc Finish,100 Pcs.,
Hex Nuts,11331PK,10-24 Screw Size                                10,Black Finish,100 Pcs.,
Hex Nuts,9883PK,1/4-20 Screw Size                          50 Pcs.,Black Nylon,50 Pcs.,
Hex Nuts,18316PK,3/8-16 (USS) Screw Size                    50 P,Zinc Finish,50 Pcs.,
Hex Nuts,5797PK,5-.80mm Screw Size                         50,Black Finish,50 Pcs.,
Hex Nuts,5800PK,6-1.00mm Screw Size                       100,Black Finish,100 Pcs.,
Hex Nuts,11191PK,8-1.25mm Screw Size                        25,Black Finish,25 Pcs.,
Hex Nuts,5805PK,8-1.25mm Screw Size                       100,Black Finish,100 Pcs.,
Hex Nuts,1017PK,10-1.50mm Screw Size                       25 P,Black Finish,25 Pcs.,
Hex Nuts,17921PK,1/4-20 Screw Size                          50 Pcs.,Zinc Finish,50 Pcs.,
Hex Nuts,12053PK,5-.80mm Thread Size                        50,Zinc Finish,50 Pcs.,
Hex Nuts,1639PK,5-.80mm Screw Size                         50,Black Finish,50 Pcs.,
Hex Nuts,12892PK,5 - .80mm Screw Size,Black Finish,50 Pcs.,
Hex Nuts,5910PK,6-1.00mm Screw Size                        25,Black Finish,25 Pcs.,
Hex Nuts,13503PK,6-1.00mm Thread Size                       50,Black Finish,50 Pcs.,
Hex Nuts,5915PK,6-1.00mm Screw Size                        25,Black Phosphate Finish,25 Pcs.,
Hex Nuts,11896PK,6-1.00mm Screw Size                        25,Black Finish,25 Pcs.,
Hex Nuts,12055PK,6-1.00mm Screw Size                        25,Zinc Finish,25 Pcs.,
Hex Nuts,10838PK,8-1.25mm Screw Size                        25,Black Phosphate Finish,25 Pcs.,
Hex Nuts,5916XPK,8-1.25mm Screw Size                          2,Black Finish,25 Pcs.,
Hex Nuts,11909PK,10-1.50mm Screw Size                         25,Black Finish,25 Pcs.,
Specialty Nuts,10053PK,#6 (3.50mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,9892PK,#6 (3.50mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,1350PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,11136PK,#8 (4.20mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5750PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,11040PK,#8 (4.20mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,13350PK,#8 (4.20mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,1510PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,16076PK,#8 (4.20mm) Screw Size,,25 Pcs.,
U-Type Nuts,11954PK,#8 (4.20mm) Screw Size,Zinc Finish,50 Pcs.,
Specialty Nuts,5751PK,#10 (4.80mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5752PK,#10 (4.80mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,11286PK,#10 (4.80mm) Screw Size,Zinc Finish,50 Pcs.,
Flat / Speed Nuts,13301PK,#10 (4.80mm) Screw Size,Zinc Finish,50 Pcs.,
Flat / Speed Nuts,11915PK,#10 (4.80mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,13434PK,#10 (4.80mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,17089PK,5 - 1.81mm Screw Size,,50 Pcs.,
Flat / Speed Nuts,10246PK,5 - 1.81 x 20mm,Black Finish,100 Pcs.,"Honda 90103-SDA-A00, 90103-TA0-000"
Flat / Speed Nuts,18881PK,#14 (6-1.81mm) Screw Size 1.50mm Panel Range,Zinc Finish,,
Flat / Speed Nuts,1192PK,#14 (6.30mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5753PK,#14 (6.30mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,9866PK,8-32 Screw Size                               25 P,Black Finish,25 Pcs.,
Flat / Speed Nuts,9897PK,10-24 Screw Size                             100 P,Black Finish,100 Pcs.,
Flat / Speed Nuts,9848PK,1/4-20 Screw Size                            100 P,Black Finish,100 Pcs.,
U-Type Nuts,938PK,10-24 Screw Size                              50 P,Black Finish,50 Pcs.,
U-Type Nuts,938ZPK,10-24 Screw Size                              50 P,Zinc Finish,50 Pcs.,
U-Type Nuts,2969PK,1/4-20 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,2969ZYPK,1/4-20 Screw Size                             25 P,Zinc Finish,25 Pcs.,
U-Type Nuts,5480PK,1/4-20 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,1836PK,5/16-18 Screw Size                            25 P,Black Finish,25 Pcs.,
U-Type Nuts,5412PK,3/8-16 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,5466PK,3/8-16 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,16095PK,6-1.00mm Screw Size,,25 Pcs.,
U-Type Nuts,16990PK,4.50mm Stud Size,Zinc Finish,15 Pcs.,
U-Type Nuts,16991PK,"11/64"" (4.50mm) Hole Size                     1",Black Finish,10 Pcs.,V.W. # 8K0-805-121
U-Type Nuts,13254PK,6mm Stud Size,Zinc Finish,10 Pcs.,
Flat / Speed Nuts,1655PK,8mm Bolt Size,Zinc Finish,100 Pcs.,
