Section,Part_Number,Size,Finish,Quantity,OEM_Number
Flush,9812PK,"1/2""",Black,100 Pcs.,
Flush,1302PK,"3/4""",Black,100 Pcs.,
Flush,1091PK,"7/8""",Black,100 Pcs.,
Flush,12592PK,"1 3/64""",Black,100 Pcs.,
Flush,1379PK,"1""",Black,100 Pcs.,
Flush,10801PK,"1 5/32""",Black,100 Pcs.,
Flush,1382PK,"1 7/16""",Black,100 Pcs.,
Flush,12140PK,"1 5/8""",Black,50 Pcs.,
Flush,1383PK,"1 7/8""",Black,25 Pcs.,
Flush,16325PK,"1 43/64""",Black,25 Pcs.,NEW
Flush,13407PK,"2 1/8""",Black,25 Pcs.,
Flush,13408PK,"2 7/16""",Black,10 Pcs.,
Flush,13409PK,"3""",Black,10 Pcs.,
Flush,13410PK,"3 3/8""",Black,5 Pcs.,
Flush,9827PK,"1/2""",White,50 Pcs.,
Flush,9828PK,"3/4""",White,50 Pcs.,
Flush,9829PK,"7/8""",White,50 Pcs.,
Flush,9830PK,"1""",White,50 Pcs.,
Locking,9844PK,"1/4"" Head, 1/16"" Panel Thickness",Black,100 Pcs.,
Locking,2051PK,"5/16"" Head, 1/16"" Panel Thickness",Black,50 Pcs.,
Locking,2052PK,"3/8"" Head, 1/16"" Panel Thickness",Black,50 Pcs.,
Locking,2053PK,"15/32"" Head, 1/8"" Panel Thickness",Black,50 Pcs.,
Locking,2225PK,"37/64"" Head, 1/8"" Panel Thickness",Black,50 Pcs.,
Locking,9831PK,"59/64"" Head, 1/8"" Panel Thickness",Black,50 Pcs.,
Depressed Center,9386PK,"7/8""",Black,100 Pcs.,
Depressed Center,9387PK,"1 5/32""",Black,100 Pcs.,
Depressed Center,13400PK,"1 1/4""",Black,100 Pcs.,
Depressed Center,12591PK,"1 3/8""",Black,100 Pcs.,
Depressed Center,13402PK,"1 7/8""",Black,100 Pcs.,
Depressed Center,13403PK,"2 1/8""",Black,50 Pcs.,
Depressed Center,13405PK,"3""",Black,25 Pcs.,
Depressed Center,13406PK,"3 1/2""",Black,10 Pcs.,
Depressed Center,16356PK,"6mm Stem Length, 10mm Head Size",Black Rubber,50 Pcs.,Trunk Lid Hole Plugs; Mercedes # 002-998-16-50
Depressed Center,16334PK,"29mm Head Size, 8.50mm Overall Height",Black Nylon,25 Pcs.,Door Hole Plugs; Honda # 95551-20000
Depressed Center,16333PK,"29mm Head Size, 9.50mm Overall Height",Black Nylon,25 Pcs.,Door Hole Plugs; Honda # 90820-SNA-003
Depressed Center,18809PK,"33.50mm Head Diameter, 7.50mm Height",Black Rubber,25 Pcs.,Underbody & Fender Hole Plugs; Honda # 90825-T2A-003
