Section,Part_Number,Description,Size,Quantity,OEM_Number
Caps Vacuum,10639PK,"1/8"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps","1/8"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,Ford# 380615-S 38766-S
Caps Vacuum,10640PK,"3/16"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps","3/16"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,Ford# 380614-S
Caps Vacuum,10641PK,"3/16"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps","3/16"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,
Caps Vacuum,10642PK,"1/4"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps","1/4"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,
Caps Vacuum,10643PK,"1/4"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps","1/4"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,
Caps Vacuum,10644PK,"5/16"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps","5/16"" Outside Diameter Tube Size 9/16"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,
Caps Vacuum,10645PK,"5/16"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps","5/16"" Outside Diameter Tube Size 1 1/4"" Inside Length Black Rubber Vacuum Caps",25 Pcs.,Ford # 389129-S
Caps Vacuum,10646PK,"3/8"" Outside Diameter Tube Size 31/32"" Inside Length Black Rubber Vacuum Caps 3/8"" Outside Diameter Tube Size","3/8"" Outside Diameter Tube Size 31/32"" Inside Length Black Rubber Vacuum Caps 3/8"" Outside Diameter Tube Size",25 Pcs.,Ford # 385353-S
Caps Vacuum,10647PK,"1 1/2"" Inside Length Black Rubber Vacuum Caps","1 1/2"" Inside Length Black Rubber Vacuum Caps",,
Caps Vacuum,10648PK,"1/2"" Outside Diameter Tube Size 11/16"" Inside Length Black Rubber Vacuum Caps","1/2"" Outside Diameter Tube Size 11/16"" Inside Length Black Rubber Vacuum Caps",10 Pcs.,Ford# 388916-S
Connectors Vacuum,11295PK,"1/8 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Strai9ht Hose Connectors","1/8 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Strai9ht Hose Connectors",10 Pcs.,
Connectors Vacuum,11296PK,"3/16 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Strai9ht Hose Connectors","3/16 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Strai9ht Hose Connectors",10 Pcs.,
Connectors Vacuum,11297PK,"1/4 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon ··••------","1/4 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon ··••------",10 Pcs.,
Connectors Vacuum,11298PK,"Straight Hose Connectors 5/16 x 5/16"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors .   ~   - ,","Straight Hose Connectors 5/16 x 5/16"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors .",10 Pcs.,
Vacuum Caps & Connectors,11299PK,,,,
Connectors Vacuum,2505PK,"3/8 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors 1/2 x 1/2"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors","3/8 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors 1/2 x 1/2"" Hose Inside Diameter Barbed Type Black Nylon Straight Hose Connectors",10 Pcs.,
Connectors Vacuum,11300PK,"1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors","1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors",10 Pcs.,Chrysler# 4095145; Ford # 383000; G.M. # 14047034
Connectors Vacuum,11302PK,"3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors","3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors",10 Pcs.,"Chrysler # 4104998; Ford # 383003-S, 389138; G.M. # 560625, 22508051"
Connectors Vacuum,11304PK,"1/4 x 1/4"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors","1/4 x 1/4"" Hose Inside Diameter Barbed Type Natural Nylon Hose Straight Connectors",10 Pcs.,"Ford # 383005; G.M. # 1614858, 14004876, 10017487"
Connectors Vacuum,11425PK,"1/8 x 1/4 x 3/8"" Tubing Size Black Nylon Universal Tubing Connectors (Not For Use In Fuel Line) Not .Actual Size","1/8 x 1/4 x 3/8"" Tubing Size Black Nylon Universal Tubing Connectors (Not For Use In Fuel Line) Not .Actual Size",10 Pcs.,
Connectors Vacuum,11294PK,"1/4 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors","1/4 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors",10 Pcs.,
Connectors Vacuum,11293PK,"3/8 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors","3/8 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors",10 Pcs.,
Connectors Vacuum,11301PK,"3/16 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors","3/16 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors",10 Pcs.,"Chrysler # 3441743, 4241296; Ford # 383001; G.M. # 14017701"
Connectors Vacuum,11303PK,"1/4 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors","1/4 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Connectors",10 Pcs.,"AMC # 3239826; Ford # 800843; G.M. # 1621253, 472812"
Connectors Vacuum,14993PK,"3/16 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors","3/16 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors",10 Pcs.,"Chrysler # 4241362; Ford# 383016; G.M. # 14025274, 14031144"
Connectors Vacuum,11309PK,"1/4 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Reducer Tee Connectors","1/4 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Reducer Tee Connectors",10 Pcs.,"Chrysler # 4167810; Ford# 388034, 12920; G.M. # 1617333, 10003294, 6466355"
Connectors Vacuum,11307PK,"3/16 x 1/8 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Tee Connectors","3/16 x 1/8 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Tee Connectors",10 Pcs.,G.M. # 14031114
Connectors Vacuum,11310PK,"1/4 x 3/16 x 1/4"" Hose Inside Diameter Barbed Type Natural Nylon Hose Reducer Tee Connectors :","1/4 x 3/16 x 1/4"" Hose Inside Diameter Barbed Type Natural Nylon Hose Reducer Tee Connectors :",10 Pcs.,G.M. # 3963228
Connectors Vacuum,11305PK,"3/8 x 1/4 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Tee Connectors","3/8 x 1/4 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Reducer Tee Connectors",10 Pcs.,Ford # D9AE-9E645AA; G.M. #472815
Connectors Vacuum,11288PK,"1/8 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","1/8 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11289PK,"5/32 x 5/32 x 5/32"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","5/32 x 5/32 x 5/32"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11290PK,"3/16 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","3/16 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11291PK,"1/4 x 1/4 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","1/4 x 1/4 x 1/4"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11292PK,"3/8 x 3/8 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","3/8 x 3/8 x 3/8"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,12522PK,"1/2 x 1/2 x 1/2"" Hose I.D. Barbed Type Black Nylon Hose Tee Connectors","1/2 x 1/2 x 1/2"" Hose I.D. Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11306PK,"1/8 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors","1/8 x 1/8 x 1/8"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors",10 Pcs.,Chrysler# 3751212; Ford # 3895904; G.M. # 14017705
Connectors Vacuum,11308PK,"3/16 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors","3/16 x 3/16 x 3/16"" Hose Inside Diameter Barbed Type Natural Nylon Hose Tee Connectors",10 Pcs.,"AMC # 3673945; Chrysler # 3671410; Ford # 373846-S; G.M. # 357020, 272766, 22508050"
Connectors Vacuum,11311PK,"5/16 x 5/16 x 5/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors","5/16 x 5/16 x 5/16"" Hose Inside Diameter Barbed Type Black Nylon Hose Tee Connectors",10 Pcs.,
Connectors Vacuum,11424PK,"1/8 x 1/4 x 3/8"" Tubing Size Black Nylon 3-Way Universal Break-Off Tees (Not For Use In Fuel Line)","1/8 x 1/4 x 3/8"" Tubing Size Black Nylon 3-Way Universal Break-Off Tees (Not For Use In Fuel Line)",5Pcs.,
