Section,Part_Number,Size,Finish,Quantity,OEM_Number,Notes
Gaskets,17752PK,"1/2"" Inside Diameter                      10 Pcs. 3",Copper Crushable,10 Pcs.,,
Gaskets,17755PK,"1/2"" Inside Diameter                      25 Pcs. 7",Aluminum Type,25 Pcs.,,
Gaskets,17757PK,"1/2"" Inside Diameter                      25 Pcs. 7",Black Fiber,25 Pcs.,,
Gaskets,17634PK,"1/2"" Inside Diameter                      50 Pcs. 1",Black Fiber,50 Pcs.,,
Gaskets,17631PK,"1/2"" Inside Diameter                       5 Pcs. 1",Black Rubber,5 Pcs.,"G.M. # 14090908, 24571185 I   11969PK    11; G.M. # 3536966 10 P; Isuzu # 8-03536-966-0",
Gaskets,12188PK,12mm Inside Diameter                      10,Copper Crushable,10 Pcs.,Ford # F4XY-6734-A N,
Gaskets,17626PK,12mm Inside Diameter                      10,Copper Finish,10 Pcs.,,
Gaskets,9994PK,12mm Inside Diameter                       5,Aluminum,5 Pcs.,"Toyota # 90430-12031, 90430-12018, 90430-1202",
Gaskets,12590PK,12mm Inside Diameter                      50,Natural Nylon,50 Pcs.,,
Gaskets,17630PK,12mm Inside Diameter                      15,Copper Finish,15 Pcs.,,
Gaskets,17910PK,12mm Inside Diameter                      15,Green Synthetic,15 Pcs.,,
Gaskets,12134PK,12mm Inside Diameter                      50,Black Fiber,50 Pcs.,,
Gaskets,17629PK,12mm Inside Diameter 22mm Outside Diameter 1,Aluminum Type,50 Pcs.,,
Gaskets,18228PK,13mm Inside Diameter,Black Rubber,10 Pcs.,Ford # F5TZ-6734-BA,
Gaskets,11846PK,14mm Inside Diameter                      50,Aluminum Type,50 Pcs.,Mazda # 9956-41-400,
Gaskets,17756PK,14mm Inside Diameter                     15,Copper Finish,15 Pcs.,,
Gaskets,12097PK,14mm Inside Diameter                     10,Copper Crushable,10 Pcs.,,
Gaskets,15138PK,14mm Inside Diameter                     50,Aluminum Type,50 Pcs.,Hyundai # 21513-23001,
Gaskets,11971PK,14mm Inside Diameter                     15,Copper Type,15 Pcs.,,
Gaskets,11999PK,14mm Inside Diameter                     50,Aluminum Type,50 Pcs.,Honda # 94109-14000,
Gaskets,12096PK,14mm Inside Diameter                     50,Black Fiber,50 Pcs.,,
Gaskets,17632PK,14mm Inside Diameter                     10,Steel With Rubber Seal,10 Pcs.,"Ford # F3DZ-6734-A, E9DZ-6734B",
Gaskets,17627PK,16mm Inside Diameter                     10,Steel Crushable,10 Pcs.,Subaru # 11026-61000,
Gaskets,17753PK,16mm Inside Diameter                     10,Copper Crushable,10 Pcs.,,
Gaskets,11847PK,18mm Inside Diameter                     25,Aluminum Type,25 Pcs.,Kia # K9564-1800 M,
Gaskets,18224PK,18mm Inside Diameter                       1,Steel Crushable,10 Pcs.,Toyota # 12157-10010,
Gaskets,12000PK,18mm Inside Diameter                     50,Aluminum Type,50 Pcs.,Honda # 90471-PX4-000,
Gaskets,17628PK,20mm Inside Diameter                     10,Copper Crushable,10 Pcs.,,
Gaskets,17754PK,20mm Inside Diameter                     10,Steel Crushable,10 Pcs.,Hyundai # 21513-21000 S,
Steel Pipe Plugs,17748PK,1/2-14                                     10 Pcs. Squa,Zinc Finish,10 Pcs.,,
Oil Drain Plugs,17736PK,"1/2-20 x 13/16""                             15 P",Bright Zinc Finish,15 Pcs.,G.M. #3921988,
Oil Drain Plugs,17618PK,"1/2-20 x 13/16""                              2 P",Black Finish,2 Pcs.,"Chrysler # 6034376, 6035417",
Oil Drain Plugs,17614PK,12-1.25 x 11mm                               5 Pc,Zinc Finish,5 Pcs.,,
Oil Drain Plugs,17617PK,12-1.25 x 12mm                               2 Pc,Zinc Finish,2 Pcs.,,
Oil Drain Plugs,17615PK,12-1.25 x 17mm                               5 Pc,Zinc Finish,5 Pcs.,,
Oil Drain Plugs,17746PK,12-1.75 x 19mm                               2 Pc,,2 Pcs.,Saturn # 21006725,
Oil Drain Plugs,17623PK,12-1.75 x 25mm                               2 Pc,Black Finish,2 Pcs.,Ford # YS4Z-6730AA,
Oil Drain Plugs,17625PK,12-1.75 x 25mm                             2 Pcs.,Yellow Zinc,2 Pcs.,Isuzu # 8-11519-408-0,
Oil Drain Plugs,11972PK,12-1.75 x 26mm                             5 Pcs.,Bright Zinc Finish,5 Pcs.,G.M. # 10017615,
Oil Drain Plugs,17620PK,12-1.75 x 30mm                             2 Pcs.,,2 Pcs.,,
Oil Drain Plugs,17745PK,14-1.25 x 16mm                             5 Pcs.,Zinc Finish,5 Pcs.,,
Oil Drain Plugs,17616PK,14-1.50 x 10mm                             5 Pcs.,Zinc Finish,5 Pcs.,"Honda # 90009-PH1-000, 90009-9H6-000",
Oil Drain Plugs,12095PK,14-1.50 x 11mm                             5 Pcs.,Bright Zinc Finish,5 Pcs.,Audi 74; Chrysler I; Honda 83,
Oil Drain Plugs,17624PK,14-1.50 x 15mm                             5 Pcs.,Yellow Zinc,5 Pcs.,Honda #90009-PY3-000,
Oil Drain Plugs,17612PK,14-1.50 x 16mm                              5 Pcs,Zinc Finish,5 Pcs.,Ford # E9DZ-6730-B,
Oil Drain Plugs,17747PK,14-1.50 x 17mm                              5 Pcs,Zinc Finish,5 Pcs.,,
Oil Drain Plugs,17619PK,14-1.50 x 18mm                              2 Pcs,Black Finish,2 Pcs.,"Chrysler # 6503433, 6504424",
Oil Drain Plugs,11970PK,14-1.50 x 20mm                              2 Pcs,Bright Zinc Finish,2 Pcs.,Chrysler # 6507741AA,
Oil Drain Plugs,17621PK,14-1.50 x 20mm                              2 Pcs,Black Finish,2 Pcs.,Ford # F6TZ-6730-BA,
Oil Drain Plugs,17613PK,14-1.50 x 20mm                              5 Pcs,Zinc Finish,5 Pcs.,,
Oil Drain Plugs,17622PK,14-1.50 x 20mm                               1 Pc,Black Finish,1 Pc.,"Ford # F7TZ-6730-BA, E9DZ-6730-B",
Oil Drain Plugs,17751PK,14-1.50 x 20mm                                 2,Zinc Finish,2 Pcs.,"Volkswagen # N90813201, N-908132-01",
Oil Drain Plugs,17744PK,14-1.50 x 24mm                                 2,Zinc Finish,2 Pcs.,,
Oil Drain Plugs,17749PK,"1/2-3/4"" or 12-18mm Hole Size                  2",Zinc Finish,2 Pcs.,Honda,
Oil Drain Plugs,9757PK,"1/2"" Hole Size",Black Rubber,1 Pc.,,
Oil Drain Plugs,9758PK,"5/8"" Hole Size",Black Rubber,1 Pc.,,
Oil Drain Plugs,18227PK,"13/16"" Diameter                                  2 Pcs.",Yellow Plastic,2 Pcs.,Ford # BC3Z-6730-A,
Oil Drain Plugs,18257PK,"13/16"" Diameter                                    1 Pc",Yellow Plastic,1 Pc.,Ford KX6Z-6730-B,
Oil Drain Plugs,18226PK,23mm Diameter Head,Black Plastic,1 Pc.,Volkswagen # 06L-103-801,
Oil Drain Plugs,18300PK,28mm Head Diameter,Black Nylon,1 Pc.,"G.M. # 55498782, 12713651",
Oil Drain Plugs,18301PK,10mm Square Drive Plugs,Black Nylon,1 Pc.,,Installation Tool
Oil Drain Plugs,18225PK,24-1.50 x 11mm,Black Plastic,1 Pc.,BMW # 11-13-7-605-018,
